Fragments on Food and Feasting
Ἀποσπάσματα περὶ Σίτου καὶ Εὐωχίας
by Nicostratus Son of Aristophanes
eul_wid: hsu-aa    eul_aid: hsu
book 6.2	περιτύχῃς, ἀγόρασον καὶ νηττία, ὁπόσα σὺ βούλει, καὶ κίχλας καὶ κοψίχους,[ln_5]ὀρνιθάριά τε τῶν ἀγρίων
book 6.3	τούτων
book 6.4	συχνά· χάριεν γάρ.
book 7.1	οὔποτ’ αὖθις
book 7.2	σηπίαν ἀπὸ τηγάνου
book 7.3	τολμήσαιμι
book 7.4	φαγεῖν μόνος.
book 8.1	εὖ γ’ ἄνδρες, εὖ σφόδρ’· ἀλλὰ μὴν τῇ ματτύῃ οὕτω διαθήσω τὰ μετὰ ταῦθ’, ὥστ’ οἴομαι οὐδ’ αὐτὸν ἡμῖν
book 8.2	τοῦτον ἀντερεῖν ἔτι.
book 9	λοιπή τις ὀξίς ἐστι καὶ ψυκτήριον τῆς εὐπαρύφου λεπτότερον.
book 10.1	[spk_β]ἡ ναῦς δὲ πότερον εἰκόσορός ἐστ’ ἢ κύκνος, ἢ κάνθαρος; τουτὶ γὰρ ἂν πύθωμ’ ἔτι, αὐτὸς
book 10.2	περανῶ τὰ πάντ’. Β. ἀμέλει κυκνοκάνθαρος. [ἐξ ἀμφοτέρων
book 10.3	τούτων κεκεραμευμένος]
book 11-12.1	[spk_β]τῶν κατεσταμνισμένων ἡμῖν λαγύνων
book 11-12.2	πηλίκοι
book 11-12.3	τινές; Β. τρίχους.[ln_2]. . . . . . . . . . . . τὸν μεστὸν ἡμῖν φέρε λάγυνον.
book 13	βεμβράδ’, ἀφύην, ἑψητόν
book 15.1	ναστὸς τὸ μέγεθος
book 15.2	τηλικοῦτος, δέσποτα, λευκός· τὸ πάχος γὰρ ὑπερέκυπτε
book 15.3	τοῦ κανοῦ. ὀσμὴ δέ, τοὐπίβλημ’ ἐπεὶ περιῃρέθη, ἄνω ’βάδιζε καὶ μέλιτι μεμιγμένη[ln_5]ἀτμίς
book 15.4	τις εἰς τὰς ῥῖνας· ἔτι γὰρ θερμὸς ἦν.
book 16.1	καὶ δυσχερὴς λάγυνος οὗτος
book 16.2	πλησίον ὄξους.
book 17.1	ὃς μέλανα
book 17.2	ποιεῖν ζωμὸν οὐκ ἠπίστατο, θρῖον δὲ καὶ κάνδαυλον ἢ τούτων
book 17.3	τι τῶν εἰς ματτύην οὐδέτερον εἶδε πώποτε.
book 18	ἀμφίας
book 19	κἀγώ, φιλτάτη,
book 19.1	[spk_β]μετανιπτρίδ’ αὐτῷ τῆς ὑγιείας ἔγχεον. Β. λαβὲ τῆς ὑγιείας δὴ σύ. Γ. φέρε, τύχἀγαθῇ. τύχη τὰ θνητῶν
book 19.2	πράγμαθ’, ἡ πρόνοια δὲ[ln_5]τυφλόν
book 19.3	τι κἀσύντακτόν ἐστιν, ὦ πάτερ.
book 20.1	ἀλλ’ ἐγχέασα θᾶττον ἀγαθοῦ δαίμονος ἀπενεγκάτω μοι τὴν
book 20.2	τράπεζαν ἐκποδών· ἱκανῶς κεχόρτασμαι γάρ. Β. ἀγαθοῦ δαίμονος. Α. δέχομαι. λαβοῦς’ ἀπένεγκε
book 20.3	ταύτην ἐκποδών.
book 21.1	ἔπειτα τῆς αὐτῆς ὁδοῦ πρὸς Ἀερόπην ἐλθοῦσα πέμψαι
book 21.2	στρώματα αὐτὴν κέλευε, φησί, καὶ παρ’ Ὤκιμον
book 21.3	χαλκώματα.
book 22.1	ὁ κάπηλος γὰρ οὑκ τῶν γειτόνων, ἄν τ’ οἶνον ἄν
book 22.2	τε φανὸν ἀποδῶταί τινι ἄν τ’ ὄξος, ἀπέπεμψ’ ὁ κατάρατος δοὺς ὕδωρ.
book 24.1	Κηφισόδωρον οὐ κακῶς μὰ τὸν Δία τὸν
book 24.2	πλάνον
book 24.3	φασὶ στενωπὸν εἰς
book 24.4	στενὸν
book 24.5	στῆσαί τινας ἀγκαλίδας ἔχοντας, ὥστε μὴ παρελθεῖν μηδένα.
book 25.1	καταλαμβάνομεν τὸν
book 25.2	πορνοβοσκὸν καὶ δύο ἑτέρους κατὰ χειρὸς ἀρτίως εἰληφότας
book 25	[spk_β]καὶ στέφανον. Β. εἶεν. καλὸς ὁ καιρός, Χαιρεφῶν.
book 26.1	καὶ σὺ μὲν τὴν δευτέραν
book 26.2	τράπεζαν εὐτρεπῆ ποίει. κόσμησον αὐτὴν
book 26.3	παντοδαποῖς
book 26.4	τραγήμασιν, μύρον, στεφάνους, λιβανωτόν, αὐλητρίδα λαβέ.
book 27.1	εἰ τὸ συνεχῶς καὶ πολλὰ καὶ ταχέως λαλεῖν ἦν
book 27.2	τοῦ φρονεῖν
book 27.3	παράσημον, αἱ χελιδόνες ἐλέγοντ’ ἂν ἡμῶν
book 27.4	σωφρονέστεραι
book 27.5	πολύ.
book 28.1	‘οὐκ ἔστιν ὅστις πάντ’ ἀνὴρ εὐδαιμονεῖ.‘ νὴ τὴν Ἀθηνᾶν
book 28.2	συντόμως γε, φίλτατε Εὐριπίδη, τὸν βίον ἔθηκας εἰς
book 28.3	στίχον.
book 29.1	ἆρ’ οἶσθ’ ὅτι τῆς
book 29.2	πενίας ὅπλον ἡ παρρησία; ταύτην ἐάν
book 29.3	τις ἀπολέσῃ, τὴν ἀσπίδ’ ἀποβέβληκεν οὗτος
book 29.4	τοῦ βίου.
book 30-31.1	πάλιν
book 30-31.2	χρόνῳ τἀρχαῖα καινὰ γίνεται.[ln_1]. . . . . . . . . . . . οὐκ ἔστι δυσαρεστότερον οὐδὲ ἓν
book 30-31.3	χρόνου· οὐδέποτ’ ἀρέσκει
book 30-31.4	ταὐτὰ τούτῳ τῷ θεῷ.
book 32.1	μειράκιον δὲ κατὰ τύχην ὑποσκαφιόκαρτόν
book 32.2	τι κεχλαμυδωμένον κατάγεις ἀναγκόσιτον.
book 33	ἁλύσεις, καθετῆρας, δακτυλίους, βουβάλι’, ὄφεις, περισκελίδας, ἐλλέβορον.
book 34	ῥήτορες ἐξωρμενικότες, δυσχερεῖς, παλιναίρετοι
book 35.1	νὴ τὴν Ἀφροδίτην, ὦ ξένη, βλοσυράν γε τὴν
book 35.2	ψυχὴν ἔχεις.
book 36	εἰπέ μοι, τίνι ἐδιακόνεις;
book 38	ζιγγοῦν
book 39	στήριγμα
book 40	Ταραντῖνον
book 42	στρῆνον

—
Canonical:  https://eulogikon.org/grc/nicostratus-of-aristophanes/food-feasting
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: hsu-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
