encoms
Ἐγκώμια
by Bacchylides of Ceos
eul_wid: brw-ak    eul_aid: brw
book 8b	..[ln_1][ ] [ ]ο̣ρ̣ίδε[ ] [ ] [ ]α̣ϊδᾶ·[ln_5]..
book 8c	[ ].φ.[ ] [ ]χεῖσ̣[ ] [ ]μᾶσ̣[ ] [ ]παρ[.]εν[ ][ln_5][ ]εὔβουλο[ ] [ ]τοσουκ̣[ ] [ ]μέ̣ν̣[ ] ..
book 9	ου.[ ] οὐδ̣[ ] [para]δ’ ὡφ[ ] δημ[ ][ln_5]τωπ.[ ] ἱμερτ[ ]
book 10	χλιδῆ[ ] μαλ.[ ] λεύκα[ ] ηθοσε.[ ][ln_5]ἔρωτιδ̣[ ] ἥ σεξ[ ]
book 11.1	Οὐ βοῶν πάρεστι σώματ’, οὔτε
book 11.2	χρυσός, [para]οὔτε
book 11.3	πορφύρεοι τάπητες, [para]ἀλλὰ θυμὸς εὐμενής, Μοῦσά τε γλυκεῖα, καὶ Βοιωτίοισιν[ln_5]ἐν
book 11.4	σκύφοισιν οἶνος ἡδύς.

—
Canonical:  https://eulogikon.org/grc/bacchylides-of-ceos/encoms
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: brw-ak

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
