On the Underworld and the Soul
Ἀποσπάσματα
by Democritus of Abdera
eul_wid: byu-ab    eul_aid: byu

Period   Classical
Dialect  Ionic
Domain   Philosophy
Format   Collection

The work conventionally titled On the Underworld and the Soul is not a discrete, surviving text by the pre-Socratic philosopher Democritus of Abdera. It is a modern scholarly construct, a thematic compilation of his doctrines pieced together from fragmentary quotations and testimonia preserved by later ancient authors. Democritus, a prolific writer of the 5th and 4th centuries BCE and a principal architect of atomist philosophy, posited that all reality consists of indivisible particles, or atoms, moving in void space. Within this rigorously materialist system, he defined the soul as a composite of particularly fine, spherical, and mobile atoms. Consequently, his view of death entailed the dissolution of this atomic compound, precluding any form of personal immortality or a literal afterlife. References to Hades in the surviving fragments are thus generally interpreted by modern scholarship not as descriptions of a subterranean realm of the dead, but as ethical allegories for a life of moral and psychological wretchedness.

No complete work by Democritus survives. Our knowledge derives entirely from secondary sources, including over four hundred fragments and reports collected from authors such as Aristotle, Sextus Empiricus, Plutarch, and the anthologist Stobaeus. These fragments reveal a wide-ranging intellect who applied his atomic theory to ethics, advocating for a state of tranquility, or euthymia, achieved through moderation, intellectual cultivation, and freedom from irrational fears, including the terror of divine retribution after death. His physical and ethical theories were critically adopted and developed by Epicurus in the following century and were later given powerful poetic expression by Lucretius, securing Democritus's enduring influence on the history of materialist and scientific thought.

Text
----

tit,0a-4a	ΔΗΜΟΚΡΙΤΟΥ ΗΘΙΚΑ
5	DIOG. IX 41 [s. II 83, 9] γέγονε δὲ τοῖς χρόνοις, ὡς αὐτός φησιν ἐν τῶι Μικρῶι διακόσμω ι , νέος κατὰ πρεσβύτην Ἀναξαγόρα ν, ἔτεσιν αὐτοῦ νεώτερος τετταράκοντα. συντετάχθαι δέ φησι τὸν Μικρὸν διάκοσμον ἔτεσιν ὕστερον τῆς Ἰλίου ἁλώσεως τριάκοντα καὶ ἑπτακοσίοι ς. IX 34. 35 [II 81, 16] Φαβωρῖνος δέ φησιν ἐν Παντοδαπῆι ἱστορίαι [FHG III 582 fr. 33]‘ λέγειν Δημόκριτον περὶ Ἀναξαγόρου, ὡς οὐκ εἴησαν αὐτοῦ αἱ δόξαι αἵ τε περὶ ἡλίου καὶ σελήνη ς, ἀλλὰ ἀρχαῖαι, τὸν δὲ ὑφηιρῆσθαι· διασύρειν τε αὐτοῦ τὰ περὶ τῆς διακοσμήσεως καὶ τοῦ νο ῦ, ἐχθρῶς ἔχοντα πρὸς αὐτόν, ὅτι δὴ μὴ προσήκατο αὐτόν. 1. DIODOR. I 7, 1 κατὰ γὰρ τὴν ἐξ ἀρχῆς τῶν ὅλων σύστασιν μίαν ἔχειν ἰδέαν οὐρανόν τε καὶ γῆν, μεμειγμένης αὐτῶν τῆς φύσεως· μετὰ δὲ ταῦτα διαστάντων τῶν σωμάτων ἀπ’ ἀλλήλων τὸν μὲν κόσμον περιλαβεῖν ἅπασαν τὴν ὁρωμένην ἐν αὐτῶι σύνταξιν, τὸν δ’ ἀέρα κινήσεως τυχεῖν συνεχοῦς καὶ τὸ μὲν πυρῶδες αὐτοῦ πρὸς τοὺς μετεωροτάτους τόπους συνδραμεῖν, ἀνωφεροῦς οὔσης τῆς τοιαύτης φύσεως διὰ τὴν κουφότητα· ἀφ’ ἧς αἰτίας τὸν μὲν ἥλιον καὶ τὸ λοιπὸν πλῆθος τῶν ἄστρων ἐναποληφθῆναι τῆι πάσηι δίνηι· τὸ δὲ ἰλυῶδες καὶ θολερὸν μετὰ τῆς τῶν ὑγρῶν συγκρίσεως ἐπὶ ταὐτὸ καταστῆναι διὰ τὸ βάρος· (2) εἰλούμενον δ’ ἐν ἑαυτῶι συνεχῶς καὶ συστρεφόμενον ἐκ μὲν τῶν ὑγρῶν τὴν θάλασσαν, ἐκ δὲ τῶν στερεμνιωτέρων ποιῆσαι τὴν γῆν πηλώδη καὶ παντελῶς ἁπαλήν. (3) ταύτην δὲ τὸ μὲν πρῶτον τοῦ περὶ τὸν ἥλιον πυρὸς καταλάμψαντος πῆξιν λαβεῖν, ἔπειτα διὰ τὴν θερμασίαν ἀναζυμουμένης τῆς ἐπιφανείας συνοιδῆσαί τινα τῶν ὑγρῶν κατὰ πολλοὺς τόπους, καὶ γενέσθαι περὶ αὐτὰ σηπεδόνας ὑμέσι λεπτοῖς περιεχομένας· ὅπερ ἐν τοῖς ἕλεσι καὶ τοῖς λιμνάζουσι τῶν τόπων ἔτι καὶ νῦν ὁρᾶσθαι γινόμενον, ἐπειδὰν τῆς χώρας κατεψυγμένης ἄφνω διάπυρος ὁ ἀὴρ γένηται μὴ λαβὼν τὴν μεταβολὴν ἐκ τοῦ κατ’ ὀλίγον. (4) ζωογονουμένων δὲ τῶν ὑγρῶν διὰ τῆς θερμασίας τὸν εἰρημένον τρόπον τὰς μὲν νύκτας λαμβάνειν αὐτίκα τὴν τροφὴν ἐκ τῆς πιπτούσης ἀπὸ τοῦ περιέχοντος ὀμίχλης, τὰς δ’ ἡμέρας ὑπὸ τοῦ καύματος στερεοῦσθαι· τὸ δ’ ἔσχατον τῶν κυοφορουμένων τὴν τελείαν αὔξησιν λαμβανόντων καὶ τῶν ὑμένων διακαυθέντων τε καὶ περιρραγέντων ἀναφυῆναι παντοδαποὺς τύπους ζώιων· (5) τούτων δὲ τὰ μὲν πλείστης θερμασίας κεκοινωνηκότα πρὸς τοὺς μετεώρους τόπους ἀπελθεῖν γενόμενα πτηνά, τὰ δὲ γεώδους ἀντεχόμενα συγκρίσεως ἐν τῆι τῶν ἑρπετῶν καὶ τῶν ἄλλων τῶν ἐπιγείων τάξει καταριθμηθῆναι, τὰ δὲ φύσεως ὑγρᾶς μάλιστα μετειληφότα πρὸς τὸν ὁμογενῆ τόπον συνδραμεῖν, ὀνομασθέντα πλωτά. τὴν δὲ γῆν ἀεὶ μᾶλλον στερεουμένην ὑπό τε τοῦ περὶ τὸν ἥλιον πυρὸς καὶ τῶν πνευμάτων τὸ τελευταῖον μηκέτι δύνασθαι μηδὲν τῶν μειζόνων ζωογονεῖν, ἀλλ’ ἐκ τῆς πρὸς ἄλληλα μίξεως ἕκαστα γεννᾶσθαι τῶν ἐμψύχων. 8, 1 καὶ περὶ μὲν τῆς πρώτης τῶν ὅλων γενέσεως τοιαῦτα παρειλήφαμεν, τοὺς δὲ ἐξ ἀρχῆς γεννηθέντας τῶν ἀνθρώπων φασὶν ἐν ἀτάκτωι καὶ θηριώδει βίωι καθεστῶτας σποράδην ἐπὶ τὰς νομὰς ἐξιέναι καὶ προσφέρεσθαι τῆς τε βοτάνης τὴν προσηνεστάτην καὶ τοὺς αὐτομάτους ἀπὸ τῶν δένδρων καρπούς. (2) καὶ πολεμουμένους μὲν ὑπὸ τῶν θηρίων ἀλλήλοις βοηθεῖν ὑπὸ τοῦ συμφέροντος διδασκομένους, ἀθροιζομένους δὲ διὰ τὸν φόβον ἐπιγινώσκειν ἐκ τοῦ κατὰ μικρὸν τοὺς ἀλλήλων τύπους. (3) τῆς φωνῆς δ’ ἀσήμου καὶ συγκεχυμένης οὔσης ἐκ τοῦ κατ’ ὀλίγον διαρθροῦν τὰς λέξεις, καὶ πρὸς ἀλλήλους τιθέντας σύμβολα περὶ ἑκάστου τῶν ὑποκειμένων γνώριμον σφίσιν αὐτοῖς ποιῆσαι τὴν περὶ ἁπάντων ἑρμηνείαν. (4) τοιούτων δὲ συστημάτων γινομένων καθ’ ἅπασαν τὴν οἰκουμένην, οὐχ ὁμόφωνον πάντας ἔχειν τὴν διάλεκτον, ἑκάστων ὡς ἔτυχε συνταξάντων τὰς λέξεις·
5 (50)	διὸ καὶ παντοίους τε ὑπάρξαι χαρακτῆρας διαλέκτων καὶ τὰ πρῶτα γενόμενα συστήματα τῶν ἁπάντων ἐθνῶν ἀρχέγονα γενέσθαι. (5) τοὺς οὖν πρώτους τῶν ἀνθρώπων μηδενὸς τῶν πρὸς βίον χρησίμων εὑρημένου ἐπιπόνως διάγειν, γυμνοὺς μὲν ἐσθῆτος ὄντας, οἰκήσεως τε καὶ πυρὸς ἀήθεις, τροφῆς δ’ ἡμέρου παντελῶς ἀνεννοήτους. (6) καὶ γὰρ τὴν συγκομιδὴν τῆς ἀγρίας τροφῆς ἀγνοοῦντας μηδεμίαν τῶν καρπῶν εἰς τὰς ἐνδείας ποιεῖσθαι παράθεσιν· διὸ καὶ πολλοὺς αὐτῶν ἀπόλλυσθαι κατὰ τοὺς χειμῶνας διά τε τὸ ψῦχος καὶ τὴν σπάνιν τῆς τροφῆς. (7) ἐκ δὲ τούτου κατ’ ὀλίγον ὑπὸ τῆς πείρας διδασκομένους εἴς τε τὰ σπήλαια καταφεύγειν ἐν τῶι χειμῶνι καὶ τῶν καρπῶν τοὺς φυλάττεσθαι δυναμένους ἀποτίθεσθαι. γνωσθέντος δὲ τοῦ πυρὸς καὶ τῶν ἄλλων τῶν χρησίμων κατὰ μικρὸν καὶ τὰς τέχνας εὑρεθῆναι καὶ τἆλλα τὰ δυνάμενα τὸν κοινὸν βίον ὠφελῆσαι. καθόλου γὰρ πάντων τὴν χρείαν αὐτὴν διδάσκαλον γενέσθαι τοῖς ἀνθρώποις, ὑφηγουμένην οἰκείως τὴν ἑκάστου μάθησιν εὐφυεῖ ζώιωι καὶ συνεργοὺς ἔχοντι πρὸς ἅπαντα χεῖρας καὶ λόγον καὶ ψυχῆς ἀγχίνοιαν. 2. HERMIPPUS de astrol. [IOANN. CATRARES] II 1, 4ff. p. 33, 15 Kroll—V. πρῶτον δὲ τάς τε ὑπερκοσμίους τε καὶ ἐγκοσμίους δυνάμεις συστησάμενος, εἶθ’ οὕτως οὐρανόν τε καὶ γῆν πλάνητάς τε καὶ τοὺς ἀπλανεῖς τῶν ἀστέρων δημιουργεῖ μήτε χρόνου μήθ’ ἑτέρωθεν ὕλης προσδεηθείς· καὶ τούτων ἑκάστωι τὸν οἰκεῖον τόπον, ὡς ἐξ ἀρχῆς ὑπεθέμεθα, ἀποδοὺς κινεῖ τὴν προσήκουσαν κίνησιν. οὕτω δὴ οὐρανός τε καὶ οἱ πλάνητες ἐναντίως τὴν ἄληκτον φορὰν ἤρξαντο φέρεσθαι. (5) γῆ δὲ (p. 34) τῶι ὕδατι συμμιγής, οὗ μὲν πλέον ὑπ’ αὐτοῦ ἐπιέζετο, βαθεῖά τε καὶ κοίλη ἐγένετο, οὗ δὲ οὐδὲν ἢ ὀλίγον ἐπῆν, τὰ ὄρη ἐλείπετο. (6) ἀλλ’ ἐπεὶ τὸ ὕδωρ ἐπὶ γῆς τὴν οἰκείαν χώραν ἐπέλαβεν, αὕτη δὲ διάβροχος οὖσα τὴν οἰκείαν μορφὴν ὑπὸ τοῦ ἡλίου προσβάλλοντος καὶ πρὸς τὸ ξηρότερον μεθιστάντος κατὰ μικρὸν ἀπελάμβανε, φύονται δὴ πρῶτον οὕτω δένδρα τε καὶ φυτὰ καί τινες ὑμένες ἐοικότες πομφόλυξι ν, αἳ δὴ μεθ’ ἡμέραν μὲν ὑπὸ τοῦ ἡλίου διαθερμαινόμεναι, νύκτωρ δὲ ὑπὸ τῆς σελήνης καὶ τῶν ἄλλων ἀστέρων περιθαλπόμενα χρόνωι διαρραγεῖσαι τὰ ζῶια ἀπέτεκον. (7) τούτων δὲ τὰ μὲν ἱκανὴν εἰληφότα πέψιν ἄρρενά τε καὶ θερμότερα γέγονε, τὰ δὲ τοὐναντίον ὑποστάντα ἐνδείαι θέρμης πρὸς τὸ θῆλυ μετεσκεύασται. (8) καὶ οὐδὲν θαυμαστὸν γῆν ὕδατι σύμμικτον συστήσασθαι τὴν ἀρχὴν ζῶιά τε καὶ φυτὰ κατὰ νοῦν τῶι δημιουργῶι· ἐν μὲν γὰρ τῶι ὕδατι συνέχεσθαι εἰκὸς πνεῦμα, ἐν δὲ τούτωι θερμότητα ψυχικήν, δηλοῦσι δὲ καὶ τὰ γινόμενα ζῶια ἐν τοῖς τῆς γῆς χηραμοῖς καὶ ἔτι τὰ ἀπὸ σήψεως· ἃ πάντα καίπερ οὕτω συστάντα θαυμασίαν ἐμφαίνει τὴν σφῶν αὐτῶν καθάπαξ διάπλασιν. (9) ἀλλ’ οὐδὲ μὴν οὐδὲ τοῦτ’ οἶμαι ἀπορήσαι τις ἄν, εἰ μὴ καὶ νῦν οὕτω συνίστασθαι δύναιτο· οὔτε γὰρ ἡ γῆ ἔτι ὁμοίως ἂν συνανακραθείη τῶι ὕδατι, οὔθ’ οἱ ἀστέρες ἐν τοῖς αὐτοῖς συνέλθοιεν σχήμασι. (10) τὸ γὰρ γίνεσθαί πη μέχρι τοῦ νῦν, ὡς λόγος αἱρεῖ, παραλείπω· πλὴν ὥσπερ τοὐνδόσιμον ἐξ ἐκείνου παραλαβοῦσα ζῶια μὲν μέγεθος ἔχοντα οὐκέτι φύειν οἵα τ’ ἐστί, βοτάνας δὲ καὶ δένδρα καὶ φυτὰ καὶ καρπούς, καὶ τὰ ζῶια σχεδὸν νεκρωθέντα καὶ παγέντα τῶι ψύχει θέρμης τε καὶ ῥώμης ἐμπίπλαται. (11) τῶν δὲ ζώιων, ὡς καὶ πρότερον εἴρηται, οὐχ ὁμοία τις ἡ κρᾶσις ἐγένετο· ἀλλ’ ὅσα μὲν πλείστου τοῦ γεώδους μετέσχε, φυτά τε καὶ δένδρα γέγονε πρὸς τῆι γῆι κάτω ἐρριζωμένην τὴν κεφαλὴν ἔχοντα, τοσοῦτον τῶν ἀναιμοτέρων καὶ ἀπόδων ζώιων διαφέροντα, παρ’ ὅσον ἐκεῖνα ἔξω γῆς ταύτην κινούμενα φέρουσιν· ὅσα δὲ τοῦ ὑγροῦ, τὴν καθ’ ὕδατος λῆξιν ἠσπάσαντο, ἐπίσης ἐκείνοις σχεδὸν διακείμενα. (12) οἷς δὲ τοῦ γεώδους καὶ θερμοῦ μᾶλλον μέτεστι, ταῦτα χερσαῖα ἂν εἴη· καὶ ὅσα δὲ τοῦ ἀερώδους καὶ θερμοῦ μετέσχε μᾶλλον, πτηνά, τὰ μὲν εὐθὺ τοῦ ὅλου σώματος, τὰ δ’ ὑπὲρ αὐτὸ τὴν κεφαλὴν ἴσχοντα, κατὰ λόγον τῆς αὐτῶν κράσεως. (13) καὶ τούτων μᾶλλον ὁ ἄνθρωπος μετασχὼν θερμοῦ φαίνεται καθαρωτέρας οὔσης τῆς ὕλης, ἀφ’ ἧς τὸ σῶμά οἱ συνέστη, καὶ δεκτικῆς
5 (100)	〈μᾶλλον〉 τοῦ θερμοῦ· ὥστε δι’ αὐτὸ τοῦτο καὶ μόνος τῶν ἄλλων ζώιων γίνεται τὸ σχῆμα ὀρθὸς καὶ πρὸς ὀλίγον γῆς ἅπτεται· ἐρρύη δέ τι καὶ θειότερον εἰς αὐτόν, καθ’ ὃ νοῦ καὶ λόγου καὶ διανοίας μετέσχε καὶ τὰ ὄντα ἀνηρευνήσατο. TZETZES Schol. z. Hesiod (Gaisford Poet. gr. min. III 58) φασὶν Ἕλληνες ὅσοι τὸν κόσμον γεννητὸν εἶναι λέγουσιν, ὅτι μετὰ τὸ διαρραγῆναι τὸ ἔρεβος καὶ τὸν ἀέρα συστῆναι καὶ ὑποστῆναι τὴν γῆν πηλώδη καὶ παντελῶς ἁπαλὴν σηπεδονώδεις καὶ πομφολυγώδεις ὑμένας ἐκ ταύτης ἀναδοθῆναι· ὧν ὑπὸ τοῦ ἡλίου θερμαινομένων ἡμέρας, νυκτὸς δὲ τρεφομένων ταῖς σεληναίαις ὑγρότησιν καὶ μετὰ τὴν αὔξησιν ἐκραγέντων ἀνθρώπους συνέβη γενέσθαι καὶ παντοίων ζώιων ἰδέας πρὸς τὴν στοιχειακὴν ἐπικράτειαν, τὴν ὑδατώδη φημὶ καὶ πυρώδη καὶ γεώδη καὶ ἀερώδη. κατεξικμασθείσης δὲ τῆς γῆς ὑφ’ ἡλίου καὶ μηκέτι γεννᾶν δυναμένης ἐξ ἀλληλογονίας φασὶ τὴν γέννησιν γενέσθαι. ὅτι δὲ ζῶια γεννᾶν οἶδεν ἡ γῆ, δεικνύουσι πολλαχόθεν καὶ ἐκ τῶν ἐν Θηβαΐδι τῆι Αἰγυπτίαι γεννωμένων μυῶν μετὰ τὴν τοῦ Νείλου τῆς ἀναβάσεως ὑποχώρησιν. οἱ τότε δὲ τῶν ἀνθρώπων ἁπλότητος ὄντες καὶ ἀπειρίας ἀνάμεστοι οὐδεμίαν οὔτε τέχνην οὔτε γεωργίαν ἐπίσταντο οὔτ’ ἄλλο οὐδέν, οὔτε ὅ τι ἐστὶ νόσος ἢ θάνατος ἐπεγίνωσκον, ἀλλ’ ὡς ἐπὶ κοῖτον ἐπὶ τὴν γῆν πίπτοντες ἀπέψυχον οὐκ εἰδότες ὃ πάσχουσι· φιλαλληλίαν δὲ μόνον ἀσκοῦντες ἀγελαῖον διέζων τὸν βίον δίκην ποιμνίων ἐπὶ νομὰς ἐξιόντες καὶ τοῖς ἀκροδρύοις κοινῶς καὶ τοῖς λαχάνοις τρεφόμενοι. καὶ ἀλλήλοις κατὰ θηρίων προσεβοήθουν καὶ συνεμάχοντο γυμνοὶ γυμναῖς ταῖς χερσί· γυμνοὶ δὲ οὕτω τυγχάνοντες καὶ σκέπης καὶ χρημάτων ὄντες ἐπιδεεῖς καὶ μηδὲ καρποὺς καὶ ἀκρόδρυα πρὸς ἀποθήκας συναγαγεῖν εἰδότες, ἀλλὰ μόνην ἐσθίοντες τροφὴν τὴν ἐφήμερον χειμῶνος γεγονότος πολλοὶ διεφθείροντο. λοιπὸν κατὰ μικρὸν τὴν ἀνάγκην σχόντες διδάσκαλον τὰ κοῖλα τῶν δένδρων καὶ τὰ δασέα καὶ τὰς σχισμὰς τῶν πετρῶν καὶ τὰ σπήλαια ὑπεδύοντο καὶ τοὺς καρπῶν δυναμένους φυλάττεσθαι μόλις γνωρίσαντες καὶ ἅπαξ αὐτοὺς συναγείραντες ἐν τοῖς σπηλαίοις ἐναπετίθεντο, καὶ τούτοις ἐτρέφοντο δι’ ὅλου ἐνιαυτοῦ. τοιαύτηι συζῶντες τῆι εἱμαρμένηι βίον ἁπλοῦν καὶ ἀπέριττον καὶ φιλάλληλον εἶχον δίχα πυρὸς ἐπιγνώσεως, οὐ βασιλεῖς, οὐκ ἄρχοντας, οὐ δεσπότας κεκτημένοι, οὐ στρατείας, οὐ βίας, οὐχ ἁρπαγὰς, ἀλλὰ φιλαλληλίαν μόνον καὶ τὸν ἐλεύθερον καὶ ἀπέριττον τοῦτον βίον ζῆν εἰδότες. ἐπεὶ δὲ προμηθέστεροι γεγονότες καὶ προβουλευτικώτεροι τὸ πῦρ ἐφεῦρον, καὶ θερμοτέρων, ἤγουν πανουργοτέρων, πραγμάτων ὠρέχθησαν καὶ τὴν τοῦ ἀπερίττου καὶ ἐλευθέρου βίου μετέστρεψαν διαγωγὴν καὶ εἱμαρμένην, δι’ ὧν ὁ κόσμος κοσμεῖται καὶ τὰ ἡδέα ἡμῖν καὶ τερπνὰ καὶ ἁβρότατα γίνεται δίκην γυναικὸς ἡμᾶς καταθέλγοντα καὶ τρυφερωτέρους ἀπεργαζόμενα, ὃ καλεῖ πλάσιν γυναικὸς ὁ ποιητής.
5a	ΚΟΣΜΟΓΡΑΦΙΗ.
5b	ΠΕΡΙ ΤΩΝ ΠΛΑΝΗΤΩΝ.
5c	ΠΕΡΙ ΦΥΣΕΩΣ Α 〈ἣ ΠΕΡΙ ΚΟΣΜΟΥ ΦΥΣΙΟΣ〉.
5d	ΠΕΡΙ ΦΥΣΕΩΣ Β ἢ ΠΕΡΙ ΑΝΘΡΩΠΟΥ ΦΥΣΙΟΣ ἢ ΠΕΡΙ ΣΑΡΚΟΣ.
5e	ΠΕΡΙ ΝΟΥ 〈ΛΕΥΚΙΠΠΟΥ.
5f	ΠΕΡΙ ΑΙΣΘΗΣΙΩΝ.
5g	ΠΕΡΙ ΧΥΜΩΝ.
5h	ΠΕΡΙ ΧΡΟΩΝ.
5i	ΠΕΡΙ ΤΩΝ ΔΙΑΦΕΡΟΝΤΩΝ ΡΥΣΜΩΝ 〈ἢ ΠΕΡΙ ΙΔΕΩΝ〉.
6	SEXT. VII 137 ἐν δὲ τῶι Περὶ ἰδεῶ ν · ‘ γιγνώσκειν τε χρ ή, φησίν, ἄνθρωπον τῶιδε τῶι κανόν ι , ὅτι ἐτεῆς ἀπήλλακται ‘.
7	καὶ πάλιν· ‘ δηλοῖ μὲν δὴ καὶ οὗτος ὁ λόγο ς , ὅτι ἐτεῆι οὐδὲν ἴσμεν περὶ οὐδενό ς , ἀλ λ ’ ἐπιρυσμίη ἑκάστοισιν ἡ δόξισ ‘.
8	καὶ ἔτι· ‘ καίτοι δῆλον ἔστα ι , ὅτι ἐτεῆι οἷον ἕκαστον γιγνώσκειν ἐν ἀπόρωι ἐστί ‘.
8a	ΠΕΡΙ ΑΜΕΙΨΙΡΥΣΜΙΩΝ.
8b	ΚΡΑΤΥΝΤΗΡΙΑ.
9	SEXT. adv. math. VII 135 Δ. δὲ ὁτὲ μὲν ἀναιρεῖ τὰ φαινόμενα ταῖς αἰσθήσεσι καὶ τούτων λέγει μηδὲν φαίνεσθαι κατ’ ἀλήθειαν, ἀλλὰ μόνον κατὰ δόξαν, ἀληθὲς δὲ ἐν τοῖς οὖσιν ὑπάρχειν τὸ ἀτόμους εἶναι καὶ κενόν· ‘ νόμωι ‘ γάρ φησι ‘γλυκύ, [καὶ] νόμωι πικρό ν, νόμωι θερμόν, νόμωι ψυχρόν, νόμωι χροι ή , ἐτεῆι δὲ ἄτομα καὶ κενόν ‘ [= B 125] (ὅπερ 〈ἔστι〉· νομίζεται μὲν εἶναι καὶ δοξάζεται τὰ αἰσθητά, οὐκ ἔστι δὲ κατ’ ἀλήθειαν ταῦτα, ἀλλὰ τὰ ἄτομα μόνον καὶ τὸ κενόν). (136) ἐν δὲ τοῖς Κρατυντηρίοι ς, καίπερ ὑπεσχημένος ταῖς αἰσθήσεσι τὸ κράτος τῆς πίστεως ἀναθεῖναι, οὐδὲν ἧττον εὑρίσκεται τούτων καταδικάζων. φησὶ γάρ· ‘ ἡμεῖς δὲ τῶι μὲν ἐόντι οὐδὲν ἀτρεκὲς συνίεμε ν , μεταπῖπτον δὲ κατά τε σώματος διαθήκην καὶ τῶν ἐπεισιόντων καὶ τῶν ἀντιστηριζόντων ‘.
10	καὶ πάλιν φησίν· ‘ ἐτεῆι μέν νυν ὅτι οἷον ἕκαστον ἔστιν 〈ἢ〉 οὐκ ἔστιν οὐ συνίεμε ν , πολλαχῆι δεδήλωται ‘.
10a	ΠΕΡΙ ΕΙΔΩΛΩΝ ἢ ΠΕΡΙ ΠΡΟΝΟΙΑΣ [?].
10b (tit)	ΠΕΡΙ ΛΟΓΙΚΩΝ ἢ ΚΑΝΩΝ ΑΒΓ . Vgl. Epikur Περὶ κριτηρίου ἢ Κανών Diog. X 27. SEXT. VIII 327 οἱ μὲν δογματικοὶ τῶν φιλοσόφων ... τιθέασιν αὐτήν [τὴν ἀπόδειξιν], οἱ δὲ Ἐμπειρικοὶ ἀναιροῦσιν, τάχα δὲ καὶ Δ.· ἰσχυρῶς γὰρ αὐτῆι διὰ τῶν Κανόνων ἀντείρηκεν.
11	SEXT. VII 138 ἐν δὲ τοῖς Κανόσι δύο φησὶν εἶναι γνώσεις· τὴν μὲν διὰ τῶν αἰσθήσεων τὴν δὲ διὰ τῆς διανοίας, ὧν τὴν μὲν διὰ τῆς διανοίας γνησίην καλεῖ προσμαρτυρῶν αὐτῆι τὸ πιστὸν εἰς ἀληθείας κρίσιν, τὴν δὲ διὰ τῶν αἰσθήσεων σκοτίην ὀνομάζει ἀφαιρούμενος αὐτῆς τὸ πρὸς διάγνωσιν τοῦ ἀληθοῦς ἀπλανές. (139) λέγει δὲ κατὰ λέξιν· ‘ γνώμης δὲ δύο εἰσὶν ἰδέα ι , ἡ μὲν γνησί η , ἡ δὲ σκοτί η · καὶ σκοτίης μὲν τάδε σύμπαντ α , ὄψι ς , ἀκο ή , ὀδμ ή , γεῦσι ς , ψαῦσι ς . ἡ δὲ γνησί η , ἀποκεκριμένη δὲ ταύτησ ‘ . εἶτα προκρίνων τῆς σκοτίης τὴν γνησίην ἐπιφέρει λέγων· ‘ ὅταν ἡ σκοτίη μηκέτι δύνηται μήτε ὁρῆν ἐ π ’ ἔλαττον μήτε ἀκούειν μήτε ὀδμᾶσθαι μήτε γεύεσθαι μήτε ἐν τῆι ψαύσει αἰσθάνεσθα ι , ἀλ λ ’ ἐπὶ λεπτότερον 〈δέηι ζητεῖ ν , τότε ἐπιγίνεται ἡ γνησίη ἅτε ὄργανον ἔχουσα τοῦ νῶσαι λεπτότερον 〉. Vgl. HIPP. de arte 11 ὅσα γὰρ τὴν τῶν ὀμμάτων ὄψιν ἐκφεύγει, ταῦτα τῆι τῆς γνώμης ὄψει κεκράτηται.
11a	ΑΠΟΡΗΜΑΤΩΝ 〈 ΑΒ ...?〉.
tit,11b-11k	ΑΣΥΝΤΑΚΤΑ
11b	ΑΙΤΙΑΙ ΟΥΡΑΝΙΑΙ.
11c	ΑΙΤΙΑΙ ΑΕΡΙΟΙ.
11d	ΑΙΤΙΑΙ ΕΠΙΠΕΔΟΙ.
11e	ΑΙΤΙΑΙ ΠΕΡΙ ΠΥΡΟΣ ΚΑΙ ΤΩΝ ΕΝ ΠΥΡΙ.
11f	ΑΙΤΙΑΙ ΠΕΡΙ ΦΩΝΩΝ.
11g	ΑΙΤΙΑΙ ΠΕΡΙ ΣΠΕΡΜΑΤΩΝ ΚΑΙ ΦΥΤΩΝ ΚΑΙ ΚΑΡΠΩΝ.
11h	ΑΙΤΙΑΙ ΠΕΡΙ ΖΩΙΩΝ ΑΒΓ .
11i	ΑΙΤΙΑΙ ΣΥΜΜΕΙΚΤΟΙ.
11k	ΠΕΡΙ ΤΗΣ ΛΙΘΟΥ.
tit,11l-15b	ΜΑΘΗΜΑΤΙΚΑ
11l	ΠΕΡΙ ΔΙΑΦΟΡΗΣ ΓΝΩΜΗΣ ἢ ΠΕΡΙ ΨΑΥΣΙΟΣ ΚΥΚΛΟΥ ΚΑΙ ΣΦΑΙΡΗΣ.
11m	ΠΕΡΙ ΓΕΩΜΕΤΡΙΗΣ.
11n	ΓΕΩΜΕΤΡΙΚΩΝ 〈 ΑΒ ?〉.
11o	ΑΡΙΘΜΟΙ.
11p	ΠΕΡΙ ΑΛΟΓΩΝ ΓΡΑΜΜΩΝ ΚΑΙ ΝΑΣΤΩΝ ΑΒ .
11q	ΕΚΠΕΤΑΣΜΑΤΑ.
11r	ΜΕΓΑΣ ΕΝΙΑΥΤΟΣ ἢ ΑΣΤΡΟΝΟΜΙΗ. ΠΑΡΑΠΗΓΜΑ.
12	CENSOR. 18, 8 est et Philolai annus [ 44 A 22] ... et Democriti ex annis LXXXII cum intercalariis [mensibus] perinde viginti octo.
13	APOLLON. de pronom. p. 65, 15 Schneid. καὶ Φερεκύδης ἐν τῆι Θεολογίαι [7 B 10] καὶ ἔτι Δ, ἐν τοῖς Περὶ ἀστρονομίας καὶ ἐν τοῖς ὑπολειπομένοις συντάγμασι συνεχέστερον χρῶνται τῆι ἐμεῦ καὶ ἔτι τῆι ἐμέο.
