Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 17	ἆρ’ ἔτυμον φάτιν ἔγνων, Αἴολε, ς’ εὐνάζειν τέκνα φίλτατα;
book 18	δοξάσαι ἔστι, κόραι· τὸ δ’ ἐτήτυμον οὐκ ἔχω εἰπεῖν.
book 19.1	τί δ’ αἰσχρὸν ἢν μὴ τοῖσι
book 19.2	χρωμένοις δοκῇ;
book 20	μὴ πλοῦτον εἴπῃς· οὐχὶ θαυμάζω θεόν, ὃν χὡ κάκιστος ῥᾳδίως ἐκτήσατο.
book 21.1	δοκεῖτ’ ἂν οἰκεῖν γαῖαν, εἰ πένης ἅπας λαὸς
book 21.2	πολιτεύοιτο
book 21.3	πλουσίων ἄτερ; οὐκ ἂν γένοιτο
book 21.4	χωρὶς ἐσθλὰ καὶ κακά, ἀλλ’ ἔστι
book 21.5	τις σύγκρασις, ὥστ’ ἔχειν καλῶς.[ln_5]ἃ μὴ γὰρ ἔστι τῷ πένητι
book 21.6	πλούσιος δίδως’· ἃ δ’ οἱ πλουτοῦντες οὐ κεκτήμεθα, τοῖσιν πένησι
book 21.7	χρώμενοι
book 21.8	τιμώμεθα.
book 22.1	τὴν δ’ εὐγένειαν
book 22.2	πρὸς θεῶν μή μοι λέγε, ἐν
book 22.3	χρήμασιν τόδ’ ἐστί, μὴ γαυροῦ, πάτερ· κύκλῳ γὰρ ἕρπει· τῷ μὲν ἔσθ’, ὃ δ’ οὐκ ἔχει· κοινοῖσι δ’ αὐτοῖς
book 22.4	χρώμεθ’· ᾧ δ’ ἂν ἐν δόμοις[ln_5]χρόνον
book 22.5	συνοικῇ πλεῖστον, οὗτος εὐγενής.
book 23.1	ἀλλ’ ἢ τὸ γῆρας τὴν Κύπριν
book 23.2	χαίρειν ἐᾷ, ἥ τ’ Ἀφροδίτη
book 23.3	τοῖς γέρουσιν ἄχθεται.
book 24.1	κακὸν γυναῖκα
book 24.2	πρὸς νέαν ζεῦξαι νέον· μακρὰ γὰρ ἰσχὺς μᾶλλον ἀρσένων μένει, θήλεια δ’ ἥβη θᾶσσον ἐκλείπει δέμας.
book 25.1	φεῦ φεῦ, παλαιὸς αἶνος ὡς καλῶς ἔχει· γέροντες οὐδέν ἐσμεν ἄλλο
book 25.2	πλὴν ψόφος καὶ σχῆμ’, ὀνείρων δ’ ἕρπομεν μιμήματα· νοῦς δ’ οὐκ ἔνεστιν, οἰόμεσθα δ’ εὖ φρονεῖν.
book 26.1	τῇ δ’ Ἀφροδίτῃ πόλλ’ ἔνεστι
book 26.2	ποικίλα· τέρπει
book 26.3	τε γὰρ μάλιστα καὶ λυπεῖ βροτούς. τύχοιμι δ’ αὐτῆς ἡνίκ’ ἐστὶν εὐμενής.
book 27.1	ἦ βραχύ τοι
book 27.2	σθένος ἀνέρος· ἀλλὰ ποικιλίᾳ πραπίδων δεινὰ μὲν φῦλα πόντου
book 27.3	χθονίων τ’ ἀερίων
book 27.4	τε[ln_5]δάμναται
book 27.5	παιδεύματα.
book 28.1	παῖδες, σοφοῦ πρὸς ἀνδρὸς ὅστις ἐν βραχεῖ πολλοὺς καλῶς οἷός
book 28.2	τε συντέμνειν λόγους.
book 29.1	σιγᾶν
book 29.2	φρονοῦντα κρείσσον’ εἰς ὁμιλίαν
book 29.3	πεσόντα· τούτῳ δ’ ἀνδρὶ μήτ’ εἴην φίλος μήτε ξυνείην, ὅστις αὐτάρκη
book 29.4	φρονεῖν πέποιθε δούλους
book 29.5	τοὺς φίλους ἡγούμενος.
book 30.1	ἀλλ’ ὅμως οἰκτρός
book 30.2	τις αἰὼν
book 30.3	πατρίδος ἐκλιπεῖν ὅρους.
book 31.1	ὀργῇ γὰρ ὅστις εὐθέως
book 31.2	χαρίζεται, κακῶς
book 31.3	τελευτᾷ· πλεῖστα γὰρ
book 31.4	σφάλλει βροτούς.
book 32	κακῆς 〈ἀπ’〉 ἀρχῆς γίγνεται τέλος κακόν.
book 33	οἴμοι, τίς ἀλγεῖν οὐκ ἐπίσταται κακοῖς; τίς ἂν κλύων τῶνδ’ οὐκ ἂν ἐκβάλοι δάκρυ;
book 34.1	γλυκεῖα γάρ μοι
book 34.2	φροντὶς οὐδαμῇ βίου.
book 35	αἰεὶ τὸ μὲν ζῇ, τὸ δὲ μεθίσταται κακόν, τὸ δ’ αὖ πέφηνεν αὖθις ἐξ ἀρχῆς νέον.
book 36.1	γυναῖκα δ’ ὅστις
book 36.2	παύσεται λέγων κακῶς, δύστηνος ἆρα κοὐ σοφὸς κεκλήσεται.
book 37.1	μοχθεῖν ἀνάγκη· τὰς δὲ δαιμόνων τύχας ὅστις φέρει κάλλιστ’ ἀνὴρ οὗτος
book 37.2	σοφός.
book 38.1	τὰ πόλλ’ ἀνάγκη διαφέρει
book 38.2	τολμήματα.
book 40	ἀκρατές
book 41	κατηρτυκέναι
book 42.1	καὶ χρόνου
book 42.2	προύβαινε
book 42.3	πούς
book 43	παλαιὰ καινοῖς δακρύοις οὐ χρὴ στένειν.
book 44.1	[spk_〈α.〉]〈Α.〉 οἶδ’· ἀλλὰ κάμπτειν τῷ χρόνῳ λύπας
book 44.2	χρεών.
book 44	[spk_〈β.〉]〈Β.〉 χρῆν· τοῦτο δ’ εἰπεῖν ῥᾷον ἢ φέρειν κακά.
book 45	ὥστ’ οὔτις ἀνδρῶν εἰς ἅπαντ’ εὐδαιμονεῖ.
book 46.1	πάντων τὸ θανεῖν· τὸ δὲ κοινὸν ἄχος μετρίως ἀλγεῖν
book 46.2	σοφία μελετᾷ.
book 47.1	ὅθεν δὲ νικᾶν
book 47.2	χρῆν
book 47.3	σε, δυστυχεῖς, ἄναξ· ὅθεν δέ ς’ οὐ χρῆν, εὐτυχεῖς. δούλοισι γὰρ
book 47.4	τοῖς
book 47.5	σοῖσι νικᾷς, τοῖς δ’ ἐλευθέροισιν οὔ.
book 48.1	σοφὸς μὲν οὖν εἶ, Πρίαμ’, ὅμως δέ σοι λέγω· δούλου
book 48.2	φρονοῦντος μᾶλλον ἢ φρονεῖν
book 48.3	χρεὼν οὐκ ἔστιν ἄχθος μεῖζον οὐδὲ δώμασιν κτῆσις κακίων οὐδ’ ἀνωφελεστέρα.
book 49.1	ἤλεγχον· οὕτω γὰρ κακὸν δούλων γένος· γαστὴρ ἅπαντα, τοὐπίσω δ’ οὐδὲν
book 49.2	σκοπεῖ.
book 50.1	δούλων ὅσοι
book 50.2	φιλοῦσι δεσποτῶν γένος, πρὸς τῶν ὁμοίων πόλεμον αἴρονται μέγαν.
book 51.1	δούλους γὰρ οὐ καλὸν
book 51.2	πεπᾶσθαι κρείσσονας τῶν δεσποτῶν.
book 52.1	περισσόμυθος ὁ λόγος, εὐγένειαν εἰ βρότειον εὐλογήσομεν. τὸ γὰρ πάλαι καὶ πρῶτον ὅτ’ ἐγενόμεθα, διὰ δ’ ἔκρινεν ἁ τεκοῦσα γᾶ βροτούς,[ln_5]ὁμοίαν
book 52.2	χθὼν ἅπασιν ἐξεπαίδευσεν ὄψιν. ἴδιον οὐδὲν ἔσχομεν· μία δὲ γονὰ τό τ’ εὐγενὲς καὶ τὸ δυσγενές· νόμῳ δὲ γαῦρον αὐτὸ κραίνει
book 52.3	χρόνος. τὸ φρόνιμον εὐγένεια καὶ τὸ συνετὸν[ln_10]ὁ θεὸς δίδωσιν, οὐχ ὁ πλοῦτος.
book 53	οὐκ ἔστιν ἐν κακοῖσιν εὐγένεια, παρ’ ἀγαθοῖσι δ’ ἀνδρῶν.
book 54.1	κακόν
book 54.2	τι παίδευμ’ ἦν ἄρ’ εἰς εὐανδρίαν ὁ πλοῦτος ἀνθρώποισιν αἵ τ’ ἄγαν
book 54.3	τρυφαί· πενία δὲ δύστηνον μέν, ἀλλ’ ὅμως
book 54.4	τρέφει μοχθεῖν τ’ ἀμείνω τέκνα καὶ δραστήρια.
book 55.1	ἄδικον ὁ πλοῦτος, πολλὰ δ’ οὐκ ὀρθῶς
book 55.2	ποεῖ.
book 56	ἄναξ, διαβολαὶ δεινὸν ἀνθρώποις κακόν· ἀγλωσσίᾳ δὲ πολλάκις ληφθεὶς ἀνὴρ δίκαια λέξας ἧσσον εὐγλώσσου φέρει.
book 57	ὦ παγκάκιστοι καὶ τὸ δοῦλον οὐ λόγῳ ἔχοντες, ἀλλὰ τῇ τύχῃ κεκτημένοι
book 58.1	οἴμοι, θανοῦμαι διὰ τὸ χρήσιμον
book 58.2	φρενῶν, ἣ τοῖσιν ἄλλοις γίγνεται
book 58.3	σωτηρία.
book 59	ἐκ τῶν ὁμοίων οἱ κακοὶ γαμοῦς’ ἀεί.
book 60	χρόνος δὲ δείξει 〈σ’〉· ᾧ τεκμηρίῳ μαθὼν ἢ χρηστὸν ὄντα γνώσομαί ς’ ἢ κακόν.
book 61	μισῶ σοφὸν ἐν λόγοισιν, ἐς δ’ ὄνησιν οὐ σοφόν.
book 62.1	Ἑκάβη, τὸ θεῖον ὡς ἄελπτον ἔρχεται θνητοῖσιν, ἕλκει δ’ οὔποτ’ ἐκ
book 62.2	ταὐτοῦ τύχας.
book 63	ἄρρητος κόρη
book 65	ἥκω δ’ ἀτενὴς ἀπ’ οἴκων
book 66.1	οὐδὲ πυνθάνεσθε
book 66.2	ταῦτ’, ὦ παρθένοι, τἀν τῇ πόλει;
book 67.1	ὁ φόβος, ὅταν
book 67.2	τις αἵματος μέλλῃ πέρι λέγειν καταστὰς εἰς ἀγῶν’ ἐναντίον, τό τε
book 67.3	στόμ’ εἰς ἔκπληξιν ἀνθρώπων ἄγει τὸν νοῦν τ’ ἀπείργει μὴ λέγειν ἃ βούλεται.[ln_5]τῷ μὲν γὰρ ἔνι κίνδυνος, ὃ δ’ ἀθῷος μένει. ὅμως δ’ ἀγῶνα τόνδε δεῖ μ’ ὑπεκδραμεῖν· ψυχὴν γὰρ ἆθλα κειμένην ἐμὴν ὁρῶ.
book 68	[spk_〈α.〉]〈Α.〉 μητέρα κατέκταν τὴν ἐμήν, βραχὺς λόγος.
book 68	[spk_〈φ.〉]〈Φ.〉 ἑκὼν ἑκοῦσαν ἢ 〈οὐ〉 θέλουσαν οὐχ ἑκών;
book 69.1	μάλιστα μέν μ’ ἐπῆρ’ ἐπισκήψας
book 69.2	πατήρ, ὅθ’ ἅρματ’ εἰσέβαινεν εἰς Θήβας ἰών.
book 70	ὃς Οἰδίπουν ἀπώλες’, Οἰδίπους δ’ ἐμέ, χρυσοῦν ἐνεγκὼν ὅρμον εἰς Ἄργους πόλιν.
book 71	αἷμα γὰρ σόν, μῆτερ, ἀπενίψατο
book 72.1	χαῖρ’, ὦ γεραιέ· τήν
book 72.2	τε παῖδ’ ἐκδοὺς ἐμοὶ γαμβρὸς νομίζῃ καὶ πατὴρ
book 72.3	σωτήρ τ’ ἐμός.
book 73	ἀργαίνειν
book 74.1	φίλαι φίλαι, πρόβατε, μόλε
book 74.2	τις ὧδε· ποδαπὸς ὁ ξένος Κορινθίοις ἔμολεν ἀγχίαλος;
book 75	ὦ παῖ Κρέοντος, ὡς ἀληθὲς ἦν ἄρα, ἐσθλῶν ἀπ’ ἀνδρῶν ἐσθλὰ γίγνεσθαι τέκνα, κακῶν δ’ ὅμοια τῇ φύσει τῇ τοῦ πατρός.
book 76.1	ὁρᾶτε τὸν τύραννον ὡς ἄπαις γέρων
book 76.2	φεύγει· φρονεῖν δὲ θνητὸν ὄντ’ οὐ χρὴ μέγα.
book 77	ἀπαιώνιστον
book 78	γυναῖκα καὶ ὠφελίαν καὶ νόσον ἀνδρὶ φέρειν μεγίσταν ἐδίδαξα τὠμῷ λόγῳ.
book 79	βροτοῖς τὰ μείζω τῶν μέσων τίκτει νόσους· θεῶν δὲ θνητοὺς κόσμον οὐ πρέπει φέρειν.
book 80	φεῦ 〈φεῦ〉, τὰ μεγάλα μεγάλα καὶ πάσχει κακά.
book 81.1	ταπεινὰ γὰρ
book 81.2	χρὴ τοὺς κακῶς
book 81.3	πεπραγότας λέγειν, ἐς ὄγκον δ’ οὐκ ἄνω βλέπειν τύχης.
book 82.1	τὰ τῶν
book 82.2	τεκόντων ὡς μετέρχεται θεὸς μιάσματα
book 83	εἰ τοῦ τεκόντος οὐδὲν ἐντρέπῃ πατρός
book 84.1	ἢ τί πλέον εἶναι
book 84.2	παῖδας ἀνθρώποις, πάτερ, εἰ μὴ ἐπὶ τοῖς δεινοῖσιν ὠφελήσομεν;
book 85.1	μέτεστι
book 85.2	τοῖς δούλοισι δεσποτῶν νόσου.
book 86.1	ὅστις δὲ δούλῳ φωτὶ πιστεύει βροτῶν, πολλὴν
book 86.2	παρ’ ἡμῖν μωρίαν ὀφλισκάνει.
book 87.1	γυναῖκες, ὁρμήθητε μηδ’ ἀθυμία
book 87.2	σχέθῃ τις ὑμᾶς· ταῦτα γὰρ
book 87.3	σκεθρῶς ὁρᾶν ἡμᾶς ἀνάγκη
book 87.4	τοὺς νομίζοντας τέχνην
book 88	πολὺς δ’ ἀνεῖρπε κισσὸς εὐφυὴς κλάδος, ἀηδόνων μουσεῖον
book 89.1	οὐ γάρ
book 89.2	ποτ’ εἴων
book 89.3	Σθένελον εἰς τὸν εὐτυχῆ χωροῦντα
book 89.4	τοῖχον τῆς δίκης ἀποστερεῖν.
book 90.1	πόθεν δὲ πεύκης
book 90.2	πανὸν ἐξηῦρες λαβεῖν;
book 91	ἀτρέκεια δ’ ἄριστον ἀνδρὸς ἐν πόλει δικαίου πέλει.
book 92.1	ἴστω τ’ ἄφρων ὢν ὅστις ἄνθρωπος γεγὼς δῆμον κολούει
book 92.2	χρήμασιν γαυρούμενος.
book 93.1	ἀεὶ δ’ ἀρέσκειν
book 93.2	τοῖς κρατοῦσι· ταῦτα γὰρ δούλοις ἄριστα· κἀφ’ ὅτῳ τεταγμένος εἴη
book 93.3	τις, ἁνδάνοντα δεσπόταις
book 93.4	ποεῖν.
book 94.1	τῶν γὰρ δυναστῶν
book 94.2	πλεῖστος ἐν πόλει λόγος.
book 95.1	ἀλλ’ οὐδὲν ηὑγένεια
book 95.2	πρὸς τὰ χρήματα· τὸν γὰρ κάκιστον
book 95.3	πλοῦτος εἰς
book 95.4	πρώτους ἄγει.
book 96.1	σκαιόν
book 96.2	τι χρῆμα
book 96.3	πλοῦτος ἥ τ’ ἀπειρία.
book 97.1	ἀλλ’ οὐ γὰρ ὀρθῶς
book 97.2	ταῦτα, γενναίως 〈δ’〉 ἴσως ἔπραξας· αἰνεῖσθαι δὲ δυστυχῶν ἐγὼ μισῶ· λόγος γὰρ
book 97.3	τοὔργον οὐ νικᾷ ποτε.
book 98.1	ἀλλ’ εὖ φέρειν
book 98.2	χρὴ συμφορὰς τὸν εὐγενῆ.
book 99.1	τὸν εὐτυχοῦντα
book 99.2	χρῆν
book 99.3	σοφὸν
book 99.4	πεφυκέναι.
book 100.1	θάρσει, τάχ’ ἂν γένοιτο· πολλά τοι θεὸς κἀκ τῶν ἀέλπτων εὔπορ’ ἀνθρώποις
book 100.2	τελεῖ.
book 101.1	ἀλλ’ ἡμέρα
book 101.2	τοι
book 101.3	πολλὰ καὶ μέλαινα νὺξ τίκτει βροτοῖσιν.
book 102.1	σοφώτεροι γὰρ
book 102.2	συμφορὰς τὰς τῶν πέλας πάντες διαθρεῖν ἢ τύχας τὰς οἴκοθεν.
book 103.1	δεινόν
book 103.2	τι τέκνων φίλτρον ἐνῆκεν θεὸς ἀνθρώποις.
book 104	ἀμολγὸν νύκτα
book 105.1	ὁρῶ μὲν ἀνδρῶν τόνδε γυμνάδα
book 105.2	στόλον
book 105.3	στείχοντα θεωρὸν ἐκ
book 105.4	τρόχων
book 105.5	πεπαυμένον.
book 106	.. γέμουσαν κύματος θεοσπόρου
book 107	πλήσας δὲ νηδὺν οὐδ’ ὄναρ κατ’ εὐφρόνην φίλοις ἔδειξεν αὑτόν.
book 108	γυνὴ γυναικὶ σύμμαχος πέφυκέ πως.
book 109.1	οὐ μὴν σύ γ’ ἡμᾶς
book 109.2	τοὺς
book 109.3	τεκόντας ᾐδέσω.
book 110.1	ἐγὼ δ’, ὃ μὲν μέγιστον, ἄρξομαι λέγειν ἐκ
book 110.2	τοῦδε
book 110.3	πρῶτον· πατρὶ πείθεσθαι
book 110.4	χρεὼν
book 110.5	παῖδας νομίζειν τ’ αὐτὸ τοῦτ’ εἶναι δίκην.
book 111.1	τί δῆτα μοχθεῖν δεῖ γυναικεῖον γένος
book 111.2	φρουροῦντας; αἱ γὰρ εὖ τεθραμμέναι
book 111.3	πλέον
book 111.4	σφάλλουσιν οἴκους τῶν
book 111.5	παρημελημένων.
book 112.1	ὁ χρόνος ἅπαντα
book 112.2	τοῖσιν ὕστερον
book 112.3	φράσει, λάλος ἐστὶν οὗτος, οὐκ ἐρωτῶσιν λέγει.
book 113	ὁδῆσαι
book 114	[spk_ανδρ]ΑΝΔΡ. Ὦ νὺξ ἱερά, ὡς μακρὸν ἵππευμα διώκεις ἀστεροειδέα νῶτα διφρεύους’ αἰθέρος ἱερᾶς[ln_5]τοῦ σεμνοτάτου δι’ Ὀλύμπου.
book 115.1	τί ποτ’ Ἀνδρομέδα
book 115.2	περίαλλα κακῶν μέρος ἐξέλαχον, θανάτου
book 115.3	τλήμων μέλλουσα
book 115.4	τυχεῖν;
book 116.1	ποῖαι λιβάδες, ποία
book 116.2	σειρήν
book 117.1	φίλαι
book 117.2	παρθένοι, φίλαι μοι
book 118	προσαυδῶ σὲ τὰν ἐν ἄντροις, ἀπόπαυσον, ἔασον Ἀ‐ χοῖ με σὺν φίλαισιν γόου κόρον λαβεῖν.
book 119	συνάλγησον, ὡς ὁ κάμνων δακρύων μεταδοὺς ἔχει κουφότητα μόχθων.
book 120.1	ἄνοικτος ὃς
book 120.2	τεκὼν σὲ τὴν
book 120.3	πολυπονωτάτην βροτῶν μεθῆκεν Ἅιδᾳ πάτρας ὑπερθανεῖν.
book 121.1	ἐκθεῖναι κήτει
book 121.2	φορβάν
book 122.1	Ar. Thesm. 1029—1041[ln_1029]ὁρᾷς; οὐ χοροῖσιν[ln_1030]οὐδ’ ὑφ’ ἡλίκων νεανίδων .... ἕστηκ’ ἔχους’, ἀλλ’ ἐν
book 122.2	πυκνοῖς δεσμοῖσιν ἐμπεπλεγμένη κήτει βορὰ ... πρόκειμαι. γαμηλίῳ μὲν οὐ ξὺν[ln_1035]παιῶνι, δεσμίῳ δέ, γοᾶσθέ μ’, ὦ γυναῖκες, ὡς μέλεα μὲν πέπονθα μέλεος, ὦ τάλας ἐγὼ τάλας, ἀπὸ δὲ συγγόνων τάλαν’ ἄνομα πάθεα[ln_1040]φῶτά τε λιτομένα, πολυδάκρυτον Ἀίδα γόον
book 122.3	φλέγουσαν[ln_1041n]et mox v. 1047—1055[ln_1047]ἰὼ μοίρας ἄτεγκτε δαίμων·
book 122.1	ὦ κατάρατος ἐγώ·[ln_1048]τίς ἐμὸν οὐκ ἐπόψεται πάθος ἀμέγαρτον ἐπὶ κακῶν
book 122.2	παρουσίᾳ; εἴθε με
book 122.3	πυρφόρος ἀστεροπητὴς τὸν βάρβαρον ἐξολέσειεν. οὐ γὰρ ἔτ’ ἀθανάταν
book 122.4	φλόγα λεύσσειν ἐστὶν ἐμοὶ φίλον, ὡς ἐκρεμάσθην λαιμότμητ’ ἄχη, δαιμονῶν αἰόλαν[ln_1055]νέκυσιν ἐπὶ πορείαν.
book 123.1	Περσεὺς
book 123.2	πρὸς Ἄργος ναυστολῶν τὸ Γοργόνος κάρα κομίζων
book 124.1	ὦ θεοί, τίν’ εἰς γῆν βαρβάρων ἀφίγμεθα
book 124.2	ταχεῖ πεδίλῳ; διὰ μέσου γὰρ αἰθέρος τέμνων κέλευθον πόδα τίθημ’ ὑπόπτερον.
book 125.1	ἔα, τίν’ ὄχθον τόνδ’ ὁρῶ περίρρυτον ἀφρῷ θαλάσσης; παρθένου τ’ εἰκώ τινα ἐξ αὐτομόρφων λαΐνων
book 125.2	τυκισμάτων
book 125.3	σοφῆς ἄγαλμα
book 125.4	χειρός.
book 126	σιγᾷς· σιωπὴ δ’ ἄπορος ἑρμηνεὺς λόγων.
book 127.1	[spk_περς]ΠΕΡΣ. ὦ παρθέν’, οἰκτίρω
book 127.2	σε κρεμαμένην ὁρῶν. ΑΝΔΡ. σὺ δ’ εἶ τίς ὅστις
book 127.3	τοὐμὸν ᾤκτιρας πάθος;
book 128.1	ὦ ξένε, κατοίκτιρόν με τὴν
book 128.2	παναθλίαν, λῦσόν με δεσμῶν.
book 129	ὦ παρθέν’, εἰ σῴσαιμί ς’, εἴσῃ μοι χάριν;
book 130.1	τὰς
book 130.2	συμφορὰς γὰρ τῶν κακῶς
book 130.3	πεπραγότων οὐπώποθ’ ὕβρις’, αὐτὸς ὀρρωδῶν
book 130.4	παθεῖν.
book 131.1	μή μοι
book 131.2	προτείνων ἐλπίδ’ ἐξάγου δάκρυ. γένοιτό τἂν πόλλ’ ὧν δόκησις οὐκ ἔνι.
book 132.1	ἄγου δέ μ’, ὦ ξεῖν’, εἴτε
book 132.2	πρόσπολον θέλεις εἴτ’ ἄλοχον εἴτε δμωίδ’ . . . . .
book 133.1	ἀλλ’ ἡδύ τοι
book 133.2	σωθέντα μεμνῆσθαι πόνων.
book 134.1	εὔκλειαν ἔλαβον οὐκ ἄνευ
book 134.2	πολλῶν πόνων.
book 135.1	ἦ που τὸ μέλλον ἐκφοβεῖ καθ’ ἡμέραν· ὡς
book 135.2	τοῦ γε πάσχειν
book 135.3	τοὐπιὸν μεῖζον κακόν.
book 136.1	σὺ δ’ ὦ θεῶν τύραννε κἀνθρώπων Ἔρως, ἢ μὴ δίδασκε τὰ καλὰ φαίνεσθαι καλά, ἢ τοῖς ἐρῶσιν εὐτυχῶς
book 136.2	συνεκπόνει μοχθοῦσι μόχθους ὧν σὺ δημιουργὸς εἶ.[ln_5]καὶ ταῦτα μὲν δρῶν τίμιος θεοῖς ἔσῃ, μὴ δρῶν δ’ ὑπ’ αὐτοῦ τοῦ διδάσκεσθαι
book 136.3	φιλεῖν ἀφαιρεθήσῃ χάριτας αἷς
book 136.4	τιμῶσί σε.
book 137.1	τῶν γὰρ
book 137.2	πλούτων ὅδ’ ἄριστος γενναῖον λέχος εὑρεῖν.
