Grammatical Fragments
Γραμματικὰ Ἀποσπάσματα
by Philetas of Cos
eul_wid: hvm-aa    eul_aid: hvm
book 6.3	τετάρτῳ Συνωνύμων .... Φιλήτας δ’ ἐν Ἀτάκτοις ἀγγεῖον ξύλι‐ νον, ἀφ’ οὗ τοὺς ἀγροίκους πίνειν.
book 7.1	Athen. XI 498 a σκάλλιον κυλίκιον μικρόν, ᾧ σπένδουσιν Αἰολεῖς, ὡς
book 7.2	Φιλήτας
book 7.3	φησὶν ἐν Ἀτάκτοις.
book 8.1	Athen. XIV 646 d ἀμόραι. τὰ μελιτώματα
book 8.2	Φιλήτας ἐν Ἀτάκτοις ἀμόρας
book 8.3	φησὶν καλεῖσθαι. μελιτώματα δ’ ἐστὶν
book 8.4	πεπεμμένα.
book 9.1	Athen. XIV 645 d κρήιον
book 9.2	πλακοῦς ἄρτος, ὃν Ἀργεῖοι
book 9.3	παρὰ τῆς νύμφης
book 9.4	πρὸς τὸν νυμφίον φέρουσιν. ὀπτᾶται δ’ ἐν ἄνθραξιν, καὶ καλοῦνται ἐπ’ αὐτὸν οἱ φίλοι, παρατίθεται δὲ μετὰ μέλιτος.
book 10.1	Athen. XI 483 a Φιλήτας δὲ Συρακοσίους κύπελλα καλεῖν τὰ τῆς μάζης καὶ τῶν ἄρτων ἐπὶ τῆς
book 10.2	τραπέζης καταλείμματα.
book 11.1	Ath. III 114 e Φιλήτας δ’ ἐν
book 11.2	τοῖς Ἀτάκτοις
book 11.3	σποδέα καλεῖσθαί τινα ἄρτον, ὃν ὑπὸ τῶν
book 11.4	συγγενῶν μόνον καταναλίσκεσθαι.
book 12.1	Athen. XV 678 a ἀλλὰ μὴν καὶ ἰάκχαν
book 12.2	τινὰ καλούμενον οἶδα
book 12.3	στέφανον ὑπὸ Σικυωνίων, ὥς
book 12.4	φησι
book 12.5	Τιμαχίδας ἐν
book 12.6	ταῖς Γλώσσαις. Φιλήτας δ’ οὕτως γράφει· ἰάκχα ἐν τῇ Σικυωνίᾳ στεφάνωμα εὐῶδες· [para]ἕστηκ’ ἀμφὶ κόμας εὐώδεας ἄγχοθι
book 12.7	πατρὸς[ln_5]καλὸν ἰακχαῖον θηκαμένη
book 12.8	στέφανον.
book 13	Athen. XV 677 c Φιλήτας δέ φησι 〈ἴσθμιον·〉 στέφανος ἤγουν ὁμωνυμία ἀμφοτέρωθι οἷον τῆς κεφαλῆς καὶ τοῦ 〈περὶ αὐτῇ κόσμου καὶ τοῦ τραχήλου καὶ τοῦ〉 περὶ αὐτῷ κόσμου. λέγω δὲ 〈καὶ〉 τὸ ἐπὶ τοῦ φρέατος καὶ τοῦ ἐγχειριδίου ἴσθμιον.
book 14.1	Athen. XV 678 d Φιλήτας δ’ ἐν
book 14.2	τοῖς Ἀτάκτοις ὑποθυμίδας Λεσβίους
book 14.3	φησὶν καλεῖν μυρσίνης κλῶνα, περὶ ὃν
book 14.4	πλέκειν ἴα καὶ ἄλλα ἄνθη.
book 15	Etym. M. 330, 39 ἐλινός· ἡ ἄμπελος, ὡς Ἀπολλόδωρος. Φιλήτας δ’ ἐν Γλώσσαις τὸν κλάδον τῆς ἀμπέλου.
book 16.1	Schol. Ap. Rhod. IV 989 στάχυν ὄμπνιον· πολύν, δαψιλῆ. Φιλήτας ἐν Ἀτάκτοις Γλώσσαις ἀπέδωκε ὄμπνιον
book 16.2	στάχυν τὸν εὔχυλον καὶ τρόφιμον. Κυρηναίων δέ τινες τὸν
book 16.3	πλούσιον καὶ εὐδαίμονα ὄμπνιον καλοῦσιν. ἄμεινον δὲ τὸν
book 16.4	φερέσβιον εἰπεῖν οἱονεὶ ἔμπνοόν[ln_5]τινα ὄντα καὶ ὄμπνιον.
book 17.1	Orion. Paris. 2630 (p. 185 Sturz, Et. M. 180, 34) Ἀχαιά· ἡ Δημήτηρ
book 17.2	παρὰ Ἀττικοῖς ... ἢ ὡς
book 17.3	Φιλήτας τὰς ἐρίθους ἀχαιὰς ἐκάλουν.
book 18.1	Hesych. s. ἄμαλλα· δράγματα, δέσμαι τῶν ἀσταχύων ... ἀγκάλη, δράγματα ρʹ, ὥς
book 18.2	φησι Ἴστρος, Φιλήτας δὲ ἱστορεῖ ἐκ σʹ.
book 19.1	Hesych. s. βαίβυκος· πελεκᾶνος
book 19.2	Φιλήτας. Ἀμερίας δὲ βαυκάλας.
book 20.1	Schol. Ap. Rhod. II 279 πρόκας· ζῷόν
book 20.2	τι ὅμοιον ἐλάφῳ ὁ λεγόμενος νεβρὸς ... Φιλήτας δέ φησι
book 20.3	πρόκας λέγεσθαι ἐλάφους τὰς
book 20.4	πρώτως
book 20.5	τικτομένας, οἷον
book 20.6	πρωτοτόκους.
book 21.1	Hesych. s. σκεῖρος· ῥύπος καὶ ὁ δριμὺς
book 21.2	τυρὸς ... Φιλήτας δὲ τὴν
book 21.3	πυρώδη γῆν.
book 22.1	Hesych. s. σκύζης· παρὰ Φιλήτᾳ· παύσω
book 22.2	σε τῆς
book 22.3	σκύζης· ἀντὶ τοῦ τῆς κάπρας.
book 23	Hesych. s. ὑπ’ αὐνήν· παρ’ Ἑκαταίῳ Φιλήτας.
book 24.1	Hesych. s. ὑπεζῶσθαι· τὸ εἰς ἄνδρας ἐλθεῖν
book 24.2	Φιλήτας.
book 25.1	Strabo III p. 168 σφενδόνας δὲ περὶ τῇ κεφαλῇ τρεῖς 〈μελαγ‐ κρανίνας· σχοίνου εἶδος, ἐξ οὗ πλέκεται τὰ σχοινία· καὶ Φιλήτας γε ἐν Ἑρμηνείᾳ. [para]λευγαλέος δὲ χιτὼν
book 25.2	πεπινωμένος, ἀμφὶ δ’ ἀραιὴ[ln_5]ἰξὺς εἰλεῖται κόμμα μελαγκράνινον ὡς
book 25.3	σχοίνῳ ἐζωσμένου〉 μελαγκρανίνας ἢ τριχίνας ἢ νευρίνας.
book 26.1	Schol. A ad A 524 κεφαλῇ κατανεύσομαι] οὕτως κατανεύσομαι, οὐχὶ ἐπινεύσομαι Ἀριστάρχος ἐν
book 26.2	τοῖς
book 26.3	πρὸς
book 26.4	Φιλήταν (Φιλητᾶν cod.) προφέρεται.
book 27.1	Schol. A (Didymus) ad Β 111 (Ζεύς με μέγα Κρονίδης ἄτῃ ἐνέδησε βαρείῃ) Ζεύς με μέγας] ἐν γοῦν τῷ πρὸς
book 27.2	Φιλήταν (Φιλιτ ') συγγράμματι τῇ γραφῇ κέχρηται (scil. Aristarchus).
book 28.1	Schol. A ad Β 269 ἀλγήσας δ’ ἀχρεῖον ἰδὼν ἀμομόρξατο δά‐ κρυ] ὅτι
book 28.2	Φιλήτας (Φιλιτᾶς) τὸ ἰδὼν
book 28.3	περισπᾷ, οἷον τῶν ὀφθαλμῶν, ἰδεῶν. οὐδέποτε δὲ Ὅμηρος ἰδέας
book 28.4	τοὺς ὀφθαλμοὺς εἶπεν. Cf. glos‐ sema interlin. cod. A ad h. l. ἰδὼν ὀξύνεται· μετοχὴ γάρ ἐστι.
book 29.1	Schol. A ad Φ 126 θρώσκων
book 29.2	τις κατὰ κῦμα μέλαιναν
book 29.3	φρῖχ’ ὑπαΐξει ἰχθὺς] ' πρὸς τὸ σημαινόμενον· Φιλήτας (Φιλητᾶς) γὰρ καὶ Καλλίστρατος γράφουσι
book 29.4	φρῖχ’ ὑπαλύξει, λέγοντες ὅτι οἱ πίονες τῶν ἰχθύων καὶ εὔτροφοι τὸ ψῦχος ὑπομένουσι καὶ οὐ φθείρονται. ὁ δὲ[ln_5]ποιητὴς οὐδέποτε
book 29.5	φρίκην τὸ ψῦχος εἴρηκεν κτλ. [para]Schol. B ad 1. 1. Φιλήτας (Φιλίτας) δὲ ἀρεσκόμενος τῇ ὑπαλύξει γραφῇ φησιν ὡς ἐκεῖνος ὁ λιπανθεὶς ἰχθὺς ὑπὸ τοῦ δημοῦ τὴν
book 29.6	ψυχρασίαν ὑπαλύξει. Ibid. infra: Φιλήτας (–ητᾶς) δὲ τῇ ὑπαλύξει γραφῇ συντιθέμενός
book 29.7	φησιν ὅτι ὁ φαγὼν ἰχθὺς τὸν Λυκάονος δημόν,
book 29.1	[ln_10]πιμελώδης γενόμενος, τὸ κρύος ἐκφεύξεται. ἀγνοεῖ δὲ καὶ τοῦτο, ὅτι τὸ διανεστηκὸς τῆς θαλάττης ἐπιπολῆς οὐ τὸ κρύος
book 29.2	φησὶν Ὅμηρος
book 29.3	φρῖκα. Eadem in Schol. Oxyrh. Pap. II pag. 61: Φιλητας (sic) δὲ ὑ[παλύξει κτλ. [para]cf. Schol. A ad Ζ 459 ἡ δὲ ἀναφορὰ πρὸς
book 29.4	Φιλήταν (Φιλητὰ)[ln_15]γράφοντα „θρώσκων
book 29.5	τις κτλ.“ [para]Adde Schol. A ad Η 171 ἡ δὲ ἀναφορὰ πρὸς τὸ „ἰχθὺς ὅς κε φάγῃσι“ πρὸς
book 29.6	Φιλήταν (Φιλιτᾶν). Denique Porphyr. Quaest. Homer. p. 293 Sch. Φιλήτας (sic vel –ητᾶς codd.) δὲ τῇ ὑπαλύ‐ ξει κτλ.
book 30.1	Eustath. ad Φ 252 p. 1235, 39 αἰετοῦ οἴματ’ ἔχων μέλανος
book 30.2	τοῦ θηρητῆρος] τὸ δὲ αἰετοῦ οἴματ’ ἔχων
book 30.3	Φιλήτας (sic), φασί, γράφει αἰετοῦ ὄμματ’ ἔχων. κρεῖττον δὲ τὸ οἴματα.
book 31.1	Spurium[ln_1]Etym. M. 689, 24 cod. M. προκρόσσας κέκληκε
book 31.2	Φιλητὰς (sic) τὰς νῆας λʹ ἰλιάδος ζ.

—
Canonical:  https://eulogikon.org/works/philetas-cos-grammatical-fragments-hvm-aa
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: hvm-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
