Fragments on the Trojan War
Ἀποσπάσματα περὶ τοῦ Τρωικοῦ Πολέμου
by Ibycus of Rhegium
eul_wid: asw-aa    eul_aid: asw
book 1a.2	Πλεισθ[ενί]δας βασιλ[εὺ]ς ἀγὸς ἀνδρῶν Ἀτρέος ἐσ[θλοῦ] πάις ἐκ π[ατρό]ς· καὶ τὰ μὲ[ν ἂν] Μοίσαι
book 1a.3	σεσοφ[ισμ]έναι εὖ Ἑλικωνίδ[ες] ἐμβαίεν λογ[ ·[ln_25]θνατὸς δ’ οὔ κ[ε]ν ἀνὴρ διερὸ[ς] τὰ ἕκαστα εἴποι ναῶν ὡ[ς Μεν]έλαος ἀπ’ Αὐλίδος Αἰγαῖον δ[ιὰ πό]ντον ἀπ’ Ἄργεος ἠλύθο[ν .....]ν[ln_30]ἱπποτρόφο[ν ...]ε φώτες χ]αλκάσπ[ιδες υἷ]ες Ἀχα[ι]ῶν τ]ῶν μὲν
book 1a.4	πρ[οφ]ερέστατος α[ἰ]χμᾶι ...]. πόδ[ας ὠ]κὺς Ἀχιλλεὺς καὶ μέ]γας Τ[ελαμ]ώνιος ἄλκι[μος Αἴας[ln_35]......]. ατ[.......]γυρος. ...............]ος ἀπ’ Ἄργεος ................]ς ἐς Ἴλιον ................] ...............].[.].
book 1a.1	[ln_40]...............]α
book 1a.2	χρυσεόστροφ[ος Ὕλλις ἐγήνατο, τῶι δ’ [ἄ]ρα
book 1a.3	Τρωίλον ὡσεὶ χρυσὸν ὀρει‐ χάλκωι
book 1a.4	τρὶς ἄπεφθο[ν] ἤδη
book 1a.5	Τρῶες Δ[α]ναοί τ’ ἐρό[ε]σσαν[ln_45]μορφὰν μάλ’ ἐίσκον ὅμοιον. τοῖς μὲν πέδα κάλλεος αἰὲν καὶ σύ, Πολύκρατες, κλέος ἄφθιτον ἑξεῖς ὡς κατ’ ἀοιδὰν καὶ ἐμὸν κλέος.
book 1b,4	. . . σο[ α[ ε.[[ln_5]νυσσον[ ασπιδα[ τοιδαῦχα[ τυπτ[ εγ[
book 1b,5	. . .[ln_1]δασε[ .]ὲνθ[ ι]χνια[ αι´̆θόια[[ln_5]αιτελυ[ πα[ φραδ[ ναιο[ ἐξὰπ[[ln_10].]ατα[ .].[ . . .
book 1b,6	. . .[ln_1]]σι[ ] [] ]δ[[ln_5]]κέ[ ]νη[ ]νοσα[ ]φά[ . . .
book 1b,7	. . .[ln_1][ ]. [ ]κτυ []νητηριγα[ [ ]λισπρε[[ln_5]. . .
book 1b,8	. . .[ln_1][]..[ []σινπ[ []ὴοσδ.[ [ ]ιλο[[ln_5][ ]ευμ[ . . .
book 1b,9	. . .[ln_1]]δ’ αρε[ . . .
book 1b,10	. . .[ln_1]]λο[ ]στ[ ]ππ[ ]..[[ln_5]. . .
book 1b,11	. . .[ln_1]]ου[ ]ρέα[ . . .
book 1b,12	. . .[ln_1][]νοσ[ [ ].[ [ ]μ[ [ ][ln_5][ ] [ ].[ . . .
book 1b,13	. . .[ln_1][]ιφα[ [] [ ] . . .
book 1b,14	. . .[ln_1]] ] ]ὼτὸ[ . . .
book 1b,15	. . .[ln_1]]ὼσ[ ] ]λέ[ ]ο·[ln_5]]οσ[ ]ρχ[ . . .
book 1c,1	. . .[ln_1][ ].[ [] []ν· [][ln_5][ ] [ ] . . .
book 1c,2	. . .[ln_1][ ].ο[ [].νεπι[ [ ]ωνια[ [ ]σαν[[ln_5][ ]πασ[ [ ]ρητο[ [ ]σιγυ[ . . .
book 1c,3	. . .[ln_1][ ]ασ[ [ ]ν [ ] []τάμνω[[ln_5][ ] [ ] [ ] . . .
book 1c,4	. . .[ln_1][ ]ε.[ [ ]ινικη[ [ ]σεμε[ [ ].ολᾱι[ln_5][ ]ἁγητοριχ[ [ ]μουσνα[ []εροεντα[[ln_7]col. fin. ut vid.
book 2.1	δαρὸν δάραοι χρόνον ἧστο τάφει
book 2.2	πεπαγώς
book 4.1	[ln_1]τούς
book 4.2	τε λευκίππους κόρους τέκνα Μολιόνας κτάνον, ἅλικας ἰσοκεφάλους ἑνιγυίους ἀμφοτέρους γεγαῶτας ἐν ὠέωι[ln_5]ἀργυρέωι.
book 5.1	ἦρι μὲν αἵ τε Κυδώνιαι μηλίδες ἀρδόμεναι ῥοᾶν ἐκ
book 5.2	ποταμῶν, ἵνα
book 5.3	Παρθένων κῆπος ἀκήρατος, αἵ τ’ οἰνανθίδες[ln_5]αὐξόμεναι
book 5.4	σκιεροῖσιν ὑφ’ ἕρνεσιν οἰναρέοις θαλέθοισιν· ἐμοὶ δ’ ἔρος οὐδεμίαν κατάκοιτος ὥραν. τε ὑπὸ στεροπᾶς
book 5.5	φλέγων Θρηίκιος Βορέας[ln_10]ἀίσσων
book 5.6	παρὰ Κύπριδος ἀζαλέ‐ αις μανίαισιν ἐρεμνὸς ἀθαμβὴς ἐγκρατέως
book 5.7	πεδόθεν φυλάσσει ἡμετέρας
book 5.8	φρένας
book 6.1	Ἔρος αὖτέ με κυανέοισιν ὑπὸ [para]βλεφάροις
book 6.2	τακέρ’ ὄμμασι δερκόμενος κηλήμασι
book 6.3	παντοδαποῖς ἐς ἄπει‐ [para]ρα δίκτυα Κύπριδος ἐσβάλλει·[ln_5]ἦ μὰν
book 6.4	τρομέω νιν ἐπερχόμενον, ὥστε
book 6.5	φερέζυγος ἵππος ἀεθλοφόρος
book 6.6	ποτὶ γήραι ἀέκων σὺν ὄχεσφι θοοῖς ἐς ἅμιλλαν ἔβα.
book 7.1	Εὐρύαλε γλαυκέων
book 7.2	Χαρίτων θάλος 〈 〉 καλλικόμων μελέδημα, σὲ μὲν Κύπρις ἅ τ’ ἀγανοβλέφαρος
book 7.3	Πει‐ θὼ ῥοδέοισιν ἐν ἄνθεσι θρέψαν.
book 12.1	οὐ γὰρ αὔσιον πάις
book 12.2	Τυδέος
book 17.1	τὸν γὰρ Ἡρακλ[έ]α π[ρ]όμαχον γενέσθαι φ[ασὶ τ]οῦ Δ[ιὸς σ]ὺν ἀριστ[οπάτραι κρατ]ερόφρ[ονι
book 17.2	Πα]λ[λ]άδι· [τὰ]ν γὰρ ἔτικτε〈ν〉 αὐτός, κορυφᾶς δέ οἱ ἐξανέπαλτο [
book 21	παρελέξατο Καδμίδι κούραι,
book 22a.1	γλαυκώπιδα Κασσάνδραν ἐρασιπλόκαμον
book 22a.2	Πριάμοιο κόραν φᾶμις ἔχησι βροτῶν.
book 22b	ἆμος ἄυπνος κλυτὸς ὄρθρος ἐγείρησιν ἀηδόνας
book 25	ὀνομάκλυτον Ὀρφήν
book 29.1	δέδοικα μή τι πὰρ θεοῖς ἀμβλακὼν
book 29.2	τιμὰν
book 29.3	πρὸς ἀνθρώπων ἀμείψω.
book 30a.1	Ἔριδός
book 30a.2	ποτε μάργον ἔχων
book 30a.3	στόμα,
book 30b	ἀντία δῆριν ἐμοὶ κορύσσοι.
book 31.1	πυκινὰς πέμφιγας
book 31.2	πιόμενοι.
book 32	οὐκ ἔστιν ἀποφθιμένοις ζωᾶς ἔτι φάρμακον εὑρεῖν,
book 33.1	φλεγέθων ἇιπερ διὰ νύκτα μακρὰν
book 33.2	σείρια
book 33.3	παμφανόωντα
book 34.1	μύρτα
book 34.2	τε καὶ ἴα καὶ ἑλίχρυσος μᾶλά τε καὶ ῥόδα καὶ τέρεινα δάφνα
book 35.1	ποικίλα ῥέγματα 〈καὶ〉 καλύπτρας
book 35.2	περόνας τ’ ἀναλυσαμένα
book 36a.1	τοῦ μὲν
book 36a.2	πετάλοισιν ἐπ’ ἀκροτάτοις ἱζάνοισι
book 36a.3	ποικίλαι αἰολόδειροι
book 36a.4	πανέλοπες λαθιπορφυρίδες 〈τε〉 καὶ [para]ἀλκυόνες
book 36a.5	τανυσίπτεροι.
book 36b.1	αἰεί μ’ ὦ φίλε θυμὲ τανύπτερος ὡς ὅκα
book 36b.2	πορφυρίς
book 37a	οὔτι κατὰ σφετερὰν ἐελδώ
book 37b	ἐσθλὸν προδεδεγμένον ἐέλδωρ
book 38	κλάδον Ἐνυαλίου,
book 39.1	οὐδὲ Κυάρας ὁ Μηδείων
book 39.2	στρατηγός.
book 40.1	παρὰ χέρσον λίθινον τῶν παλάμαις βροτῶν· πρόσθεν νιν
book 40.2	πεδ’ ἀναριτᾶν ἰχθύες ὠμοφάγοι νέμοντο.
book 48	διέφρασαι·
book 49	κύματος ἔξοθεν ἄκρου πᾶσα κάλως ἀσινής.
book 51	ἤλσατο βοῦς·
book 52	κλαγγί.
book 53	Λεβυαφιγενής.
book 56.1	στερφωτῆρα
book 56.2	στρατὸν
book 57	τραπεζητᾶν κυνῶν

—
Canonical:  https://eulogikon.org/works/ibycus-rhegium-trojan-war-asw-aa
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: asw-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
