Works of Libanius
Ἔργα Λιβανίου
by Libanius of Antioch
eul_wid: swk-ah    eul_aid: swk

Period   Late Antique
Dialect  Atticizing
Domain   Oratory
Format   Oration

The surviving works of Libanius of Antioch constitute one of the most extensive and significant literary corpora from a single author in Late Antiquity. Composed in refined Attic Greek during the mid-to-late fourth century CE, the collection encompasses sixty-four orations, fifty-one declamations, a substantial body of preliminary rhetorical exercises known as progymnasmata, and over fifteen hundred letters. The orations demonstrate remarkable variety, ranging from formal panegyrics celebrating cities to autobiographical accounts, judicial speeches, and direct political appeals to imperial authorities. His extensive epistolary collection offers an unparalleled view into the intricate social, professional, and intellectual networks of the period.

Operating from Antioch, a major cultural and administrative hub of the Eastern Roman Empire, Libanius wrote as a devoted adherent of traditional Hellenic religion and a master teacher of rhetoric. His works functioned both as pedagogical models for his renowned school of rhetoric and as active engagements with the profound political and religious transformations of his era. Modern scholarship interprets his prolific output as a sustained, sophisticated defense of classical Greek paideia—the system of education and civic values—against the rising cultural and institutional dominance of Christianity. Numerous orations address contemporary events with directness, such as advocating for the interests of Antioch or expressing support for the policies of the pagan emperor Julian.

The texts survive in a notably complete state, a testament to Libanius's enduring reputation as a preeminent stylistic model throughout the Byzantine educational tradition. A complex manuscript tradition has preserved the majority of his orations and declamations. The vast corpus of letters, while immense, is generally considered a curated selection from an originally even larger body of personal and professional correspondence.

Text
----

1	*Epist. 1–839: vol. 10 Κλεάρχῳ.
Ep 9 1	Αἰσχύνομαι μὲν αἰτῶν σε χάριν οὐδέν σε οὐδέπω εὖ πεποιηκὼς οὐδὲ ἐλπίζων, ὅμως δέ, ἐπειδήπερ ὑπὲρ παιδὸς ἡ φροντίς, ἐμοὶ μὲν αἰτεῖν ἀνάγκη, σὺ δὲ σύγγνωθι. δέομαι δή σου δοῦναι ἡμῖν ἀκοῦσαί τι περὶ Ῥωμανοῦ, οὗ φροντὶς καλόν.
Ep 9 2	τοῦτο δὲ γένοιτ’ ἂν ἀπὸ τῆς σῆς εὐνοίας, ἧς εἰ ἀπολαύσειεν, ἕξει τοσοῦτον ὅσον ᾧ πολὺς ἐν τῷ συνδικεῖν ὁ χρόνος, παρὰ τοῦ χρόνου. χάρις δὲ ἑτέρα, εἰ μέλλων δώσειν ἐκείνην ἐπιστείλαις ὡς δώσεις. Ἑλλαδίῳ.
Ep 10 1	Ἀπάτην καλῶν τὴν ἀδυναμίαν ἀδικεῖς. ἔστι δὲ ἐκεῖνο μὲν τῶν μισουμένων, τοῦτο δὲ τῶν ἐλεουμένων. σὺ δὲ μιγνύεις τὰ ἄμικτα, ἀτυχήματα καὶ πονηρεύματα. ἐγὼ δὲ ἐρασθῆναι ὁμολογῶ Βηρυτοῦ μὲν διὰ πολλά, Ἀθηνῶν δὲ διὰ πάντα, δυνηθῆναι δὲ εἰς οὐδετέραν ἐλθεῖν. ἀκούω δὲ καὶ τὴν Ἥραν δεθῆναι καὶ οὐ κινηθῆναι πρότερον πρὶν ὁ τὸν δεσμὸν μηχανησάμενος ἐλθὼν ἔλυσεν. Ἀραξίῳ.
Ep 11 1	Τῆς Παλαιστίνης ἄρχων οὐκ ἠμέλεις τοῦ γράφειν· νῦν πολλῶν ἄρχων ἐθνῶν ἐπελάθου τοῦ γράφειν. καὶ μακρὰν μὲν ὢν ἐμνημόνευσας τῶν φίλων, ἐγγὺς δὲ καταστὰς ἀμνημονεῖς. τίς ποτε οὖν ἔσῃ προσλαβὼν ἐξουσίαν καὶ τοὺς γνωρίμους ὁρῶν; ἢ δῆλον ὡς καὶ τὸ καταμελεῖν ἐπιθήσεις, εἴπερ κατὰ λόγον τῶν γεγενημένων 〈ἡ〉 ῥᾳθυμία χωροίη; ἀλλ’ ὅμως ἡμεῖς βουλοίμεθ’ ἄν σε τιμιώτερον ἰδεῖν, εἰ καὶ μαστιγώσαις λαβών.
Ep 12 t	Ἑορτίῳ. Οὐκ οἶσθα, ὦ φίλε Ἑόρτιε, τῶν προσβαλόντων μοι νοσημάτων οὔτε τὸ πλῆθος οὔτε τὸ μέγεθος οὔτ’ ἐφ’ ὅσον προῆλθε τοῦ χρόνου.
Ep 12 1	οὐ γὰρ ἄν ποτε ὑπερβὰς τὸ συναλγεῖν ἐμέμφου. νῦν δὲ ἡ ἄγνοια πανταχοῦ τοῖς ἀνθρώποις βλαβερὸν καὶ δὴ καὶ σὲ κατηγορεῖν ἐπῆρεν ἀντὶ τοῦ παραμυθεῖσθαι. ἐγὼ δέ σοι οὐκ ἐγκαλῶ τὸ τὰς δυσκολίας ἡμῶν ἀγνοεῖν. καίτοι φαίη τις ἂν τῶν ὥσπερ σὺ ῥᾳδίως ἐπιτιμώντων, ὡς ἀγνοεῖς μὲν τῷ μὴ πυνθάνεσθαι, οὐ πυνθάνῃ δὲ τῷ μισεῖν, καὶ οὕτως ἂν ὑπεροψίαν προφέρων αὐτὸς ἐνέχοιο μείζοσιν.
Ep 12 2	ἐγὼ δὲ τοῦτο οὐ ποιήσω φιλίαν ἰσχυρὰν ὑβρίζειν οὐκ ἀξιῶν συκοφαντίᾳ. ἀλλ’ ὅταν τι γένηται τοιοῦτον, ζητήσας αἰτίαν τοῖς πράγμασιν ἐπιεικεστέραν οὕτω πρὸς ἐμαυτὸν ὑπὲρ ἐκείνων ἀπολογοῦμαι. σὺ δὲ οὐκ ἐν καιρῷ ῥητορεύεις ἄλλους εἶναι λέγων τοὺς αἰτιωμένους, οὓς αὐτὸς ἀνέπλασας διὰ τῆς ἐπιστολῆς.
Ep 12 3	ἐπεὶ τί παθὼν οὐκ ἐπεστόμιζες, ἀλλ’ ἐπείθου; ὑπεροψίας δὲ μνησθείς, εἰ μὴ δώσεις δίκην, Ἡρακλεῖ χάριν ἔχειν ἀλεξικάκῳ. ἐγὼ δὲ ἤδη πόλιν ὅλην τοῦτο φθεγξαμένην τετιμώρημαι λόγῳ. Ἰουλιανῷ.
Ep 13 1	Τῇ διὰ τὴν σὴν ἀρρωστίαν λύπῃ καὶ αὐτοὶ πεπτώκαμεν εἰς ἀρρωστίαν. τί γὰρ ἡμῖν ἡδὺ σοῦ γε ἀνιωμένου; Σελεύκῳ δὲ ἄρα ἔπρεπε καὶ τοῦτο ἀγγεῖλαι τὸ ὡς ἐκπέφευγας τοῦ κακοῦ τὴν ἀκμήν. ᾗ δὴ καὶ πείθομαι τὸν Ἐντρέχιον εὐτυχῆ νομίζειν.
Ep 13 2	ὄψεται γὰρ Βιθυνίαν, ὅτε βέλτιον. βέλτιον δέ, ὅτε καὶ σοὶ τὸ σῶμα ἐν ὑγιείᾳ. χάριν δὲ εἰδότες σοι τοῦ φιλεῖν τὸν ἄνδρα χάριν ἑτέραν αἰτοῦμεν προσθεῖναι τὸ τόνδε καλεῖν.
Ep 14 t	Πρισκιανῷ. Οὐ κατεπάτησε τὸν ὅρκον ὁ Διονύσιος, ἀλλ’ ἐπανήκει σοι μετὰ τῶν γραμμάτων, ὃ δὴ καὶ ποιήσειν ὤμοσε.
Ep 14 1	τὴν πόλιν δὲ ἡμῶν εὐδαίμονα καλῶν, ἐν ᾗ κατοικεῖν ἔδεισας, παίζεις ἔχων. εἰ γὰρ δὴ ὄντως αὐτὴν ᾤου τοιαύτην, τί παθὼν ἐξὸν κοινωνεῖν τῆς εὐδαιμονίας οὐκ ἠβουλήθης; τοὺς δ’ ἡμετέρους εἰ μὲν ἀγνοεῖς κινδύνους, ἀδικεῖς, ἀμελῶν γὰρ ἀγνοεῖς καὶ ταῦτα οὕτως ὢν πρόσχωρος· εἰ δ’ ἐπιστάμενος μακαρίζεις 〈με〉 μετὰ τῶν δεινῶν, φιλοκινδυνότατος εἶ.
Ep 14 3	τὰ Δεινίου δὲ πράγματα καὶ σαυτοῦ νομίζων ὀρθῶς φρονεῖς. εἰμὶ δ’ οὐδ’ αὐτὸς τῶν ἀλλότρια τὰ Δεινίου ποιουμένων, ὄψει δὲ τὴν σπουδὴν ἐν τοῖς γράμμασιν, ἃ πέμψομεν εἰς ἐπικουρίαν τῷ γέροντι. Ζηνοβίῳ.
Ep 15 1	Σιγῇ τὴν σιγὴν ἔγνωμεν ἀμύνασθαι. καίτοι γε ἠπιστάμην λειπομένην τῶν ἀδικημάτων τὴν δίκην. οὐ γὰρ ἴσον ἦν ἐμὲ σῶν ἀποστερεῖσθαι γραμμάτων καὶ σοὶ παρ’ ἡμῶν μὴ φοιτᾶν. ἀλλ’ ὅσῳ καλλίω τὰ σά, τοσούτῳ μείζων ἡ βλάβη τῆς τιμωρίας. Θαλασσίῳ.
Ep 16 1	Ἦν μὲν καλὰ καὶ ὅσα παρών σοι συνῄδειν, ἃ δ’ ἀκούω, φιλοσοφίας ἐγγὺς ἥκει, γλῶττα ἐλευθέρα καὶ τρόπος μισοπόνηρος καὶ τῶν σπουδαίων ἔρως καὶ τὸ μετ’ ἀνδρείας τοὺς μὲν εὖ ποιεῖν, τοὺς δὲ ἐλαύνειν, καὶ δὴ καὶ τὸ μέγιστον, χρυσὸς καταφρονούμενος, ὃς μέγιστον ἐν ἀνθρώποις ἰσχύων ἥττηται. Γοργονίου δὲ τοῦθ’ ἓν ἀκούσας, ὅτι σε θαυμάζει, πρὸς θαῦμα κατέστην.
Ep 16 2	οὐ γὰρ ἄν, εἰ μή σοι προσόμοιος ἦν, οὕτως εἶχε. πρᾶττε οὖν ἡμῖν δι’ ἐκείνου, ἃ καὶ πυνθάνομαι, τὴν ἐπάνοδον· ἐπιθυμῶ γὰρ ἰδεῖν ἃ πυνθάνομαι.
Ep 17 t	Φλωρεντίῳ. Τὴν ἐπιστολὴν ταύτην ὁ κομίζων σοι γέγραφεν.
Ep 17 1	ὁ γὰρ θαρρῆσαι πείσας δικαιότατ’ ἂν γράψαι δοκοῖ. ἐγὼ μὲν γὰρ ὄκνῳ εἰχόμην, ὁ κράτιστος δὲ Τατιανὸς τῷ χάρτῃ τὴν χεῖρα ἐπέθηκε φήσας οὐ μεταμελήσειν μοι τῶν γραμμάτων. σὺ τοίνυν δείξεις, εἰ τοῦ μὴ τολμᾶν τὸ πεισθῆναι γράψαι βέλτιον. Καλλιοπίῳ.
Ep 18 1	Τίς θεῶν ἢ δαιμόνων τὸν πανταχῇ θαυμαζόμενον Τατιανὸν ἥμερον ἡμῖν ἐποίησεν; φράζε σύ, Καλλιόπιε· σὺ γὰρ τὰ τοῦδε καλῶς οἶσθα. ἂν δ’ οὐκ ἐθέλῃς λέγειν, ἀνάγκη ἐμὲ μαντεύεσθαι. καὶ τὸν μὲν θεὸν εὑρεῖν οὐκ ἂν δυναίμην, ὥσπερ Ὅμηρος ἔγνω τὴν Ἀθηνᾶν παρὰ τῆς Ἥρας ἐλθοῦσαν τῷ Ἀχιλλεῖ, ἣ τὴν ὀργὴν ἐπέσχεν αὐτῷ, τὸν δὲ ἄνδρα, δι’ οὗ ταῦτα ἔπραξαν οἱ θεοί, κάλλιστ’ ἀνεῦρον.
Ep 18 3	ἔστι δ’ οὗτος πολίτης τ’ ἐμὸς καὶ τῆς πόλεως τὰ πρῶτα καὶ ἐκ ταὐτοῦ μοι κρατῆρος ἐν Μουσῶν κήποις πιὼν καὶ πρῶτον μὲν δίκας λέγων, νῦν δ’ ἐπιστολὰς γράφων ἄμφω παρὰ βασιλεῦσιν, τῷ μὲν πατρί, τῷ δὲ υἱεῖ, σφόδρα ἠδικηκώς, ἴσως δὲ οὐδὲ μικρὸν † ἀδικῶν οὐ μικρὸν φρονῶν 〈τῷ〉 τὰ σὰ περιφανθῆναι ἀπὸ τῆς ἐκείνου δεινότητος καὶ τὸ ἔτι δεινότερον, Θεμιστίου παραβοηθοῦντος. τὴν μὲν οὖν ῥητορείαν ἐν οἷς ἐνεκάλεσεν ἔδειξεν, τὴν δὲ φιλανθρωπίαν ἐν οἷς ἐπικουρήσειν ὑπέσχετο. Ἀνατολίῳ.
Ep 19 1	Ἀνέγνων τοῖς φίλοις τὴν ἐπιστολὴν τὴν μακρὰν ἐκείνην, ἐκέλευσας γὰρ καὶ οὐκ ἦν ἀπειθεῖν τοσαύτῃ δυνάμει. ἡ μὲν οὖν ἀνάγνωσις ἐκίνει γέλωτα τοσοῦτον ὅσον ἐβούλου, πολλοῦ δὲ ἄρ’ ἐπεθύμεις, ὡς δὲ διεπαυσάμην, τῶν τις ἀκροατῶν ἤρετό με, πότερόν σοι φίλος ὢν ἢ δυσμενὴς τυγχάνω.
Ep 19 2	φήσαντος δέ μου καὶ μάλα φιλεῖν Ἀνατόλιον τὸν καλὸν εὖ ἴσθι τοίνυ ν, ἔφη, τὰ δυσμενοῦς ποιῶν δεικνὺς τὴν ἐπιστολή ν , ἣν ἀφανίζειν ἔδε ι. καὶ ἐτίθετο δὴ τοῖς γράμμασιν ὄνομα. βούλει μαθεῖν ὅ τι; ἀλλ’ οὐκ ἐρῶ γε τοῦτο ὃ καὶ ἀκούων ἠχθόμην. ἀφέντες οὖν ἐκεῖνο ἐξετάζωμεν τὰς αἰτίας, καὶ σύ τε φέρειν, ἂν φανῇς συκοφάντης, ἐγώ τε οἴσω, κακὸς εἰ δειχθείην.
Ep 19 4	Ἔφης Σπεκτάτον μέγαν ὄντα τοῖς ἔργοις μικρὸν γεγενῆσθαι τοῖς παρ’ ἐμοῦ λόγοις, αὐτὸς δέ γε ἐκεῖνος ἥδετο τοῖς παρ’ ἡμῶν ἐπαίνοις· εἰ μὲν οὖν εὖ φρονῶν, ψεῦδος τὸ σόν, εἰ δὲ οὐδὲν εἰδὼς τῶν περὶ λόγους, τόλμησον εἰπεῖν καὶ πάντα ἐγὼ φαῦλος. οὑτωσὶ δὲ σκόπει, ὅπως σαυτῷ δόξῃς ὁμολογεῖν, ὃς ὃν ᾐτιάσω τὰ μεγάλα μικρὰ ποιεῖν, τοῦτον ἔφης τῇ ῥώμῃ τῶν λόγων αἴρειν τὰ φαῦλα.
Ep 19 5	παραινῶ δή σοι τοῖς μὲν τῶν βαρβάρων βουλεύμασι πολεμεῖν, σαυτῷ δὲ μή. ζηλοτυπῶν μὲν οὖν τοὺς ὑφ’ ἡμῶν κοσμουμένους εὖ ποιεῖς, οὐ γὰρ κακῆς φύσεως σημεῖον ἐπαίνων ἐπιθυμεῖν, μέγα γὰρ εἰς ἄσκησιν ἀρετῆς πολλάκις ζηλοτυπία.
Ep 19 6	μεμφόμενος δὲ τό τινας τετιμῆσθαι λόγοις ἀντὶ τοῦ φανεροῦν τὴν εὐφημίαν ποικίλον, ἀλλ’ οὐ γενναῖον ἔργον ποιεῖς. καὶ προφέρεις δὴ ἐμοὶ τὸ πολλοὺς ἐπαινεῖν, ἐγὼ δὲ σοὶ τὸ πάντας ψέγειν.
Ep 19 7	οὐκοῦν ἀκρισία μὲν ἐν ἀμφοῖν, ἔχει δέ τινα τοὐμὸν φιλανθρωπίαν. μᾶλλον δέ, οὐκ ἔστιν ὅντινα ἐπῄνεσα τὰ οὐκ ὄντα προστιθείς, ὥσπερ ὁ μῦθος ἀλλότρια τῷ κολοιῷ πτερά. ἀλλ’ ᾧ χρῶμαι νόμῳ περὶ τοὺς ἐπαίνους, ἄκουσον. ἂν ᾖ τις κρείττων μὲν χρημάτων, ἥττων δὲ ἡδονῶν, ἐκεῖνο μὲν ἐπαίνου τεύξεται, τοῦτο δὲ ἐν σιγῇ κείσεται.
Ep 19 8	καὶ γὰρ εἰ γῆν ἐπῄνουν, οὕτως ἂν ἐποίουν οἷον εἴ μ’ ἐχρῆν ἐπαινεῖν τὰ Κύθηρα, τὰ δὲ Κύθηρα νῆσός ἐστιν ἐπικειμένη τῇ Πελοποννήσῳ, τὸν οὖν λόγον ἐργαζόμενος διελθὼν ἂν ὡς εὔβοτος καὶ πολύοινος εὐλίμενός τέ ἐστιν ἢ καὶ ὕλῃ κομῶσα, τὴν εἰς πυροὺς φορὰν οὐκ ἂν ἐπῄνουν, ἐψευδόμην γὰρ ἄν, οὐδὲ γὰρ ὅστις ἐγκωμιάζει τὴν Ἀττικήν, καὶ τοῦτ’ ἂν εἰπεῖν ἔχοι, κωλύει δὲ οὐδὲν ἐξ ὧν ἔξεστιν ἐπαινεῖν. θαυμάζω τὸν Ἀχιλλέα, διότι τοὺς Τρῶας ἤλαυνε, θαυμάζω τὸν Παλαμήδην ἀπὸ τῆς σοφίας.
Ep 19 9	ὁ δὲ ὅτι μὴ παρ’ ἑκατέρῳ ταῦτ’ ἦν ἀμφότερα ψέγειν ἀξιῶν ἀδικεῖ. φέρε, εἰ σοὶ λόγον ἐποίουν καί με τοῦτ’ ἔπεισας δεηθείς, ἆρ’ ἂν οἴει τῷ δημιουργῷ πανταχόθεν προσελθεῖν τοὺς ἐπαίνους; σὺ μὲν ἴσως οἴει, τὸ πρᾶγμα δὲ οὐ τοιοῦτον, ἀλλ’ εἶπον μὲν ἂν ἐπιμέλειαν, ἀγρυπνίαν, πόνους, ψῆφον ὀρθήν, πρόνοιαν 〈τοῦ〉 μέλλοντος, φρόνημα δίκαιον, γνώμης ὀξύτητα, γλώττης ἰσχύν, πολλὰ δ’ ἕτερα, καλὸν δὲ καὶ μέγαν οὐκ ἂν εἶπον· οὐ γὰρ ἔνι σοι ταῦτ’ ἐν τῷ σώματι.
Ep 19 11	μεμνημένος δὲ χρημάτων κλοπῆς μὲν ἄν σε πλεῖστον ἔφην ἀφεστάναι, μισθὸν δὲ μὴ ἔχειν τῆς ἀρετῆς οὐκ ἂν ἰσχυρισάμην, ἔχεις γὰρ τὰ βασιλέως δῶρα καί σοι τῆς ἀρχῆς ὁ χρόνος τὰς οἰκίας πεποίηκε πόλεις ἀδικοῦντι μὲν οὐδένα, λαμβάνοντι δέ. πολὺ δ’ ἂν ἦσθα βελτίων μηδαμόθεν λαμβάνων, ὡς λαμπρότερόν γε κιόνων οὓς δίδωσι βασιλεὺς τὸ χρῆμα τῆς δόξης ἣν ἡ πενία φέρει. καὶ μὴν κἀκεῖνό γέ σου τραχὺ καὶ οὐχ ἥμερον τὸ κακίζειν Σευῆρον, ὅτι δὴ ζώνης ἐδεήθη δέον φιλοσοφεῖν.
Ep 19 12	εἰ μὲν γὰρ φιλοσοφίας ἁπτόμενος ἀπεφέρετο τοῦ σχήματος καὶ ἦν ἐν προσηγορίᾳ φιλοσοφίας κάπηλος, εἰκότως ἂν ἐμισεῖτο· εἰ δὲ τὸ μὲν ἡγεῖται μεῖζον αὑτοῦ, ζητεῖ δέ τινα καταφυγήν, ποῦ πλημμελεῖ μὴ φιλοσοφῶν; ἢ καὶ σὺ μᾶλλον ἄρχων ἢ φιλοσοφῶν ἀδικεῖς; ἐπεὶ δὲ πολὺς ἔγκεισαι κωμῳδῶν ἡμᾶς, ὅτι πρὸς σὲ ἐμνήσθημεν ἀξιώματος, ἴσθι τὸ πᾶν ἀγνοήσας.
Ep 19 13	ἔσχε δὲ ὡδί. ἐμοὶ σχῆμα μὲν ἀρκοῦν οἱ λόγοι, δι’ οὓς οὐδεπώποτε ταπεινότερον ἐμαυτὸν ἡγησάμην ὑμῶν, ὧν ἡ λαμπρότης ὅρκος τοῖς κόλαξι· πρὸς δὲ τὸν βίον ἀφορμαὶ τὰ παρ’ αὐτῶν τῶν λόγων μικρὰ μικρῶν δεομένῳ. τίς οὖν ἦν ὁ νοῦς ὧν ἐπέστελλον; Ἰσοκράτης παραινεῖ πεῖραν ποιεῖσθαι τῶν φίλων οὔπω παρούσης ἀνάγκης ὥστε ἀτυχήσαντι μὴ εἶναι βλάβην καί φησι δεῖν μὴ δεόμενον προσποιεῖσθαι τὸ δεῖσθαι.
Ep 19 15	τοιοῦτον ἦν τι καὶ τὸ παρ’ ἐμοῦ· μὴ χρῄζων ἐπήγγελλον. τοιγαροῦν σὺ μὲν οὐκ ἐδίδους, ἐγὼ δὲ ἐγέλων καὶ ζημιούμενος οὐδὲν εὕρισκόν σου τὸν τρόπον. οὐ μὴν πάντα γε εἶ ῥᾴθυμος, ἀλλ’ εἰς τὸ γένος, εἴπερ τις, ἕτοιμος, καὶ τῶν σῶν οἰκείων ἰδιώτης οὐδείς.
Ep 19 16	εἶτ’ ἐπὶ μὲν τῶν ἄλλων τιμᾷς τὴν ἀρετήν, κἂν ὁ ταύτης ἄμοιρος ἄρχῃ, κέκραγας μᾶλλον ἢ οἱ τεμνόμενοι· τὸ γένος δὲ οὕτω σοι φίλτατον ὥστε ἄρχειν δεῖ πάντα οἰκεῖον καὶ ἀπεῖναι βάσανον. τοῦτό σοι παραίτησις ὧν περὶ τοὺς φίλους ἀμελεῖς. κἂν ἐκεῖνό τις κατηγορῇ, τοῦτ’ ἀντιτιθεὶς ἀφαιρῇ 〈τὸ〉 τῆς μέμψεως. ἆρά σοι δοκῶ καὶ αὐτὸς εἰδέναι τοξεύειν ἢ πάσχειν ἐπιτήδειος εἶναι μόνον; μᾶλλον δέ, εἰ μὲν ἔτρωσας, καὶ τέτρωσαι· εἰ δὲ παίζοντος ἐκεῖνα ἦν, οὐδὲ ταῦτα σπουδάζοντος.
