Works of Philo of Alexandria
Τὰ Φίλωνος Ἀλεξανδρέως
by Philo of Alexandria
eul_wid: lgi-an    eul_aid: lgi
Gig 2	ἑνὸς οὖν εὐφυΐα τὴν περὶ μυρίους διαδείκνυσιν ἀφυΐαν, καὶ τὰ τεχνικὰ μέντοι καὶ ἐπιστημονικὰ καὶ ἀγαθὰ καὶ καλὰ ὄντα ὀλίγα τὴν τῶν ἀτέχνων καὶ ἀνεπιστημόνων καὶ ἀδίκων καὶ συνόλως φαύλων ἄπειρον ὅσην πληθὺν ἐπεσκιασμένην ἀποφαίνει.
Gig 3	οὐχ ὁρᾷς ὅτι καὶ ἐν τῷ παντὶ ἥλιος εἷς ὢν τὸ μυρίον καὶ βαθὺ σκότος κατὰ γῆν καὶ κατὰ θάλατταν κεχυμένον ἐπιλάμψας ἀνασκίδνησιν; εἰκότως οὖν καὶ ἡ τοῦ δικαίου Νῶε γένεσις καὶ τῶν υἱῶν αὐτοῦ τοὺς ἀδίκους πολλοὺς διασυνίστησι· τῷ γὰρ ἐναντίῳ τὰ ἐναντία πέφυκέ πως μάλιστα γνωρίζεσθαι. ἄδικος δὲ οὐδεὶς ἄρρενα γενεὰν ἐν ψυχῇ σπείρει τὸ παράπαν, ἀλλὰ θηλυγονοῦσιν ἐκ φύσεως ἄνανδροι καὶ κατεαγότες καὶ θηλυδρίαι τὰ φρονήματα, δένδρον οὐδὲν ἀρετῆς, οὗ καλοὺς καὶ γενναίους ἐξ ἀνάγκης ἔδει τοὺς καρποὺς γενέσθαι, πάντα δὲ κακίας καὶ παθῶν, ὧν γυναικώδεις αἱ βλάσται, φυτεύσαντες· οὗ χάριν θυγατέρας οἱ ἄνθρωποι οὗτοι γεννῆσαι λέγονται, υἱὸν δὲ οὐδεὶς αὐτῶν.
Gig 5	ἐπεὶ γὰρ ὁ δίκαιος ἀρρενογονεῖ Νῶε τέλειον καὶ ὀρθὸν λόγον καὶ ἄρρενα ὄντως μετιών, θηλυτόκος ἡ κατὰ τοὺς πολλοὺς ἀδικία πάντως ἀναφαίνεται· ἀμήχανον γὰρ τὰ αὐτὰ πρὸς τῶν ἐναντίων, ἀλλὰ μὴ τὰ ἐναντία πάλιν γενέσθαι. „Ἰδόντες δὲ οἱ ἄγγελοι τοῦ θεοῦ τὰς θυγατέρας τῶν ἀνθρώπων, ὅτι καλαί εἰσιν, ἔλαβον ἑαυτοῖς γυναῖκας ἀπὸ πασῶν, ὧν ἐξελέξαντο“ (Gen.
Gig 6	6, 2). οὓς ἄλλοι φιλόσοφοι δαίμονας, ἀγγέλους Μωυσῆς εἴωθεν ὀνομάζειν· ψυχαὶ δ’ εἰσὶ κατὰ τὸν ἀέρα πετόμεναι.
Gig 7	καὶ μηδεὶς ὑπολάβῃ μῦθον εἶναι τὸ εἰρημένον· ἀνάγκη γὰρ ὅλον δι’ ὅλων τὸν κόσμον ἐψυχῶσθαι, τῶν πρώτων καὶ στοιχειωδῶν μερῶν ἑκάστου τὰ οἰκεῖα καὶ πρόσφορα ζῷα περιέχοντος, γῆς μὲν τὰ χερσαῖα, θαλάττης δὲ καὶ ποταμῶν τὰ ἔνυδρα, πυρὸς δὲ τὰ πυρίγονα—λόγος δὲ ἔχει ταῦτα κατὰ Μακεδονίαν μάλιστα γίνεσθαι—, οὐρανοῦ δὲ τοὺς ἀστέρας.
Gig 8	καὶ γὰρ οὗτοι ψυχαὶ ὅλαι δι’ ὅλων ἀκήρατοί τε καὶ θεῖαι, παρὸ καὶ κύκλῳ κινοῦνται τὴν συγγενεστάτην νῷ κίνησιν· νοῦς γὰρ ἕκαστος αὐτῶν ἀκραιφνέστατος. ἔστιν οὖν ἀναγκαῖον καὶ τὸν ἀέρα ζῴων πεπληρῶσθαι· ταῦτα δὲ ἡμῖν ἐστιν ἀόρατα, ὅτιπερ καὶ αὐτὸς οὐχ ὁρατὸς αἰσθήσει. ἀλλ’ οὐ παρόσον ἀδύνατος ἡ ὄψις ψυχῶν φαντασιωθῆναι τύπους, διὰ τοῦτ’ οὔκ εἰσιν ἐν ἀέρι ψυχαί, καταλαμβάνεσθαι δ’ αὐτὰς ἀναγκαῖον ὑπὸ νοῦ, ἵνα πρὸς τῶν ὁμοίων τὸ ὅμοιον θεωρῆται.
Gig 9	ἐπεὶ καὶ τί φήσομεν; πάνθ’ ὅσα χερσαῖα καὶ ἔνυδρα οὐκ ἀέρι καὶ πνεύματι ζῇ; τί δέ; οὐκ ἀέρος κακωθέντος τὰ λοιμικὰ συνίστασθαι παθήματα φιλεῖ, ὡς ἂν αἰτίου τῆς ψυχώσεως ἑκάστοις; τί δέ; ὁπότε ἀπήμων καὶ ἀβλαβὴς εἴη, ὁποῖον ἐν ταῖς βορείοις μάλιστα αὔραις εἴωθε γίνεσθαι, οὐ καθαρωτέρου σπῶντα τοῦ πνεύματος πρὸς πλείονα καὶ κραταιοτέραν διαμονὴν ἐπιδίδωσιν; ἆρ’ οὖν εἰκὸς δι’ οὗ τὰ ἄλλα, ἔνυδρά τε καὶ χερσαῖα, ἐψύχωται, ἔρημον εἶναι ἢ ψυχῶν ἀμοιρεῖν; τοὐναντίον μὲν οὖν, εἰ καὶ τὰ ἄλλα πάντα ζῴων ἄγονα ἦν, μόνος ἀὴρ ὤφειλε ζῳοτοκῆσαι τὰ ψυχῆς κατ’ ἐξαίρετον χάριν παρὰ τοῦ δημιουργοῦ σπέρματα λαβών.
Gig 12	τῶν οὖν ψυχῶν αἱ μὲν πρὸς σώματα κατέβησαν, αἱ δὲ οὐδενὶ τῶν γῆς μορίων ἠξίωσάν ποτε συνενεχθῆναι. ταύταις ἀφιερωθείσαις καὶ τῆς τοῦ πατρὸς θεραπείας περιεχομέναις ὑπηρέτισι καὶ διακόνοις ὁ δημιουργὸς εἴωθε χρῆσθαι πρὸς τὴν τῶν θνητῶν ἐπιστασίαν.
Gig 13	ἐκεῖναι δ’ ὥσπερ εἰς ποταμὸν τὸ σῶμα καταβᾶσαι ποτὲ μὲν ὑπὸ συρμοῦ δίνης βιαιοτάτης ἁρπασθεῖσαι κατεπόθησαν, ποτὲ δὲ πρὸς τὴν φορὰν ἀντισχεῖν δυνηθεῖσαι τὸ μὲν πρῶτον ἀνενήξαντο, εἶτα ὅθεν ὥρμησαν, ἐκεῖσε πάλιν ἀνέπτησαν.
Gig 14	αὗται μὲν οὖν εἰσι ψυχαὶ τῶν ἀνόθως φιλοσοφησάντων, ἐξ ἀρχῆς ἄχρι τέλους μελετῶσαι τὸν μετὰ σωμάτων ἀποθνῄσκειν βίον, ἵνα τῆς ἀσωμάτου καὶ ἀφθάρτου παρὰ τῷ ἀγενήτῳ καὶ ἀφθάρτῳ ζωῆς μεταλάχωσιν, αἱ δὲ καταποντωθεῖσαι τῶν ἄλλων ἀνθρώπων ὅσοι σοφίας ἠλόγησαν ἐκδόντες ἀστάτοις καὶ τυχηροῖς πράγμασιν ἑαυτοὺς, ὧν οὐδὲν εἰς τὸ κράτιστον τῶν ἐν ἡμῖν, ψυχὴν ἢ νοῦν, ἀναφέρεται, πάντα δὲ ἐπὶ τὸν συμφυᾶ νεκρὸν ἡμῶν, τὸ σῶμα, ἢ ἐπὶ τὰ ἀψυχότερα τούτου, δόξαν λέγω καὶ χρήματα καὶ ἀρχὰς καὶ τιμὰς καὶ ὅσα ἄλλα ὑπὸ τῶν μὴ τεθεαμένων τὰ πρὸς ἀλήθειαν καλὰ ἀπάτῃ ψευδοῦς δόξης ἀναπλάττεται ἢ ζωγραφεῖται.
Gig 16	ψυχὰς οὖν καὶ δαίμονας καὶ ἀγγέλους ὀνόματα μὲν διαφέροντα, ἓν δὲ καὶ ταὐτὸν ὑποκείμενον διανοηθεὶς ἄχθος βαρύτατον ἀποθήσῃ δεισιδαιμονίαν. ὥσπερ γὰρ ἀγαθοὺς δαίμονας καὶ κακοὺς λέγουσιν οἱ πολλοὶ καὶ ψυχὰς ὁμοίως, οὕτως καὶ ἀγγέλους τοὺς μὲν τῆς προσρήσεως ἀξίους πρεσβευτάς τινας ἀνθρώπων πρὸς θεὸν καὶ θεοῦ πρὸς ἀνθρώπους ἱεροὺς καὶ ἀσύλους διὰ τὴν ἀνυπαίτιον καὶ παγκάλην ταύτην ὑπηρεσίαν, τοὺς δ’ ἔμπαλιν ἀνιέρους καὶ ἀναξίους τῆς προσρήσεως καὶ αὐτὸς ὑπολαμβάνων οὐχ ἁμαρτήσει.
Gig 17	μαρτυρεῖ δέ μου τῷ λόγῳ τὸ παρὰ τῷ ὑμνογράφῳ εἰρημένον ἐν ᾄσματι τούτῳ· „ἐξαπέστειλεν εἰς αὐτοὺς ὀργὴν θυμοῦ αὐτοῦ, θυμὸν καὶ ὀργὴν καὶ θλῖψιν, ἀποστολὴν δι’ ἀγγέλων πονηρῶν“ (Psalm. 77, 49). οὗτοί εἰσιν οἱ πονηροὶ τὸ ἀγγέλων ὄνομα ὑποδυόμενοι, τὰς μὲν ὀρθοῦ λόγου θυγατέρας, ἐπιστήμας καὶ ἀρετάς, οὐκ εἰδότες, τὰς δὲ τῶν ἀνθρώπων θνητὰς θνητῶν ἀπογόνους ἡδονὰς μετερχόμενοι γνήσιον μὲν οὐδὲν ἐπιφερομένας κάλλος, ὃ διανοίᾳ μόνῃ θεωρεῖται, νόθον δὲ εὐμορφίαν, δι’ ἧς ἡ αἴσθησις ἀπατᾶται.
Gig 18	λαμβάνουσι δὲ οὐ πάσας ἅπαντες τὰς θυγατέρας, ἀλλ’ ἔνιοι ἐνίας ἐκ μυρίων ὅσων ἐπελέξαντο ἑαυτοῖς, οἱ μὲν τὰς δι’ ὄψεως, ἕτεροι δὲ τὰς δι’ ἀκοῆς, τὰς δ’ αὖ διὰ γεύσεως καὶ γαστρὸς ἄλλοι, τινὲς δὲ τὰς μετὰ γαστέρα, πολλοὶ δὲ καὶ τῶν πορρωτάτω διῳκισμένων ἀντελάβοντο τὰς μηκίστας ἐν ἑαυτοῖς τείνοντες ἐπιθυμίας· ποικίλαι γὰρ ἐξ ἀνάγκης αἱ ποικίλων ἡδονῶν αἱρέσεις, ἄλλων ᾠκειωμένων ἄλλαις. Ἐν δὴ τοῖς τοιούτοις ἀμήχανον τὸ τοῦ θεοῦ καταμεῖναι καὶ διαιωνίσαι πνεῦμα, ὡς δηλοῖ καὶ αὐτὸς ὁ νομοθέτης.
Gig 19	„εἶπε“ γάρ φησι „κύριος ὁ θεός· οὐ καταμενεῖ τὸ πνεῦμά μου ἐν τοῖς ἀνθρώποις εἰς τὸν αἰῶνα διὰ τὸ εἶναι αὐτοὺς σάρκασ“ (Gen.
Gig 20	6, 3). μένει μὲν γὰρ ἔστιν ὅτε, καταμένει δ’ οὐκ εἰσάπαν παρὰ τοῖς πολλοῖς ἡμῖν. τίς γὰρ οὕτως ἄλογος ἢ ἄψυχός ἐστιν, ὡς μηδέποτε ἔννοιαν τοῦ ἀρίστου μήθ’ ἑκὼν μήτ’ ἄκων λαβεῖν; ἀλλὰ γὰρ καὶ τοῖς ἐξαγίστοις ἐπιποτᾶται πολλάκις αἰφνίδιος ἡ τοῦ καλοῦ φαντασία, συλλαβεῖν δ’ αὐτὴν καὶ φυλάξαι παρ’ ἑαυτοῖς ἀδυνατοῦσιν.
Gig 21	οἴχεται γὰρ εὐθέως μεταναστᾶσα, τοὺς προσεληλυθότας οἰκήτορας νόμον καὶ δίκην ἐκδεδιῃτημένους ἀποστραφεῖσα, πρὸς οὓς οὐδ’ ἄν ποτε ἧκεν, εἰ μὴ τοῦ διελέγξαι χάριν τοὺς ἀντὶ καλῶν αἰσχρὰ αἱρουμένους.
Gig 22	λέγεται δὲ θεοῦ πνεῦμα καθ’ ἕνα μὲν τρόπον ὁ ῥέων ἀὴρ ἀπὸ γῆς, τρίτον στοιχεῖον ἐποχούμενον ὕδατι—παρό φησιν ἐν τῇ κοσμοποιίᾳ· „πνεῦμα θεοῦ ἐπεφέρετο ἐπάνω τοῦ ὕδατοσ“ (Gen. 1, 2), ἐπειδήπερ ἐξαιρόμενος ὁ ἀὴρ κοῦφος ὢν ἄνω φέρεται ὕδατι βάσει χρώμενος—, καθ’ ἕτερον δὲ τρόπον ἡ ἀκήρατος ἐπιστήμη, ἧς πᾶς ὁ σοφὸς εἰκότως μετέχει.
Gig 23	δηλοῖ δὲ ἐπὶ τοῦ τῶν ἁγίων ἔργων δημιουργοῦ καὶ τεχνίτου φάσκων, ὅτι „ἀνεκάλεσεν ὁ θεὸς τὸν Βεσελεὴλ καὶ ἐνέπλησεν αὐτὸν πνεύματος θείου, σοφίας, συνέσεως, ἐπιστήμης, ἐπὶ παντὶ ἔργῳ διανοεῖσθαι“ (Exod. 31, 2—3)· ὥστε τὸ τί ἐστι πνεῦμα θεῖον ὁρικῶς διὰ τῶν λεχθέντων ὑπογράφεσθαι.
Gig 24	τοιοῦτόν ἐστι καὶ τὸ Μωυσέως πνεῦμα, ὃ ἐπιφοιτᾷ τοῖς ἑβδομήκοντα πρεσβυτέροις τοῦ διενεγκεῖν ἑτέρων καὶ βελτιωθῆναι χάριν· οἷς οὐδὲ πρεσβυτέροις πρὸς ἀλήθειαν ἔνεστι γενέσθαι μὴ μεταλαβοῦσι τοῦ πανσόφου πνεύματος ἐκείνου. λέγεται γὰρ ὅτι „ἀφελῶ ἀπὸ τοῦ πνεύματος τοῦ ἐπὶ σοὶ καὶ ἐπιθήσω ἐπὶ τοὺς ἑβδομήκοντα πρεσβυτέρουσ“ (Num.
Gig 25	11, 17). ἀλλὰ μὴ νομίσῃς οὕτως ἀφαίρεσιν κατὰ ἀποκοπὴν καὶ διάζευξιν γίνεσθαι, ἀλλ’ οἵα γένοιτ’ ἂν ἀπὸ πυρὸς, ὅ, κἂν μυρίας δᾷδας ἐξάψῃ, μένει μήδ’ ὁτιοῦν ἐλαττωθὲν ἐν ὁμοίῳ. τοιαύτη τίς ἐστι καὶ τῆς ἐπιστήμης ἡ φύσις· τοὺς γὰρ φοιτητὰς καὶ γνωρίμους ἀποφήνασα ἐμπείρους πάντας κατ’ οὐδὲν μέρος ἐλαττοῦται, πολλάκις δὲ καὶ πρὸς τὸ ἄμεινον ἐπιδίδωσιν, ὥσπερ φασὶ τὰς ἀπαντλουμένας πηγάς· καὶ γὰρ ἐκείνας λόγος ἔχει τότε μᾶλλον γλυκαίνεσθαι.
Gig 26	αἱ γὰρ συνεχεῖς πρὸς ἑτέρους ὁμιλίαι μελέτην καὶ ἄσκησιν ἐμποιοῦσαι ὁλόκληρον τελειότητα ἐργάζονται. εἰ μὲν οὖν τὸ ἴδιον αὐτοῦ Μωυσέως πνεῦμα ἤ τινος ἄλλου γενητοῦ τοσούτῳ πλήθει γνωρίμων ἔμελλε διανέμεσθαι, κἂν κατακερματισθὲν εἰς μοίρας τοσαύτας ἐμειοῦτο. νῦν δὲ τὸ ἐπ’ αὐτῷ πνεῦμά ἐστι τὸ σοφόν, τὸ θεῖον, τὸ ἄτμητον, τὸ ἀδιαίρετον, τὸ ἀστεῖον, τὸ πάντῃ δι’ ὅλων ἐκπεπληρωμένον· ὅπερ ὠφελοῦν οὐ βλάπτεται οὐδὲ μεταδοθὲν ἑτέροις οὐδ’ αὖ προστεθὲν ἐλαττοῦται τὴν σύνεσιν καὶ ἐπιστήμην καὶ σοφίαν.
Gig 28	διὸ δὴ πνεῦμα θεῖον μένειν μὲν δυνατὸν ἐν ψυχῇ, διαμένειν δὲ ἀδύνατον, ὡς εἴπομεν. καὶ τί θαυμάζομεν; οὐδὲ γὰρ ἄλλου τὸ παράπαν οὐδενὸς ἐχυρὰ καὶ βέβαιος ἐγγίνεται κτῆσις ἀντιρρεπόντων καὶ πρὸς ἑκάτερα ταλαντευόντων τῶν ἀνθρωπίνων πραγμάτων καὶ ἄλλοτε ἀλλοίας ἐνδεχομένων μεταβολάς. αἴτιον δὲ τῆς ἀνεπιστημοσύνης μέγιστον ἡ σὰρξ καὶ ἡ πρὸς σάρκα οἰκείωσις· καὶ αὐτὸς δὲ ὁμολογεῖ φάσκων „διὰ τὸ εἶναι αὐτοὺς σάρκασ“ μὴ δύνασθαι τὸ θεῖον πνεῦμα καταμεῖναι.
Gig 29	καίτοι καὶ γάμος καὶ παιδοτροφία καὶ πορισμὸς τῶν ἀναγκαίων ἀδοξία τε μετὰ ἀχρηματίας καὶ πραγματεῖαι, ὧν αἱ μὲν ἴδιαι αἱ δὲ κοιναί, καὶ μυρία ἄλλα, πρὶν σοφίαν ἀνθῆσαι, κατεμάραναν.
Gig 30	ἀλλ’ οὐδὲν οὕτως ἐμπόδιον πρὸς αὔξησιν αὐτῆς, ὡς ἡ σαρκῶν φύσις. αὕτη γὰρ καθάπερ τις θεμέλιος ἀγνοίας καὶ ἀμαθίας πρῶτος καὶ μέγιστος ὑποβέβληται, ᾧ τῶν εἰρημένων ἕκαστον ἐποικοδομεῖται.
Gig 31	ψυχαὶ μὲν γὰρ ἄσαρκοι καὶ ἀσώματοι ἐν τῷ τοῦ παντὸς θεάτρῳ διημερεύουσαι θεαμάτων καὶ ἀκουσμάτων θείων, ὧν ἄπληστος αὐτὰς εἰσελήλυθεν ἔρως, μηδενὸς κωλυσιεργοῦντος ἀπολαύουσιν. ὅσαι δὲ τὸν σαρκῶν φόρτον ἀχθοφοροῦσι, βαρυνόμεναι καὶ πιεζόμεναι ἄνω μὲν βλέπειν εἰς τὰς οὐρανίους περιόδους ἀδυνατοῦσι, κάτω δὲ ἑλκυσθεῖσαι τὸν αὐχένα βιαίως δίκην τετραπόδων γῇ προσερρίζωνται. παρὸ καὶ τὰς ἐκνόμους καὶ ἐκθέσμους ὁμιλίας τε καὶ μίξεις ἐγνωκὼς ὁ νομοθέτης ἀναιρεῖν προοιμιάζεται τὸν τρόπον τοῦτον· „ἄνθρωπος ἄνθρωπος πρὸς πάντα οἰκεῖον σαρκὸς αὐτοῦ οὐ προσελεύσεται ἀποκαλύψαι ἀσχημοσύνην· ἐγὼ κύριοσ“ (Lev.
Gig 32	18, 6). πῶς ἄν τις προτρέψαιτο μᾶλλον σαρκὸς καὶ τῶν σαρκὸς οἰκείων καταφρονεῖν ἢ τοῦτον τὸν τρόπον; καίτοι οὐκ ἀποτρέπει μόνον, ἀλλὰ καὶ παγίως ἀποφαίνεται, ὅτι ὁ πρὸς ἀλήθειαν ἄνθρωπος οὐ προσελεύσεταί ποτε ἑκὼν ταῖς φίλαις καὶ συγγενέσι σώματος ἡδοναῖς, ἀλλυτρίωσιν δὲ τὴν πρὸς αὐτὰς ἀεὶ μελετήσει.
Gig 33	τὸ μὲν οὖν μὴ ἅπαξ ἀλλὰ δὶς φάναι „ἄνθρωπος ἄνθρωποσ“ σημεῖόν ἐστι τοῦ μὴ τὸν ἐκ σώματος καὶ ψυχῆς ἀλλὰ τὸν ἀρετῇ κεχρημένον δηλοῦσθαι. ὄντως γὰρ ὁ ἀληθινὸς οὗτός ἐστιν, ὃν καὶ τῶν παλαιῶν λύχνον τις μεσημβρίας ἁψάμενος πρὸς τοὺς πυνθανομένους ἄνθρωπον ἔφη ζητεῖν.
Gig 34	τὸ δὲ μὴ πρὸς πάντα οἰκεῖον προσέρχεσθαι τῆς σαρκὸς ἔχει λόγον ἀναγκαῖον. ἔνια γὰρ προσετέον, οἷον αὐτὰ τὰ ἐπιτήδεια, οἷς χρώμενοι ζῆν ἀνόσως καὶ ὑγιεινῶς δυνησόμεθα, τὰ δὲ περιττὰ σκορακιστέον, ὑφ’ ὧν ἐξαπτόμεναι αἱ ἐπιθυμίαι τὰ σπουδαῖα πάντα ῥύμῃ μιᾷ καταφλέγουσι.
Gig 35	μὴ πρὸς πάντα οὖν τὰ τῇ σαρκὶ φίλα αἱ ὀρέξεις ἀνηρεθίσθωσαν· ἡδοναὶ γὰρ αἱ ἀτίθασοι πολλάκις, ὅταν κυνῶν τρόπον προσσαίνωσιν, ἐξ ὑποστροφῆς ἀνίατα ἔδακον. ὥστε τὴν ἀρετῆς φίλην ὀλιγοδεΐαν πρὸ τῶν σώματος οἰκείων ἀσπαζόμενοι τὸν πολὺν καὶ ἀνήνυτον ὄχλον ἀσπόνδων ἐχθρῶν καταλύωμεν. ἐὰν δέ πού τις καιρὸς βιάζηται πλείω τῶν μετρίων καὶ ἱκανῶν λαμβάνειν, αὐτοὶ μὴ προσερχώμεθα· λέγει γάρ· „οὐ προσελεύσεται αὐτὸς ἀποκαλύψαι ἀσχημοσύνην“. τί δὲ τοῦτό ἐστιν, ἄξιον ἀναπτύξαι· πολλάκις οὐ γενόμενοί τινες πορισταὶ χρημάτων ἄφθονον ἔσχον περιουσίαν, ἕτεροι δὲ δόξαν οὐκ ἐπιτηδεύσαντες ἐπαίνων δημοσίᾳ καὶ τιμῶν ἠξιώθησαν, τοῖς δὲ οὐδὲ μικρὰν ἰσχὺν ἐλπίσασι μεγίστη προσεγένετο εὐτονία.
Gig 37	μαθέτωσαν δὴ πάντες οὗτοι μηδενὶ προσέρχεσθαι γνώμῃ τῶν εἰρημένων, τοῦτο δέ ἐστι μὴ θαυμάζειν αὐτὰ καὶ ἀποδέχεσθαι πλέον τοῦ μετρίου κρίνοντας ἕκαστον αὐτῶν οὐκ ἀγαθὸν [μόνον], ἀλλὰ καὶ μέγιστον κακόν, τὰ χρήματα, τὴν δόξαν, τὴν σωμάτων δύναμιν. φιλαργύροις μὲν γὰρ ἡ πρὸς ἀργύριον, φιλοδόξοις δὲ ἡ πρὸς δόξαν, φιλάθλοις δὲ καὶ φιλογυμνασταῖς ἡ πρὸς ἰσχὺν πρόσοδος οἰκεία· τὸ γὰρ ἄμεινον, ψυχήν, τοῖς χείροσιν ἐκδεδώκασιν, ἀψύχοις.
Gig 38	ὅσοι δὲ ἐντὸς ἑαυτῶν εἰσι, τὰς λαμπρὰς καὶ περιμαχήτους εὐπραγίας ὑπηκόους ἀποφαίνουσιν ὡς ἡγεμόνι τῷ νῷ, προσιούσας μὲν δεχόμενοι πρὸς ἐπανόρθωσιν, μακρὰν δὲ ἀφεστηκυίαις οὐ προσερχόμενοι, ὡς καὶ δίχα αὐτῶν δυνηθέντες ἂν εὐδαιμονῆσαι.
Gig 39	ὁ δὲ μετιὼν καὶ κατ’ ἴχνος βαίνειν ἐθέλων αἰσχρᾶς ἀναπίμπλησι δόξης φιλοσοφίαν· οὗ χάριν λέγεται „ἀποκαλύψαι τὴν ἀσχημοσύνην“. πῶς γὰρ οὐκ ἐναργῆ καὶ πρόδηλα τὰ ὀνείδη τῶν λεγόντων μὲν εἶναι σοφῶν, πωλούντων δὲ σοφίαν καὶ ἐπευωνιζόντων, ὥσπερ φασὶ τοὺς ἐν ἀγορᾷ τὰ ὤνια προκηρύττοντας, τοτὲ μὲν μικροῦ λήμματος, τοτὲ δὲ ἡδέος καὶ εὐπαραγώγου λόγου, τοτὲ δὲ ἀβεβαίου ἐλπίδος ἀπὸ μηδενὸς ἠρτημένης ἐχυροῦ, ἔστι δ’ ὅτε καὶ ὑποσχέσεων, αἳ διαφέρουσιν ὀνειράτων οὐδέν; τὸ δὲ ἐπιφερόμενον „ἐγὼ κύριοσ“ παγκάλως καὶ σφόδρα παιδευτικῶς εἴρηται.
Gig 40	ἀντίθες γάρ, φησίν, ὦ γενναῖε, τὸ σαρκὸς ἀγαθὸν τῷ τῆς ψυχῆς καὶ τῷ τοῦ παντὸς ἀγαθῷ· οὐκοῦν τὸ μὲν σαρκός ἐστιν ἄλογος ἡδονή, τὸ δὲ ψυχῆς καὶ τοῦ παντὸς ὁ νοῦς τῶν ὅλων, ὁ θεός.
Gig 41	ἐφάμιλλός γε ἡ ἀσύγκριτος σύγκρισις, ὡς παρὰ τὴν ἐγγὺς ὁμοιότητα ἀπατηθῆναι· εἰ μὴ καὶ τὰ ἔμψυχα ἀψύχοις ἐρεῖ τις καὶ τὰ λογικὰ ἀλόγοις καὶ ἡρμοσμένα ἀναρμόστοις καὶ περιττοῖς ἄρτια καὶ φωτὶ σκότος καὶ ἡμέραν νυκτὶ καὶ πάντα τἀναντία τοῖς ἐναντίοις τὰ αὐτὰ πρὸς ἀλήθειαν εἶναι.
Gig 42	καίτοι καὶ εἰ ταῦτα τῷ γένεσιν ἐνδεδέχθαι κοινωνίαν τινὰ ἔχει καὶ συγγένειαν, ἀλλά γε ὁ θεὸς οὐδὲ τῷ ἀρίστῳ τῶν φύντων ὅμοιος, ὅτιπερ τὸ μὲν γέγονέ τε καὶ πείσεται, ὁ δ’ ἐστὶν ἀγένητός τε καὶ ποιῶν ἀεί.
Gig 43	καλὸν δὲ μὴ λιποτακτῆσαι μὲν τῆς τοῦ θεοῦ τάξεως, ἐν ᾗ τοὺς τεταγμένους πάντας ἀριστεύειν ἀνάγκη, αὐτομολῆσαι δὲ πρὸς τὴν ἄνανδρον καὶ κεκλασμένην ἡδονήν, ἣ βλάπτει μὲν τοὺς φίλους, ὠφελεῖ δὲ τοὺς ἐχθρούς. καινοτάτη γάρ τις αὐτῆς ἡ φύσις· οἷς μὲν ἂν ἐθελήσῃ τῶν ἰδίων ἀγαθῶν μεταδοῦναι, τούτους εὐθὺς ἐζημίωσεν, οὓς δ’ ἂν ἀφελέσθαι, τὰ μέγιστα ὤνησε· βλάπτει μὲν γὰρ ὅταν διδῷ, χαρίζεται δὲ ὅταν ἀφαιρῆται.
