Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
pin 6 1	Περὶ Σκυθικῆς γυμνασίας σχηματικῆς. Βʹ. Περὶ Ἀλανικῆς γυμνασίας σχηματικῆς. Γʹ. Περὶ Ἀφρικανῆς γυμνασίας σχηματικῆς. Δʹ. Περὶ Ἰταλικῆς γυμνασίας τῆς καὶ χρειώδους. Εʹ. Πῶς δεῖ γυμνάζειν ὑπερκεραστὰς καὶ πλαγιοφύλακας; ΛΟΓΟΣ Ζʹ.
pin 7 t	ΚΕΦΑΛΑΙΑ ΤΟΥ ΕΒΔΟΜΟΥ ΛΟΓΟΥ Αʹ.
pin 7 1	Στρατηγικά. Ποίων δεῖ κεφαλαίων φροντίσαι τὸν στρατηγὸν πρὸ τοῦ καιροῦ τοῦ πολέμου; Βʹ. Περὶ τοῦ ἁγιάζειν τὰ βάνδα. Γʹ. Περὶ τοῦ προκαθιστᾶν τὰ κοντουβέρνια. Δʹ. Περὶ τοῦ πολυπραγμονεῖν τὰ κατὰ τοὺς ἐχθρούς. Εʹ. Περὶ τοῦ προθυμοποιεῖσθαι τὸν στρατὸν διὰ δημηγορίας. ϛʹ. Περὶ τῶν κρατουμένων ὡς εἰκὸς ἐχθρῶν εἰς σκούλκαν. Ζʹ. Περὶ τῆς κατὰ τῶν ἁμαρτανόντων ἐπεξελεύσεως. Ηʹ. Περὶ δαπάνης τῶν στρατιωτῶν καὶ ἀλόγων αὐτῶν καὶ ἀπλήκτων. Θʹ. Περὶ τοῦ βουλεύεσθαι μετὰ τῶν μεραρχῶν περὶ τοῦ τόπου τῆς συμβολῆς. Ιʹ. Περὶ ποτοῦ τῶν ἵππων. ΙΑʹ. Περὶ τῆς ἐν σελλοπουγγίοις δαπάνης. ΙΒʹ. Περὶ τοῦ πρὸς ξένον ἔθνος κινουμένου πολέμου. ΙΓʹ. Περὶ αἰφνιδιασμοῦ ὡς εἰκὸς γινομένου ὑπ’ ἐχθρῶν ἐν τῷ ὁδοιπορεῖν. ΙΔʹ. Περὶ ἀπλήκτων καὶ τῆς ἐν αὐτοῖς τῶν ἀλόγων ἀποτροφῆς. ΙΕʹ. Περὶ τοῦ μὴ σκυλεύειν ἐχθροὺς ἐν καιρῷ μάχης. Ιϛʹ. Περὶ τῶν ὁμογενῶν τοῖς ἐναντίοις. αʹ. Περὶ τῶν ἐν τῇ ἡμέρᾳ τοῦ πολέμου ὀφειλόντων παραφυλάττεσθαι. Περὶ τοῦ μὴ πολλὰ πονεῖν τὸν στρατηγὸν ἐν τῇ ἡμέρᾳ τοῦ πολέμου. βʹ. Περὶ τοξοτῶν πολεμίων. γʹ. Περὶ τοῦ μὴ συμπλέκεσθαι τοῖς πολεμίοις, μηδὲ τὴν ἰδίαν δύναμιν δεικνύειν, πρὶν ἂν τὴν βουλὴν αὐτῶν μάθωμεν. δʹ. Περὶ τοῦ τὴν δευτέραν τάξιν κρύπτεσθαι μὴ δυναμένην κατ’ οὐρὰν ἐπακολουθεῖν τῆς πρώτης, ὡς μίαν τὰς δύο φαίνεσθαι. εʹ. Περὶ ἐφόδου ἐχθρῶν μηνυομένων. Πῶς ἁρμόσασθαι αὐτῇ; ϛʹ. Περὶ πληγάτων. ζʹ. Περὶ πλήθους φαινομένων πολεμίων. ηʹ. Περὶ τοῦ μὴ συγχωρεῖν τοὺς ἐχθροὺς προκατασκοπεῖν τὴν τάξιν. θʹ. Περὶ φυλακῆς φοσσάτου. ιʹ. Περὶ συλλογῆς χόρτου. ιαʹ. Περὶ ἐναντίας ἐκβάσεως. ιβʹ. Περὶ αἰσίας ἐκβάσεως. ιγʹ. Περὶ σκούλκας. ιδʹ. Περὶ τοῦ μὴ φαίνεσθαι προχείρως τὴν δευτέραν τάξιν τοῖς ἐχθροῖς. ιεʹ. Περὶ τοῦ μὴ φαίνεσθαι τὴν τῶν ὅπλων λαμπρότητα πρὸ τῆς μάχης τοῖς ἐχθροῖς. ιϛʹ. Περὶ κεφαλαίων ὀφειλόντων δοθῆναι ἑκάστῳ μεράρχῃ ἐκ τῶν εἰρημένων κεφαλαίων. ιζʹ. Περὶ ὁμοίως κεφαλαίων ὀφειλόντων δοθῆναι ἑκάστῳ ἄρχοντι τάγματος καὶ μοιράρχῃ καὶ αὐτῷ δὲ τῷ μεράρχῃ, ἵνα οἶδε τί καταζητεῖν. ΛΟΓΟΣ Ηʹ.
pin 8 t	ΚΕΦΑΛΑΙΑ ΤΟΥ ΟΓΔΟΟΥ ΛΟΓΟΥ Αʹ.
pin 8 1	Περὶ καθολικῶν παραγγελμάτων τῷ στρατηγῷ ἁρμοζόντων. Βʹ. Γνωμικά. ΛΟΓΟΣ Θʹ.
pin 9 t	ΠΕΡΙ ΕΦΟΔΩΝ ΚΕΦΑΛΑΙΑ ΤΟΥ ΕΝΝΑΤΟΥ ΛΟΓΟΥ Αʹ.
pin 9 1	Περὶ ἐφόδων ἀδοκήτων. Βʹ. Περὶ νυκτερινῶν ἐφόδων. Γʹ. Πῶς δεῖ ἐν τῇ πολεμίων χώρᾳ εἰσβάλλειν καὶ πῶς ὁδοιπορεῖν ἀσφαλῶς ἐν αὐτῇ καὶ πραιδεύειν βλάβης ἰδίας χωρίς; Δʹ. Περὶ διαβάσεως στενῶν καὶ δυσβάτων τόπων. Εʹ. Πῶς δεῖ σκουλκεύειν ἐχθροὺς καὶ πῶς δεῖ ἐξπλοράτορας ἤτοι κατασκόπους κρατεῖν λανθάνειν θέλοντας ἐν τῷ στρατῷ; ΛΟΓΟΣ Ιʹ.
pin 10 t	ΚΕΦΑΛΑΙΑ ΤΟΥ ΔΕΚΑΤΟΥ ΛΟΓΟΥ Αʹ.
pin 10 1	Πῶς δεῖ πολιορκεῖν ὀχυρώματα ἐχθρῶν, εἰ καιρὸς γένηται; Βʹ. Πῶς δεῖ ἁρμόζεσθαι πολεμίων ὡς εἰκὸς ἐν τῇ ἡμετέρᾳ χώρᾳ εἰσβαλλόντων; Γʹ. Πῶς δεῖ ἀντέχειν τὸν πολιορκεῖσθαι προσδοκῶντα χρονίως; Δʹ. Πῶς δεῖ ἐν μεθορίοις λάθρα κτίζειν ὀχύρωμα χωρὶς πολέμου δημοσίου; ΛΟΓΟΣ ΙΑʹ.
pin 11 t	ΠΕΡΙ ΤΟΥ ΕΚΑΣΤΟΥ ΕΘΝΟΥ ΕΘΩΝ ΤΕ ΚΑΙ ΤΑΞΕΩΝ ΚΕΦΑΛΑΙΑ ΤΟΥ ΕΝΔΕΚΑΤΟΥ ΛΟΓΟΥ Αʹ.
pin 11 1	Πῶς δεῖ Πέρσαις ἁρμόζεσθαι; Βʹ. Πῶς δεῖ Σκύθαις ἁρμόζεσθαι, τουτέστιν Ἀβάροις καὶ Τούρκοις; Γʹ. Πῶς δεῖ ἁρμόζεσθαι τοῖς ξανθοῖς ἔθνεσιν, οἷον Φράγγοις, Λαγγοβάρδοις καὶ λοιποῖς ὁμοδιαίτοις αὐτῶν; Δʹ. Πῶς δεῖ Σκλάβοις καὶ Ἄνταις καὶ τοῖς τοιούτοις ἁρμόζεσθαι; ΛΟΓΟΣ ΙΒʹ.
pin 12 t	ΚΕΦΑΛΑΙΑ ΤΟΥ ΔΩΔΕΚΑΤΟΥ ΛΟΓΟΥ Αʹ.
pin 12 1	Πῶς δεῖ τὴν σύμμικτον τάξιν τάσσεσθαι; Βʹ. Γνῶσις σημείων τῶν ἐν τῇ συμμίκτῳ τάξει τασσομένων. Γʹ. Τάξις ἡ λεγομένη σύμμικτος. Δʹ. Τάξις πρώτη καβαλλαρίων. Εʹ. Τάξις ἄλλη. ϛʹ. Τάξις ἡ λεγομένη πλαγία. Ζʹ. Τάξις ὀρθία καὶ μετ’ αὐτὴν ἡ λεγομένη ἐπικάμπιος ὀπισθία. Ηʹ. Περὶ πεζικῆς τάξεως. Θʹ. Καταγραφὴ χάρακος ἤτοι φοσσάτου. Ιʹ. Πῶς δεῖ ἄγρια κυνηγεῖν βλάβης καὶ συμπτώματος καὶ συντριβῆς χωρίς; ΕΙΣΑΓΩΓΗ Ἡγείσθω τοῦ λόγου καὶ τῶν ἔργων ἡ Παναγία Τριάς, ὁ Θεὸς καὶ Σωτὴρ ἡμῶν, ἡ βεβαία ἐλπὶς καὶ ἀσφάλεια τῶν θείων πραγμάτων, τὰ τελειότερα καὶ συμφέροντα εἰσηγουμένη πρὸς αἰσίας ἀποβάσεις.
pro 1 t 1	καὶ εἴτιπερ ἐνδεῶς, ὡς ἄνθρωποι ἀσθενεῖς, διὰ μόνην τὴν προθυμίαν τὴν πρὸς τὴν πολιτείαν ὁρμηθέντες ἐγράψαμεν, αὕτη πρὸς τὸ σύμφερον ἡμῖν ῥυθμίσει καὶ μεταβαλεῖ καὶ ὁδηγήσει τοὺς ἐγχειροῦντας πρεσβείαις τῆς δεσποίνης ἡμῶν ἀχράντου καὶ ἀειπαρθένου θεοτόκου Μαρίας καὶ πάντων τῶν ἁγίων, ὅτι εὐλογητὸς ὁ Θεὸς ἡμῶν εἰς τοὺς αἰῶνας τῶν αἰώνων. ἀμήν. Τῆς στρατιωτικῆς καταστάσεως ἀμεληθείσης χρόνῳ πολλῷ καὶ εἰς παντελῆ λήθην ὡς εἰπεῖν ἐλθούσης, ὡς μηδὲ αὐτὰ τὰ πρόχειρα τοὺς στρατηγεῖν ἐγχειροῦντας ἐπίστασθαι πολλά τε δυσχερῆ διαφόρως συμβῆναι, καὶ ποτὲ μὲν ἀγυμνασίαν αἰτιᾶσθαι στρατιωτῶν, ποτὲ δὲ ἀπειρίαν στρατηγῶν καταμέμφεσθαι συνείδομεν, ἔκ τε τῶν ἀρχαίων λαβόντες καὶ μετρίαν πεῖραν ἐπὶ τῶν ἔργων εὑρόντες ταύτην συγγραφῇ παραδοῦναι, κατὰ τὸ ἡμῖν δυνατόν, συντόμῳ τε καὶ ἁπλῆ, τὴν ὠφέλειαν ἐπὶ τῶν πραγμάτων ἐχούσῃ μᾶλλον ἤπερ ἐν λέξεσι.
pro 1 t 3	Τοῦτο δὲ πράττομεν οὐ καινουργεῖν ἢ πλέον τι τῶν παλαιῶν ἐπινοῆσαι βουλόμενοι. Οἱ μὲν γὰρ πρὸς εἰδότας τε καὶ ἐμπείρους ποιούμενοι τὴν γραφὴν οὐ σαφετέραις τοῖς πολλοῖς ἐχρήσαντο παραδόσεσι, τὰ ἀναγκαῖα καὶ συστατικὰ καὶ ὧν νῦν χρεία παραδραμόντες. Ἡμεῖς δὲ χρειῶδες καὶ τοῦτο κρίνοντες εἶναι τὸ μηδὲ τὰ πρόχειρα παριδεῖν ὧν χωρὶς ἀσφαλῶς στρατεύειν οὐκ ἔνεστι, μετρίαν τινὰ στοιχείωσιν ἤτοι εἰσαγωγὴν τοῖς εἰς τὸ στρατηγεῖν ἐπιβαλλομένοις ἐφεύραμεν, ὡς εὔκολον εἶναι ἐντεῦθεν τοῖς βουλομένοις καὶ ἐπὶ τὰ μείζω τῶν τακτικῶν ἐκείνων καὶ ἀρχαίων θεωρημάτων βαθμῷ τινι προϊόντας ἐλθεῖν. Φράσεως μὲν οὖν ἀκριβοῦς ἢ κόμπου ῥημάτων ἡμῖν, ὡς εἴπομεν, οὐδεμία φροντίς, οὐδὲ γὰρ ἔργον ὂν ἱερόν, πραγμάτων δὲ μᾶλλον καὶ συντομίας λόγος γέγονεν· ὅθεν καὶ Ῥωμαϊκαῖς πολλάκις καὶ ἄλλαις ἐν στρατιωτικῇ συνηθείᾳ τετριμμέναις χρήμεθα λέξεσι διὰ τὴν σαφῆ τῶν ἐντευξομένων κατάληψιν. καὶ εἰ μὲν χρήσιμόν τι ἐν τοῖς συγγραφεῖσιν ἀποδειχθῇ, χάρις τῷ παντοδυναμένῳ Θεῷ, τῷ καὶ ἡμῖν λόγον ἐν τούτοις χαρισαμένῳ· εἰ δὲ καὶ ὁ στρατηγὸς δι’ αὐτῆς τῆς πείρας καὶ ἐπιμελείας τὰ μείζονα τούτων εὕρῃ, χάρις καὶ οὕτως τῷ Θεῷ, ὡς δοτῆρι τῶν ἀγαθῶν, τῇ δὲ ἡμετέρᾳ προθυμίᾳ συγγνώμη. Τῷ στρατηγῷ τοίνυν παραινοῦμεν θεοφιλείας καὶ δικαιοσύνης πρὸ πάντων φροντίζειν καὶ σπεύδειν ἐντεῦθεν τὴν εὐμένειαν τοῦ Θεοῦ προσλαμβάνεσθαι, ἧς ἐκτὸς οὐκ ἔστι βουλὴν εὐτυχῶς κατορθωθῆναι, κἂν εἰ δόξῃ φρόνιμος φαίνεσθαι.
pro 1 t 5	οὔκ ἔστι πολεμίων περιγενέσθαι, κἂν ἀσθενεῖς νομίζονται, διὰ τὸ πάντα ἐν προνοίᾳ τοῦ Θεοῦ τυγχάνειν καὶ μέχρις ὀρνέων καὶ ἰχθύων διοικεῖν τὴν αὐτοῦ πρόνοιαν. ὥσπερ γὰρ κυβερνέτης, κἂν ἄριστος εἴη, τῶν ἀνέμων αἰσίως μὴ πνεόντων, ἄπρακτον ἔχει τὴν τέχνην, τούτους δὲ προσλαμβάνων καὶ τῆς τέχνης αὐτῷ συμπραττούσης διπλοῦν τὸν δρόμον τοῦ πλοίου σὺν ἀσφαλείᾳ ποιεῖται.
pro 1 t 6	οὕτως καὶ στρατηγὸς ἄριστος τὴν εὐμένειαν τοῦ Θεοῦ τεθωρακισμένος καὶ τῇ τάξει καὶ στρατηγίᾳ σὺν ἀγρυπνίᾳ κεχρημένος, ἀσφαλῶς καὶ τὸν πιστευόμενον αὐτῷ στρατὸν διοικεῖν καὶ τῇ ποικίλῃ γνώμῃ τῶν ἐχθρῶν ἁρμόζεσθαι δύναται, τὰ μὲν εἰσηγουμένης πρὸς τὸ σύμφερον, τὰ δὲ πρὸς αἴσιον πέρας τὰς βουλὰς ἀποτελούσης. Εἶτα πρᾷόν τε καὶ ἀτάραχον τοῖς ἐντυγχάνουσι φαίνεσθαι, λιτόν τε καὶ ἁπλοῦν περὶ τὴν δίαιταν καὶ φορεσίαν, καὶ μὴ ποικίλον καὶ κομπὸν περὶ τὴν εἰς ἑαυτὸν θεραπείαν, ἀγρύπνως τε καὶ ἐπιμελῶς τοῖς ἀναγκαίοις μάλιστα πραγμάτων ἐντίθεσθαι, καὶ μὴ ῥαθύμως καὶ ἀμελῶς, ὥστε τῇ ἐπιμελείᾳ καὶ ἐπιμονῇ καὶ τὰ πάνυ δυσχερῆ τῶν πραγμάτων ῥᾳδίως κατορθοῦν δύνασθαι· ὁ γὰρ περιφρονοῦν πράγματος πάντως ὑπ’ αὐτοῦ περιφρονηθήσεται.
pro 1 t 8	Τὰ δὲ μεγάλα τῶν πραγμάτων πολλάκις βουλεύεσθαι καὶ τὸ δοκοῦν συντόμως καὶ ἀσφαλῶς, ὡς δυνατόν, ἀποτελεῖν· τῶν γὰρ πραγμάτων ἰατροὶ οἱ καιροί. Ἀλλὰ καὶ τοῖς ἀρχομένοις ἴσως προσφέρεσθαι καὶ μήτε χαύνως διακεῖσθαι ἐπὶ τοῖς ἀπὸ κακίας ἢ ἀμελείας ἁμαρτανομένοις διὰ τὸ καλὸν εἶναι δοκεῖν, —οὐδὲ γὰρ καλόν ἐστι τὸ συνεργεῖν κακίᾳ καὶ ῥᾳθυμίᾳ—, μήτε δὲ πάλιν δι’ ἔνδειξιν εὐδρανείας περιπετῶς καὶ ἀδιακρίτως τὰς ἐπεξελεύσεις ποιεῖσθαι.
pro 1 t 9	τὸ μὲν γὰρ περιφρονεῖν καὶ ἀπείθειαν φέρει, τὸ δὲ μῖσος εὔλογον καὶ τοὺς ἐξ αὐτοῦ καρπούς. ἑκατέρων τοίνυν ἐν ἀμετρίᾳ κειμένων, κρεῖττόν ἐστιν ὁ μετὰ δικαιοσύνης φόβος, τουτέστιν ἡ κατὰ τῶν ἁμαρτανόντων μετὰ τὴν γύμνωσιν τῆς αἰτίας εὔλογος ἐπεξέλευσις, ἥτις οὐ κόλασις, ἀλλὰ σωφρονισμός ἐστι τοῖς εὐφρονοῦσιν ἀνθρώποις, φυλάττων τὴν τῶν πραγμάτων τάξιν καὶ ἀκολουθίαν. ΛΟΓΟΣ Αʹ.
1 pin t	ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
1 pin 1	Πῶς δεῖ γυμνάζειν τὸν καθ’ ἕνα ἄνδρα ἐν ταῖς μελέταις; Βʹ. Πῶς δεῖ ὁπλίζεσθαι τὸν καβαλλάριον καὶ ποῖα κατὰ τὸ ἀναγκαῖον εἴδη κτᾶσθαι; Γʹ. Περὶ διαφόρων ὀνομάτων τῶν τε ἀρχόντων καὶ τῶν στρατιωτῶν. Δʹ. Πῶς δεῖ τὴν τοῦ στρατοῦ διανομὴν γίνεσθαι καὶ τῶν ἀρχόντων αὐτοῦ; Εʹ. Πῶς δεῖ τοὺς τῶν ταγμάτων ἄρχοντας τὴν ἐπιλογὴν τῶν γενναίων καὶ χρησίμων ἐν μάχῃ ποιεῖσθαι καὶ τὰ κοντουβέρνια τοῦ τάγματος καθιστᾶν; ϛʹ. Ποῖα μανδάτα περὶ καθοσιώσεως δεῖ τοῖς στρατιώταις δοθῆναι; Ζʹ. Ποῖα μανδάτα περὶ καθοσιώσεως δεῖ τοῖς τῶν ταγμάτων ἄρχουσι δοθῆναι; Ηʹ. Περὶ ἐπιτιμίων στρατιωτικῶν. Θʹ. Πῶς δεῖ εὐτάκτως τὸν στρατὸν ὁδοιπορεῖν ἐν τῇ ἰδίᾳ χώρᾳ πολεμίων μὴ ἐνοχλούντων· Πῶς δεῖ γυμνάζειν τὸν καθ’ ἕνα ἄνδρα ἐν ταῖς μελέταις; Εἰς τὸ τοξεύειν πεζῇ συντόμως, εἴτε Ῥωμαϊστί, εἴτε Περσιστί, ἡ γὰρ ταχυτὴς καὶ ἐκτινάσσεσθαι παρασκευάζει τὴν σαγίτταν καὶ ἰσχυρῶς βάλλεσθαι, ὅπερ τῶν ἀναγκαίων ἐστὶ καὶ τοῖς ἐφίπποις χρήσιμον.
1 1 1	ὥσπερ οὖν καὶ τὸ βραδέως τοξεύειν ἀχρεῖόν ἐστι, κἂν εἰ δόξῃ ἡ σαγίττα εὐστόχως βάλλεσθαι. εἰς τὸ τοξεύειν πεζῇ ἀπὸ διαστήματος συντόμως, εἴτε κατὰ κονταρίου, εἴτε καθ’ ἑτέρου σημείου.
1 1 3	εἰς τὸ τοξεύειν ἐπάνω ἵππου τρέχοντος συντόμως, ἔμπροσθεν, ὄπισθεν, δεξιὰ καὶ ἀριστερά. εἰς τὸ πηδᾶν ἐφίππους.
