Fragments on Cookery and Philosophy
Ἀποσπάσματα περὶ Ὀψοποιίας καὶ Φιλοσοφίας
by Damoxenus the Comic Poet
eul_wid: jag-aa    eul_aid: jag
book 2.6	τριβὴν ἔχοντι
book 2.7	τούτου· πολλὰ γὰρ
book 2.8	συμβάλλεται. διόπερ μάγειρον ὅταν ἴδῃς ἀγράμματον μὴ Δημόκριτόν
book 2.9	τε πάντα διανεγνωκότα, μᾶλλον δὲ κατέχοντα [καταγέλα ὡς κενοῦ][ln_15]καὶ τὸν Ἐπικούρου κανόνα, μινθώσας ἄφες ὡς ἐκ διατριβῆς. τοῦτο δεῖ γὰρ εἰδέναι, τίν’ ἔχει διαφορὰν
book 2.10	πρῶτον, ὦ βέλτιστε σύ, γλαυκίσκος ἐν
book 2.11	χειμῶνι καὶ θέρει, πάλιν
book 2.12	ποῖος
book 2.13	περὶ δύσιν
book 2.14	Πλειάδος
book 2.15	συνειδέναι[ln_20]ἰχθὺς ὑπὸ τροπάς τ’ ἐστὶ χρησιμώτατος. αἱ μεταβολαὶ γὰρ αἵ τε κινήσεις κακὸν ἠλίβατόν ἐστ’ ἀνθρώποις ἀλλοιώματα ἐν
book 2.16	ταῖς
book 2.17	τροφαῖς
book 2.18	ποιοῦσι, μανθάνεις; τὸ δὲ ληφθὲν καθ’ ὥραν ἀποδίδωσι τὴν χάριν.
book 2.1	[ln_25]τίς
book 2.2	παρακολουθεῖ δ’ αὐτά; τοιγαροῦν
book 2.3	στρόφοι καὶ πνευμάτια γινόμενα τὸν κεκλημένον ἀσχημονεῖν
book 2.4	ποιοῦσι. παρὰ δ’ ἐμοὶ τρέφει τὸ προσφερόμενον βρῶμα, καὶ λεπτύνεται ὀρθῶς
book 2.5	τε διαπνεῖ. τοιγαροῦν εἰς
book 2.6	τοὺς πόρους
book 2.1	[ln_30][spk_β]ὁ χυμὸς ὁμαλῶς
book 2.2	πανταχοῦ συνίσταται. χυμός, λέγει Δημόκριτος, οὐδὲν
book 2.3	πρᾶγμα τὰ γινόμενα
book 2.4	ποιεῖ τὸν
book 2.5	φαγόντ’ ἀρθριτικόν. Β. καὶ τῆς ἰατρικῆς
book 2.6	τι μετέχειν μοι δοκεῖς. Α. καὶ πᾶς ὁ φύσεως ἐντός. ἡ δ’ ἀπειρία[ln_35]τῶν νῦν μαγείρων κατανόει, πρὸς τῶν θεῶν, οἵα ’στίν. ἅλμην ὅταν ἴδῃς ἐξ ἰχθύων ὑπεναντίων αὑτοῖσι
book 2.7	ποιοῦντας μίαν καὶ σήσαμ’ ὑποτρίβοντας εἰς
book 2.8	ταύτην, λαβὼν ἕκαστον αὐτῶν κατὰ μέρος
book 2.9	προσπαρδέτω.
book 2.1	[ln_40][spk_β]Β. ὥς μοι κέχρησαι. Α. τί γὰρ ἂν εὖ γένοιτ’ ἔτι, τῆς ἰδιότητος
book 2.2	πρὸς ἑτέραν μεμιγμένης καὶ συμπλεκομένης οὐχὶ συμφώνους ἁφάς; τὸ ταῦτα διορᾶν ἐστιν ἐμψύχου τέχνης, οὐ τὸ διανίζειν λοπάδας οὐδ’ ὄζειν καπνοῦ.[ln_45]ἐγὼ γὰρ εἰς
book 2.3	τοὐπτάνιον οὐκ εἰσέρχομαι. Β. ἀλλὰ τί; Α. θεωρῶ πλησίον καθήμενος, πονοῦσιν ἕτεροι δ’, οἷς λέγω τὰς αἰτίας καὶ τἀποβαῖνον· ὀξὺ τὸ περίκομμ’, ἄνες. Β. ἁρμονικὸς εἶ μάγειρος. Α. ἐπίτεινον τὸ πῦρ.
book 2.1	ὁμαλιζέτω
book 2.2	τοῖς τάχεσιν· ἡ πρώτη λοπὰς ζεῖ ταῖς ἐφεξῆς οὐχὶ συμφώνως. νοεῖς τὸν τύπον; Β. Ἄπολλον, μέγα
book 2.3	τι φαίνεθ’ ἡ τέχνη. Α. εἶτ’ οὐδὲν εἰκῆ παρατίθημι, μανθάνεις; βρῶμ’, ἀλλὰ μείξας πάντα κατὰ συμφωνίαν.[ln_55]Β. πῶς; Α. ἔστιν αὑτοῖς ἃ διὰ τεττάρων ἔχει κοινωνίαν, διὰ πέντε, διὰ πασῶν πάλιν. ταῦτα
book 2.4	προσάγω
book 2.5	πρὸς αὐτὰ τὰ διαστήματα καὶ ταῖς ἐπιφοραῖς εὐθὺς οἰκείως
book 2.6	πλέκω· ἐνίοτ’ ἐφεστὼς
book 2.7	παρακελεύομαι· πόθεν[ln_60]ἅπτει; τί τούτῳ μιγνύειν μέλλεις; ὅρα, διάφωνον ἕλκεις· οὐχ ὑπερβήσει
book 2.8	σοφόν; Ἐπίκουρος οὕτω κατεπύκνου τὴν ἡδονήν,
book 2	ἐμασᾶτ’ ἐπιμελῶς, εἶδε τἀγαθὸν μόνος ἐκεῖνος οἷόν ἐστιν· οἱ δ’ ἐν τῇ στοᾷ
book 2.1	[ln_65][spk_β]ζητοῦσι
book 2.2	συνεχῶς οἷόν ἐστ’ οὐκ εἰδότες. οὐκοῦν ὅ γ’ οὐκ ἔχουσιν, ἀγνοοῦσι δέ, οὐδ’ ἂν ἑτέρῳ δοίησαν. Β. οὕτω
book 2.3	συνδοκεῖ. ἀφῶμεν οὖν τὰ λοιπά. δῆλα δὴ πάλαι.
book 3.1	νεανίας
book 3.2	τις ἐσφαίριζεν εἷς ἐτῶν ἴσως . . . ἑπτακαίδεκα, Κῷος· θεοὺς γὰρ
book 3.3	φαίνεθ’ ἡ νῆσος φέρειν. ὃς ἐπεί ποτ’ ἐμβλέψειε
book 3.4	τοῖς καθημένοις,[ln_5]ἢ λαμβάνων τὴν
book 3.5	σφαῖραν ἢ διδούς, ἅμα πάντες ἐβοῶμεν . . . . . . . ἡ δ’ εὐρυθμία τό τ’ ἦθος ἡ τάξις θ’ ὅση ἐν τῷ τι
book 3.6	πράττειν ἢ λέγειν ἐφαίνετο. πέρας ἐστὶ κάλλους, ἄνδρες. οὔτ’ ἀκήκοα[ln_10]ἔμπροσθεν οὔθ’ ἑόρακα
book 3.7	τοιαύτην χάριν. κακὸν ἄν
book 3.8	τι μεῖζον ἔλαβον, εἰ πλείω
book 3.9	χρόνον ἔμεινα· καὶ νῦν δ’ οὐχ ὑγιαίνειν μοι δοκῶ.

—
Canonical:  https://eulogikon.org/grc/damoxenus-the-comic-poet/cookery-philosophy-aa
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: jag-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
