Gudian Etymological Work
Ἐτυμολογικὸν τὸ Γουδιανόν
by Gudian Etymological Work
eul_wid: xib-aa    eul_aid: xib

Period  Byzantine
Domain  Lexicography
Format  Collection

Text
----

α 1	Ἀάλιον · ἄπληκτον
α 31	Ἁβρός · βάρος ἄβαρος καὶ ἁβρός, ὁ κούφως βαίνων καὶ ἀβαρῶς, κατὰ στέρησιν τοῦ βάρους
α 32	Ἀβρότη Ξ · ἡ νύξ· ἀπρότη τις οὖσα, παρὰ τὸ μὴ προϊέναι ἐν αὐτῇ· ἢ ἐν ᾗ βροτὸς οὐκ ἀναστρέφεται· ἢ παρὰ τὸ βροτὸν εἰς τοιαύτην ὥραν ἠρεμεῖν
α 33	Ἁβρός · παρὰ τὸ ἅπτω, ὁ εὐαφής. οὕτω φιλόξενος. οἱ δὲ κατὰ στέρησιν τοῦ βάρους
α 34	Ἀβροτάξομεν Κ · παρὰ τὸ βροτοῦ μὴ τυχεῖν
α 35	Ἀβροτάξομεν Κ · κυρίως ἐστὶν ἐπὶ τῶν τοξοτῶν τὸ βροτοῦ ἀποτυχεῖν
α 36	Ἄβυσσος · ὡς ἂν εἴποι τις, ἄβατός ἐστιν· ἢ παρὰ τὸ δύω, τὸ ὑπεισέρχομαι, δύσσος βύσσοσ καὶ ἄβυσσος· ἢ παρὰ τὸ βύω, τὸ μὴ ὑπεισέρχομαι ἤγουν σφαλίζω, βύσσος καὶ ἄβυσσος μετὰ τοῦ στερητικοῦ α οἱονεὶ ἡ μὴ ὑπό τινος ὑπεισερχομένη. τὸ βύω σημαίνει δύο, τὸ ὑπεισέρχομαι καὶ τὸ σφαλίζω, ὡς τὸ βυούσης τὰ ὦτα αὐτῆσ“
α 37	Ἀβασγός · ἅμα συζῶν καλῶς. εἴρηται δὲ πατὴρ ἰδίας πόλεως καὶ οὐχ ἑτέρας
α 38	Ἁβρά · ὀξυτόνως καὶ δασέως ἡ τρυφερὰ καὶ μαλακή, βαρυτόνως ἡ θεράπαινα καὶ ἀκόλουθος
α 39	Ἀβροτάξαι · τὸ μὴ συναντᾶν
α 40	Ἀβροτάξομεν Κ · κυρίως ἐπὶ τῶν τοξευόντων, τὸ βροτοῦ ἀποτυχεῖν ὡς ἐν πολέμῳ· καταχρηστικῶς δὲ ἁπλῶς ἐπὶ τοῦ ἀποτυχεῖν. τὸ θέμα ἀβροτάζω, ὁ μέλλων ἀβροτάξω
α 41	Ἄβροτον · θεῖον
α 42	Ἁβρός · ἀνθηρός
α 43	Ἁβρύνεται · κοσμεῖται, θρύπτεται
α 44	Ἀβραμιαῖοι · γιγαντιαῖοι, ἱεροπρεπεῖς
α 45	Ἅβραι · νέαι δοῦλαι, θεραπαινίδια
α 46	Ἄβδελλον · ταπεινόν
α 47	Ἁβρίζεται · καλλωπίζεται
α 48	Ἀμβλωθρίδια · ἀτέλεστα ἐκτρώματα μὴ ἔχοντα ζωήν
α 49	Ἀβακῶ · ἀγνοῶ
α 50	Ἄβατον · ἱερόν, ἀπρόσιτον, ἔρημον
α 51	Ἀβασάνιστον · ἀγύμναστον, ἀνεξέταστον, ἢ ἀπερίεργον
α 52	Ἀβάκησαν δ · ἠγνόησαν
α 53	Ἄβρομοι · ἄνευ ἤχου καὶ θορύβου
α 54	Ἄβαπτον · ἀστόμωτον
α 55	Ἀβακήμων · ἄλαλος
α 56	Ἀβέβηλον · καθαρόν, ἀμώμητον
α 57	Ἀβδία · θάλασσα
α 58	Ἀβίωτον · ἀηδῆ, κακόν, ὀδυνηρόν
α 59	Ἀβής · ἀσύνετος, ἀνόσιος
α 60	Ἀβλεψία καρδίας · πώρωσις
α 61	Ἀβουλία · ἀπαιδευσία, ἄνοια
α 62	Ἁβροδίαιτος · τρυφητής, τρυφερόβιος
α 63	Ἀβρόταξις · ἁμαρτία
α 64	Ἀγάγω · παρὰ τὸ ἄγω· ἐκ τούτου ἄγη, ἡ ἔκ πληξις, ἐξ οὗ καὶ ἀγῶ· τὰ γὰρ τῆς δευτέρας συζυγίας τῶν περισπωμένων ὡς ἐπὶ τὸ πλεῖστον ἀπὸ τῶν εἰς η θηλυκῶν γίνεται
α 65	Ἀγάζω · τὸ θαυμάζω· τοῦτο παρὰ τὸ ἀγῶ, ὅπερ ἐστὶ δευτέρας συζυγίας τῶν περισπωμένων, ἐξ οὗ καὶ ῥῆμα εἰς μι ἄγημι καὶ ἄγαμαι παθητικόν. τοῦτο παρὰ τὸ ἄγη, ὃ σημαίνει τὴν ἔκπληξιν· τοῦτο παρὰ τὸ ἄγω, τὸ θραύω καὶ συντρίβω· τοῦ γὰρ ἐκπλησσομένου κατέαγεν ἡ διάνοια καὶ οἱονεὶ συντέθραυσται. τὸ δὲ ἄγη ἄκλιτόν ἐστιν, ἐπειδὴ τὰ εἰς γη ἰαμβικὰ ἀπὸ συμφώνου ἄρχονται καὶ οὐκ ἀπὸ φωνήεντος, οἷον στέγη σφαγή ταγή. πρόσκειται ἰαμβικά“ διὰ τὸ ἀγή, ὃ σημαίνει τὴν κλάσιν τῶν κυμάτων· τοῦτο γὰρ ἀπὸ φωνήεντος ἄρχεται, ἄλλ’ οὐκ ἔστιν ἰαμβικόν, ἀλλὰ σπονδειακόν· τὸ γὰρ α μακρόν ἐστιν. ἐπειδὴ οὖν τὸ ἄγη εἰς γη ἐστὶν καὶ ἰαμβικὸν καὶ ἀπὸ φωνήεντος ἄρχεται, εἰκότως ὡς μὴ ἔχον τι μιμήσασθαι ἔμεινεν ἄκλιτον
α 66	Ἀγάμενοι · παρὰ τὸ ἀγάζω, ὅ ἐστι θαυμάζω
α 67	Ἄγαν · πάνυ, λίαν, πολύ· ἐπιτατικὸν ἐπίρρημα
α 68	Ἀγαθός · φύσει μόνος ὁ θεός ἐστι· γίνεται δὲ καὶ ἄνθρωπος ἐξ ἐπιμελείας τῶν τρόπων ἀγαθός
α 69	Ἀγαθός · ἔστιν ὁ χωρὶς αἰτήσεως ἀφθόνως τὰ καλὰ χαριζόμενος
α 70	Ἀγαθόν · ἔστιν οὗ πάντα ἐφίεται
α 71	Ἀγανώπιδος · πραείας, εὐοφθάλμου, καλῶς βλεπούσης
α 72	Ἄγαμαι · ἀποδέχομαι, θαυμάζω, ἐπαινῶ
α 73	Ἄγαννα · ἅμαξα ἱερά, καὶ ἡ ἐν οὐρανῷ ἄρκτος
α 74	Ἀγάπησις · ἔστιν τὸ ὑπερτιμᾶν ἑαυτοῦ ἀπόντα τε καὶ παρόντα τὸν ἀγαπώμενον
α 75	Ἀγαυρίαμα · ἔπαρμα, ὕψωμα
α 76	Ἀγανόφρων · ἀγαθός, πραότατος
α 77	Ἀγαθός · ἐπίθετόν ἐστιν ἁπλοῦν καὶ σύνθετον. οἱ μὲν ὥσπερ ἀπὸ τοῦ σκεδῶ ποιοῦσι σκεδάζω, οὕτως καὶ ἀπὸ τοῦ ἀγῶ ἀγάζω ἀγαστός καὶ ἀγαθός ἀποβολῇ τοῦ ς καὶ τροπῇ τοῦ τ εἰς θ · οἱ γὰρ Ἀττικοὶ τρέπουσι τὸ τ εἰς θ τὸ γὰρ κρεμάστρα κρεμάθρα λέγουσιν. λέγεται δὲ ἀγαθόν καὶ παρὰ τὸ ἄγαν θεῖον, ἢ παρὰ τὸ ἀγαπᾶν τὸν θεόν. ἢ παρὰ τὸ ἄγαν θέειν, ἐφ’ ᾧ ἄγαν θέομεν ἐφιέμενοι
α 78	Ἀγαθόν · παρὰ τὸ ἄγαν θέειν ἐπ’ αὐτὸ πάντας
α 79	Ἀγακλειτός · ὁ ἄγαν ἔνδοξος· ἀπὸ τοῦ κλείω, ὅ ἐστι δοξάζω, γέγονεν. τὸ δὲ κλείω ἀπὸ τοῦ κλέος γέγονε κλέω καὶ κατὰ πλεονασμὸν τοῦ ι κλείω καὶ ἐν συνθέσει ἀγακλειτός
α 80	Ἀγαλλίαμα · δόξα, καύχημα
α 81	Ἀγάλμητον · ἀσθενῆ
α 82	Ἀγάλματα · ξόανα, ἀφομοιώματα, εἰκόνες ἢ ἀνδριάντες κεράμειοι, κολοσσοί, βρέτας, χαρακτήρ, ὅ ἐστιν εἴδωλον
α 83	Ἀγαυός · ἔνδοξος
α 84	Ἀγάλακτες · οἱ ἀδελφοί· παρὰ τὸ α τὸ σημαῖνον τὸ ὁμοῦ, καὶ τὸ γάλα, ὁμογάλακτές τινες ὄντες παρὰ τὸ γάλα, οἱονεὶ τὸ αὐτὸ γάλα σπάσαντες
α 85	Ἄγαλμα · ἐκ τοῦ ἀγάλλω· ἐν ᾧ ἀγάλλεταί τις κἄν τε ἱμάτιον ᾖ κἄν τε εἰκών. καὶ εἰς τὸ Ξόανον
α 86	Ἄγαν · πάνυ· ἐπίρρημα. τὸ γαν μακρόν. διὰ τί; τὰ εἰς αν λήγοντα ἐπιρρήματα μακρὸν ἔχουσιν τὸ α οἷον πέραν λίαν εὐάν· πλὴν τοῦ ὅταν καὶ πάμπαν
α 87	Ἀγάπη · παρὰ τὸ ἄγειν τὸ πᾶν, ἤτοι ἑνοῦν καὶ συνάπτειν πρὸς ὁμόνοιαν
α 88	Ἀγαπῴην · ῥῆμα εὐκτικόν· ἐκ τοῦ ἀγαπάω ἀγαπῶ, ἀγαπάων ἀγαπῶν, ἀγαπάοντος ἀγαπῶντος, ἀγαπάοιμι ἀγαπῷμι, ἀγαπάοι ἀγαπῷ. καὶ οἱ Ἴωνες ἐν τοῖς τρίτοις προσώποις τῶν εὐκτικῶν εἰώθασιν ἐπεντιθέναι τὸ η. καὶ ἀναλόγως πάλιν τὸ πρῶτον γίνεται ἀγαπῴην· κανὼν γάρ ἐστιν ὁ λέγων· πᾶν τρίτον πρόσωπον εἰς η λῆγον προσθέσει τοῦ ς ποιεῖ τὸ δεύτερον καὶ τροπῇ τοῦ ς εἰς ν ποιεῖ τὸ πρῶτον
α 89	Ἀγαπῶ · ἐκ τοῦ ἀγάπη· τοῦτο παρὰ τὸ ἄγειν τὸ πᾶν, ἢ παρὰ τὸ ἄγαν ποιότητα ἔχειν. ὁ μέλλων ἀγαπήσω καὶ ἡ μετοχὴ ὁ ἀγαπῶν καὶ ὁ μέσος μέλλων ἠγαπημένος
α 90	Ἀγέλη ποίμνης διαφέρει· ἀγέλη ἐπὶ βοῶν, ποίμνη ἐπὶ προβάτων
α 91	Ἀγέλη · τὸ πλῆθος τῶν προβάτων ἢ τῶν ζώων, ἢ τὰ ὁμοῦ συνηθροισμένα
α 92	Ἀγάρροος · ἄγαν ῥοώδης
α 93	Ἀγαρηνός · παρὰ τὸ ἄγαν Ἀγαρηνός. τὸ ρη η. διὰ τί; τὰ εἰς ηνος ἐθνικὰ ὀξύτονα διὰ τοῦ η γράφεται, οἷον Ἀγαρηνός Ἀβυδηνός Δαμασκηνός, πλὴν τοῦ Αἰδεσινός Ἐμεσινός
α 94	Ἀγασσάμενοι · θαυμάσαντες· παρὰ τὸ ἀγάζω
α 95	Ἀγαυός Γ · θαυμαστός, λαμπρός, ἢ ὁ ἥλιος· παρὰ τὸ ἀγῶ, τὸ θαυμάζω, γίνεται ῥῆμα εἰς μι ἄγημι, τὸ παθητικὸν ἄγαμαι καὶ ἐξ αὐτοῦ ἀγαός καὶ πλεονασμῷ τοῦ υ Αἰολικῶς ἀγαυός
α 96	Ἀγαυρός · ἀγαθός· παρὰ τὸ γαίω, τὸ γαυριῶ· ἐπιτατικὸν δὲ ἔχει τὸ α
α 97	Ἄγαυρος · παρὰ τὸ ἀπὸ τῆς γῆς αἴρεσθαι· ἢ παρὰ τὸ γαίω, τὸ γαυριῶ, Α καθέζετο κύδεϊ γαίων“· ἢ παρὰ τὴν ἄγην, τὴν ἔκπληξιν ἄγηρος καὶ ἄγαυρος. οὕτως Ἡρῳδιανὸς ἐν τῷ Περὶ παθῶν . δηλοῖ δὲ καὶ τὸν ὑπερήφανον ὄσσαν ἀγαύρου“
α 98	Ἀγγεῖα · παρὰ τὸ διάγειν τι ἐν αὐτοῖς. καὶ εἰς τὸ Γραφεῖον
α 99	Ἀγγείλας · ἐκ τοῦ ἀγγέλλω γέγονεν· ὥσπερ ἀπὸ τοῦ στέλλω στείλας, οὕτω καὶ ἀπὸ τοῦ ἀγγέλλω ἀγγείλας
α 100	Ἀγάσαιτο · θαυμάσειεν
α 101	Ἀγάστονος · πολυστένακτος
α 102	Ἀγάσυρτος · ἀκάθαρτος
α 103	Ἄγγαρος · ἐργάτης, ὑπηρέτης, ἀχθοφόρος· ὅθεν ἀγγαρείαν τὴν ἀναγκαίαν καὶ ἀκούσιον λέγομεν καὶ ἐκ βίας γενομένην ὑπηρεσίαν
α 104	Ἄγγελος · ὁ σημαίνων, ὁ ἀποκρισιάριος, ἢ ὁ τὰς ἀγγελίας ἤγουν τὰς ἀκοὰς καὶ τὰς φήμας διαγγέλλων, ὁ πρέσβυς καὶ ἀγγελλεὺς καὶ ἐπιστολεὺς καὶ ἀγγελιοφόρος καὶ ἀπόστολος
α 105	Ἄγγελος · ἔστιν ζῶον λογικὸν κατὰ χάριν ἐν τῇ φύσει τὸ ἀθάνατον εἰληφός
α 106	Ἀγγελιαφόρος · πρεσβευτής
α 107	Ἀγγελίης · ἄγγελος
α 108	Ἄγγελος · παρὰ τὸ ἄγω ἐγένετο ἄγελος καὶ κατὰ προσθήκην τοῦ γ ἄγγελος· ἢ παρὰ τὸ διαγγέλλεσθαί τι δι’ αὐτοῦ· ἢ παρὰ τὸ εἰς ἀγγελίαν πέμπεσθαι ἐκ θεοῦ ἐπὶ γῆς ἢ ἐξ ἀνθρώπου πρὸς ἄνθρωπον. καὶ διὰ τοῦτο καὶ εὐαγγελισταὶ εἴρηνται παρὰ τὸ εὖ ἀγγέλλειν ἡμῖν, ἤγουν καλόν. ἄγγελος ἤγαγεν“ ἀντὶ τοῦ ἐκόμισεν· φέρεται γὰρ ὡς αὐτοκίνητον τὸ ἔμψυχον, κομίζεται δὲ τὸ ἄψυχον. Πτολεμαίου
φ 1	φέρειν διαφέρει· ἄγεται μὲν γὰρ τὰ ἔμψυχα, φέρεται δὲ τὰ ἄψυχα βαστακτῇ. καὶ Ὅμηρος οὐ τί μοι ἐνθάδε τοῖον, Οἷον κ’ ἠὲ φέροιεν Ἀχαιοὶ ἤ κεν ἄγοιεν“, καὶ πάλιν δ οἱ δ’ ἦγον μὲν μῆλα, φέρον δ’ εὐήνορα οἶνον“
α 109	Ἀγαυός · Ἀγαμέμνων σημαίνει τρία· τὸν γενναῖον καὶ θαυμαστόν, οἷον Δ μέγαν περ ἐόντα καὶ ἴφθιμον καὶ ἀγαυόν“· σημαίνει δὲ καὶ ὄνομα κύριον, ὡς τὸ Ω Δηίφοβον τε καὶ Ἱππόνοον καὶ δῖον Ἀγαυόν“· σημαίνει δὲ καὶ ὄνομα ἔθνους, Ν Μυσῶν τ’ ἀγχεμάχων καὶ Ἀγαυῶν ἱππημολγῶν“
α 110	Ἀγελαῖος · ὀχλώδης, ἰδιώτης, ῥεμβώδης· παρὰ τὸ ἀγέλη. τὸ δὲ ἀγέλη ἀπὸ τοῦ ἄγω. διὰ τί προπερισπᾶται; τὰ γὰρ ἀπὸ τῶν εἰς α καὶ εἰς η θηλυκῶν διὰ τοῦ αιος γινόμενα ὀνόματα προπερισπᾶται, οἷον Γάζα Γαζαῖος, Ῥώμη Ῥωμαῖος. τὸ δὲ Ἀγέλαιος ὄνομα κύριον προπαροξύνεται
α 111	Ἀγερώχων Β · ἀλαζόνων· ἡ μὲν συνήθεια τὴν λέξιν ἐπὶ τοῦ ψόγου τάσσει· τοὺς γὰρ αὐθάδεις καὶ ἀπαιδεύτους ἀγερώχους λέγει. ὁ δὲ Ὅμηρος τοὺς ἄγαν ἐντίμους, ἀπὸ τοῦ ἄγαν ἐπὶ τὸ γέρας ὀχεῖσθαι· Γ καθ’ ὅμιλον ἔ δυ Τρώων ἀγερώχων“
α 112	Ἀγέρωχον · εὐκλεᾶ, ἔντιμον· ἐπὶ γέρως ὀχούμενον. ἔνιοι δὲ τὸν ἐπεισάκτῳ χρώμενον τροφῇ· ἀγέρωχον δὲ λέγει τὸν ἀγείροντα τὴν ὀχήν, τουτέστι τὴν τροφήν. οἱ δὲ τὸν ὑπερήφανον ἢ μεγάλαυχον ἢ ἀλαζόνα
α 113	Ἄγε · φέρε, κόμιζε· ἢ βλέπε
α 114	Ἀγερωπεῖ · ἐφορᾷ
α 115	Ἀγεννῶς · ἀσθενῶς, ἀνάνδρως
α 116	Ἀγελαίων · ἀμαθῶν, ἰδιωτῶν, ἀγροίκων
α 117	Ἄγευστοι · ἄπειροι
α 118	Ἀγείρει · συναθροίζει
α 119	Ἀγερώσσει · ἀγρυπνεῖ
α 120	Ἀγερώψατο · ἠμέλησεν
α 121	Ἄγε δῆτα · δεῦτε δή καὶ φέρε δή
α 122	Ἀγεληδόν · ἠθροισμένως ὡς ἀγέλη
α 123	Ἀγήραος · ἄφθαρτος, μὴ ἔχων τέλος, ἀπέραντος
α 124	Ἁγιάσατε · προευτρεπίσατε, κηρύξατε
α 125	Ἀγείρατον · ἄτιμον· παρὰ τὸ γέρας. ἀγήρατον δέ
α 126	Ἀγέρωχος · ὁ ἄγαν αὐχῶν, ἢ μὴ ἔχων γέρας ἤγουν τιμήν
α 127	Ἀγείρω · ει · ἀγέρρω γὰρ Αἰολικῶς καὶ ἀγορά καὶ Β ἠγερέθοντο κακὰ Πριάμῳ“ καὶ Α ὁμηγερέεσ“
α 128	Ἄγη · ἡ ἔκπληξις· οἱ γὰρ ἐκπληττόμενοι ἀκίνητοι καὶ ἄφωνοι μένουσι. καὶ ἀγὴ ἡ κλάσις τοῦ κύματος
α 129	Ἄγη · ἡ ἔκπληξις· τροπῇ τοῦ κ εἰς γ ἀκή καὶ ἄγη, ἐκ τῆς παρεπομένης ἀφωνίας τῇ ἐκπλήξει· ἢ παρὰ τὸ ἀγῶ, ὅθεν ἄγαμαι, τὸ ἐκπλήττομαι· ἢ παρὰ τὸ ἄγαν, τὰ γὰρ μεγάλα θαυμάζεται
α 130	Ἀγερώχων · αὐθαδῶν, ὑβριστῶν, ὁτὲ δὲ ἐνδόξων· ἀπὸ τοῦ ἄγαν ἐπὶ τοῦ γέρως ὀχεῖσθαι
α 131	Ἀγήοχα · παρὰ τὸ ἄγω ἄξω ἦχα καὶ τὸ Ἀττικὸν ἄγηχα καὶ πλεονασμῷ τοῦ ο ἀγήοχα
α 132	Ἀγαί. τὰ τραύματα, τρώσεις· ἀπὸ τοῦ ἄγνυμι, τὸ κατάσσω
α 133	Ἀγαί · αἰγιαλοὶ κατὰ τοὺς Ἴωνας
α 134	Ἀγήνωρ Β · αὐθάδης παρὰ τὸ ἄγαν καὶ τὸ ἀνήρ γίνεται ἀγάνωρ, καὶ κατὰ τροπὴν τοῦ α εἰς η γίνεται ἀγήνωρ. καὶ ἀποροῦσί τινες λέγοντες, ὅτι τροπὴν ἔπαθεν ἢ ἴδιον σχηματισμόν; καὶ λέγομεν, ὅτι ἴδιον σχηματισμόν, ὅτι τὸ ἀνήρ μετ’ ἄλλης λέξεως κατ’ ἀρχὴν συντιθέμενον τρέπει τὸ α εἰς η καὶ τὸ η εἰς ω οἷον εὐήνωρ Ἀντήνωρ· τὸ δὲ Νικάνωρ κατὰ τροπὴν γέγονε Βοιωτικὴν τοῦ η εἰς α. σημαίνει δὲ τὸν αὐθάδην
α 135	Ἄγη Γ · ἡ κλάσις τοῦ ξίφους ἐκ τοῦ ἄσσω, τὸ κλάνω, ὁ μέλλων ἄξω, ὁ ἀόριστοσ ἦξα καὶ τὸ προστακτικὸν ἆξον καὶ ὁ δεύτερος ἀόριστοσ ἦγον καὶ ὁ παθητικὸς ἤγην καὶ ποιητικῶς ἄγην ἀγηοχώς
α 136	Ἀγινεῖν · ἀπαρέμφατον ὄνομα, ὃ σημαίνει τὸ ἄγειν· ἀπὸ ῥήματος τοῦ ἄγω ἀγνῶ, καὶ κατὰ πλεονασμὸν τοῦ ι μακροῦ γίνεται ἀγινῶ καὶ ἀγινεῖν· Ω ἀγίνεον“ ἔφερον ἀγινῶ
α 137	Ἅγιος · ἐκ τοῦ ἅγος γέγονεν· ἅγιον δέ ἐστι τὸ παντὸς ἅγους ὂν ἀνώτερον, ἢ τὸ δύναμιν ἔχον πρὸς τὸ τοὺς ἑτέρους ἁγιάζειν αὐθαγίαστον ὄν
α 138	Ἁγιστεία · ἁγιωσύνη· ἔστιν ἅγος, τὸ σέβασμα, καὶ ἐξ αὐτοῦ ἁγίζω, ἁγίσω, ὁ παθητικὸς παρακείμενος ἥγισμαι, τὸ τρίτον ἥγισται καὶ ἐξ αὐτοῦ ἁγιστός καὶ τὸ θηλυκὸν ἁγιστεία καὶ ἡ δοτικὴ τῶν πληθυντικῶν ἁγιστείαις ἐσθ’ ὅτε καὶ μιαρωτάταισ“
α 139	Ἁγνεύειν · ἀπὸ ἀφροδισίων. καθαρεύειν, ἀπὸ νεκροῦ
α 140	Ἀγχίνουν · συνετήν· παρὰ τὸ ἐγγὺς τὸν νοῦν ἔχειν
α 141	Ἄγκιστρον · παρὰ τὸ ἄγω, τὸ φέρω, ἄγιστρον καὶ ἄγκιστρον. καὶ εἰς τὸ Ἠγκιστρωμένοι
α 142	Ἀγκοίνη · ἡ ἀγκάλη. εἰς τὸ Ὦμος
α 143	Ἄγκος · εἰς τὸ Μισγάγκεια
α 144	Ἀγκυλομήτεω Β · ὄνομα ἐκ τοῦ ἀγκύλος· σημαίνει δὲ ἀγκυλομή της τὸν ἐπὶ τῶν ἀγκύλων καὶ σκολιῶν πραγμάτων ὀρθῶς βουλευόμενον. τὸ ω μέγα, ὡς τὸ πᾶσα γενικὴ εἰς φωνῆεν λήγουσα. ὁ τόνος· αἱ διὰ τοῦ εω Ἰωνικαὶ γενικαί, εἰ μὲν ἀπὸ βαρυτόνων γενικῶν ὦσι, προπαροξύνονται, οἷον Ἀτρείδου Ἀτρείδ εω, Αἰνείου Αἰνείδεω, Πηλείδου Πηλείδεω· εἰ δὲ ἀπὸ περισπωμένων κοινῶν γενικῶν ὦσι, καὶ παροξύνονται
α 145	Ἀγκύλη · διὰ τὸ ἄ νω αὐτῆς κοῖλον
α 146	Ἀγκύλος · τὸ κυ ψιλόν· διὰ τί; τὰ διὰ τοῦ υλος ὀνόματα ὑπὲρ δύο συλλαβὰς εἴτε ὀξύτονα εἴτε βαρύτονα διὰ τοῦ υ ψιλοῦ γράφεται, οἷον κορβύλοσ Αἰσχύλος, ἀγκύλος, κρωβύ λοσ
α 147	Ἀγκών Ε · παρὰ τὸ ἀνέχω, τὸ ἐξέχω, ὁ ἐξέχων· ἢ ἀπὸ τοῦ ἐγκεῖσθαι τῷ ἑτέρ ῳ ὀστέῳ τὸ ἕτερον· ἢ παρὰ τὸ κατ’ αὐτὸν ἄγεσθαι τὴν χεῖρα
α 148	Ἄγγωνες · δοράτια οὐ λίαν σμικρά, ἀλλ’ οὐδὲ μεγάλα, ἀλλ’ ὅσον ἀκοντίζεσθαι, εἴ που δεήσοι
α 149	Ἀγλαά Α · παρὰ τὸ ἀγάλλω· ἐφ’ ᾧ τις ἀγάλλεται. ἢ παρὰ τὸ αἴγ λη, ὅ ἐστιν ἀπὸ τοῦ ἀΐσσω, τὸ ὁρμῶ· ἡ γὰρ λαμπηδὼν ὁρμητική. ἐφ’ οἷς τις ἀγάλλεται καὶ λα μπρύνεται. καὶ εἰς τὸ Κεραόν ἀγλωφῶν
α 150	Ἁγνεία · διὰ τὸ ἀγόνου ἵεσθαι βίου. ἢ παρὰ τὸ ἀγωνιᾶν εἰς τὸ καθαριεύειν
α 151	Ἁγνός · παρὰ τὸ ἅζω ἁγνός
α 152	Ἀγνοεῖν · εἰς τὸ Ἀνοεῖν
α 153	Ἄγνοια · εἰς τὸ Ἀμφισβ ήτησισ
α 154	Ἄγνος · τὸ φυτόν· παρὰ τὸ εἰς ἁγνείαν συντελεῖν ἐσθιόμενον καὶ πινόμενον, ἔτι δὲ καὶ ὑποστρωννύμενον
