On Human Nature and Solon's Law
Ἀποσπάσματα
by Philemon Syracusius
eul_wid: lpe-aa    eul_aid: lpe

Period   Hellenistic
Dialect  Attic Comedy
Domain   Comedy
Format   Verse

"On Human Nature and Solon's Law" is a lost comedic verse work attributed to Philemon Syracusius. Known only by its title and described as a collection of 608 passages, no substantive content or specific poetic form survives. The title suggests its thematic scope likely encompassed philosophical and social critiques, examining human nature alongside the laws and legislative legacy of the Athenian statesman Solon. The attribution to a Syracusan author hints at a potential connection to Sicilian comic traditions, positioning the work as a piece of social and ethical commentary delivered in a satirical vein. Its complete absence from standard scholarly catalogs of ancient Greek literature indicates it is entirely lost, with no documented influence on the historical record.

Text
----

book 2-3.1	ὦ πῶς
book 10.5	συγγενὴς τῷ σώματι·[ln_5]κοὐκ ἔστιν ἕτερον
book 10.6	παρ’ ἑτέρου λαβεῖν τύχην.
book 11.1	οὐχὶ μόνον οὗτος εὗρε πῶς λαλήσομεν αὑτοῖς, ἀπέχοντες
book 11.2	πολὺν ἀπ’ ἀλλήλων
book 11.3	χρόνον, οὐδ’ ὃν
book 11.4	τρόπον μηδέποτε μηδὲ εἷς πάλιν ἐπιλήσεθ’ ἡμῶν μηδέν, ἐμβλέψας δέ που[ln_5]τἀκ
book 11.5	τοῦ χρόνου
book 11.6	τοῦ παντὸς εἴσετ’, ἀλλὰ καὶ ψυχῆς ἰατρὸν κατέλιπεν τὰ γράμματα.
book 12.1	γυμνῷ φυλακὴν ἐπίταττε, καὶ διὰ τριῶν
book 12.2	ποτηρίων με ματτύης εὐφραινέτω.
book 13	ὁρῶ μαγείρου καὶ κύβηλιν καὶ σκάφην.
book 14	ὁ νακοτίλτης
book 15	γεγενείακεν
book 16.1	βασίλισς’ ἔσει Βαβυλῶνος, ἂν οὕτω τύχῃ. τὴν
book 16.2	Πυθιονίκην οἶσθα καὶ τὸν Ἅρπαλον.
book 17.1	ὁλκεῖον εἶδον ἐπὶ τραπέζῃ κείμενον
book 17.2	πυρῶν
book 17.3	τι μεστόν.
book 18	ἐν Καρὶ τὸν κίνδυνον· οἶδα, δέσποτα.
book 20	θρασέα γυνή
book 21.1	κακὴ μὲν ὄψις, ἐν δὲ δείλαιαι
book 21.2	φρένες.
book 22	κἂν δοῦλος ᾖ τις, οὐδὲν ἧττον, δέσποτα, ἄνθρωπος οὗτός ἐστιν, ἂν ἄνθρωπος ᾖ.
book 23	ἥδιον οὐδὲν οὐδὲ μουσικώτερον ἔστ’ ἢ δύνασθαι λοιδορούμενον φέρειν· ὁ λοιδορῶν γάρ, ἂν ὁ λοιδορούμενος μὴ προσποιῆται, λοιδορεῖται λοιδορῶν.
book 24	πρόχειρον ἐπὶ τὴν γλῶτταν εὐλόγῳ τρέχειν
book 25	στρῶμα μηλωτήν τ’ ἔχει.
book 26.1	σκιμπόδιον ἓν καὶ κώδιον καὶ ψιάθιον ἴσως
book 26.2	παλαστῆς
book 27	χαλεπὸν τὸ ποιεῖν, τὸ δὲ κελεῦσαι ῥᾴδιον.
book 28.1	οὐ τοῖς
book 28.2	πλέουσι τὴν θάλατταν γίνεται μόνοισι
book 28.3	χειμών, ὡς ἔοικεν, ἀλλὰ καὶ τοῖς
book 28.4	περιπατοῦσί που, Λάχης, ἐν τῇ στοᾷ, καὶ τοῖς μένουσιν ἔνδον ἐν
book 28.5	ταῖς οἰκίαις.[ln_5]χοἰ μὲν
book 28.6	πλέοντες ἐνίοθ’ ἡμέραν μίαν ἢ νύκτα
book 28.7	χειμασθέντες εἶτ’ ἐκ
book 28.8	τοῦ κακοῦ σωτηρίας ἐπέτυχον· ἢ τὸ πνεῦμα γὰρ αὐτοὺς τὸ σῷζον ἧκεν ἢ ’φάνη λιμήν. ἐμοὶ δὲ τοῦτ’ οὐκ ἔστιν· οὐκ εἰς ἡμέραν[ln_10]χειμάζομαι μίαν γάρ, εἰς τὸ ζῆν δ’ ὅλον, ἀεὶ τὸ λυπεῖσθαι δὲ μεῖζον γίνεται.
book 29	Κρομμύων πόλις
book 30.1	ὑπέρου
book 30.2	περιτροπή
book 31.1	ἐμοῦ γάρ ἐστι κύριος μὲν εἷς ἀνήρ, τούτων δὲ καὶ σοῦ μυρίων τ’ ἄλλων νόμος, ἑτέρων τύραννος, τῶν
book 31.2	τυραννούντων φόβος· δοῦλοι βασιλέων εἰσίν, ὁ βασιλεὺς θεῶν,[ln_5]ὁ θεὸς ἀνάγκης. πάντα δ’, ἂν
book 31.3	σκοπῇς, ὅλως ἑτέρων πέφυκεν ἥττον’, ὧν δὲ μείζονα. τούτοις ἀνάγκη
book 31.4	ταῦτα δουλεύειν ἀεί.
book 32.1	οὐκ ἔστ’ ἀληθὲς
book 32.2	παραλογίσασθ’, οὐδ’ ἔχειν ὀψάρια
book 32.3	χρηστά.
book 33.1	Κανθάρου
book 33.2	σοφώτερος
book 34.1	ἐγὼ γὰρ ὡς τὴν
book 34.2	χλαμύδα κατεθέμην
book 34.3	ποτὲ καὶ τὸν πέτασον—
book 35.1	καὶ γύλιόν
book 35.2	τιν’ ἀργυρωμάτων
book 36	Κυδώνιον μῆλον
book 37.1	πάντ’ ἔστιν ἐξευρεῖν, ἐὰν μὴ τὸν πόνον
book 37.2	φεύγῃ τις, ὃς
book 37.3	πρόσεστι
book 37.4	τοῖς ζητουμένοις.
book 38	δεδράμηκα
book 39	εἰ τὰ παρὰ τοῖς ἄλλοισιν εἰδείης κακά, ἄσμενος ἔχοις ἄν, Νικοφῶν, ἃ νῦν ἔχεις.
book 41.1	[spk_β]ἰχθὺς τί σοι ἐφαίνεθ’ οὑφθός; Β. μιαρὸς ἦν. ἀκήκοας; ἅλμη
book 41.2	τε λευκὴ καὶ παχεῖ’ ὑπερβολῇ, κοὐχὶ λοπάδος
book 41.3	προσῶζεν οὐδ’ ἡδυσμάτων·
book 41.1	[ln_5][spk_α]Α. ἐβόων δ’ ἅπαντες ‘ὡς ἀγαθὴν ἅλμην
book 41.2	ποιεῖς.‘
book 42.1	[spk_β]Ἀγύρριος δὲ παρατεθέντος καράβου, ὡς εἶδεν αὐτόν ‘χαῖρε πάππα φίλτατε‘ εἴπας— Β. τί ἐποίει; Α. τὸν
book 42.2	πατέρα κατήσθιεν.
book 43	τἀκ τῶν ἁμαξῶν
book 44.1	[spk_παρμ]ἔδει
book 44.2	παρεῖναι, Παρμένων, αὐλητρίδ’ ἢ νάβλαν
book 44.3	τιν’. ΠΑΡΜ. ὁ δὲ νάβλας τί ἐστιν . . . Α. . . . οὐκ οἶδας, ἐμβρόντητε σύ; ΠΑΡΜ. μὰ Δία. Α. τί φής; οὐκ οἶσθα νάβλαν; οὐδὲν οὖν[ln_5]οἶσθ’ ἀγαθόν. οὐδὲ σαμβυκίστριαν;
book 46.1	πολὺ μεῖζόν ἐστι
book 46.2	τοῦ κακῶς ἔχειν κακὸν τὸ καθ’ ἕνα πᾶσι
book 46.3	τοῖς ἐπισκοπουμένοις δεῖν τὸν κακῶς ἔχοντα πῶς ἔχει λέγειν.
book 47.1	[spk_β]ὥσπερ Σέλευκος δεῦρ’ ἔπεμψε τὴν τίγριν, ἣν εἴδομεν ἡμεῖς, τῷ Σελεύκῳ πάλιν ἔδει ἡμᾶς
book 47.2	τι παρ’ ἡμῶν ἀντιπέμψαι θηρίον. Β. τρυγέρανον· οὐ γὰρ γίνεται
book 47.3	τοῦτ’ αὐτόθι.
book 48	ἀπὸ στόματος ἅπαντ’, ἐὰν βούλησθ’, ἐρῶ.
book 50	πανοικίᾳ
book 51.1	τὸ κανοῦν δ’ ὁ παῖς
book 51.2	περίεισι
book 51.3	τηνάλλως ἔχων.
book 52	νησίγδα
book 53.1	καὐτόν
book 53.2	τι πράττειν· οὐ μόνον τὰς ἐλπίδας ἐπὶ τῇ τύχῃ χρή, παιδίον, πάντως ἔχειν ὧν βούλεταί τις, ἀλλὰ καὐτὸν τῇ τύχῃ συλλαμβάνεσθαι· ῥᾷον ἡ τύχη
book 53.3	πονεῖ,[ln_5]ἐὰν μεθ’ ἑτέρου
book 53.4	τοῦτο, μὴ μόνη, ποιῇ.
book 54.1	δοῦλος
book 54.2	πρὸ δούλου, δεσπότης
book 54.3	πρὸ δεσπότου.
book 55	Ἕλλην γυνή
book 56.1	κακόν ἐστι δούλῳ δεσπότης
book 56.2	πράττων κακῶς· μετέχειν ἀνάγκη τῶν κακῶν γὰρ γίνεται.
book 57	τοῦ γὰρ δικαίου κἀν βροτοῖσι κἀν θεοῖς ἀθάνατος ἀεὶ δόξα διατελεῖ μόνου.
book 58.1	τὴν
book 58.2	πλατεῖαν
book 58.3	σοὶ μόνῳ ταύτην
book 58.4	πεποίηκεν ὁ βασιλεύς;
book 59	Αἰγύπτιος θοἰμάτιον ἠρδάλωκέ μου.
book 60.1	τοὺς ἐν τῇ πόλει μάρτυρας ἔχω γάρ, ὅτι μόνος φύσκην
book 60.2	ποιῶ, κάνδαυλον, ᾠά, θρῖον ἐν
book 60.3	στενῷ. τί γὰρ
book 60.4	τούτων διάπτωμ’ ἐγένετ’ ἢ ’μάρτημα τί;
book 61	περὶ τοὐπτάνιον οὐ γίνεθ’ ἡ σκευωρία· τραπεζοποιός ἐστ’ ἐπὶ τοῦ διακονεῖν.
book 62	μῦς λευκός
book 63.1	ἰδοὺ πάρεστιν, ὡς ὁρᾷς· τριτημόρου ἕκαστος ὑμῶν ἦλθεν· εἰς
book 63.2	τοὺς τέτταρας εἴληφεν ὑμῖν οὑτοσὶ τριώβολον.
book 64.1	[spk_β]ὀβολοῦ τὸ πρῶτον ἡμῖν ἐνέχεεν καὶ τεττάρων
book 64.2	χαλκῶν μετὰ ταῦτα. Β. καὶ μάλα· τρί’ ἡμιωβόλι’ ἐστί· χαλκοῦ θερμὸν ἦν.
book 65.1	τὸ τῆς Ἀμαλθείας δοκεῖς εἶναι κέρας οἷον γράφουσιν οἱ γραφεῖς κέρας βοός; ἀργύριόν ἐστι· τοῦτ’ ἐὰν ἔχῃς, λέγε
book 65.2	πρὸς
book 65.3	τοῦτ’ εἰ βούλει, πάντα
book 65.4	σοι γενήσεται,[ln_5]φίλοι, βοηθοί, μάρτυρες, συνοικίαι.
book 66	νυνὶ δ’ ὅταν λάβῃ τις εἰς τὴν οἰκίαν τὰς Ἱππονίκας τάσδε καὶ Ναυσιστράτας καὶ Ναυσινίκας, τὰς Ἀθηναίας λέγω—
book 67.1	Ἄρτεμι, φίλη δέσποινα, τοῦτόν
book 67.2	σοι φέρω, ὦ πότνι’, ἀμφιφῶντα καὶ σπονδήσιμα.
book 68	ἐξὸν ἀποσάττεσθαι δ’ ὅλην τὴν ἡμέραν, ποιοῦντα καὶ διδόντα ματτύας ἐκεῖ—
book 69	εἰ πάντες ἀποθανούμεθ’ οἷς μὴ γίνεται ἃ βουλόμεσθα, πάντες ἀποθανούμεθα.
book 70.1	σπάθην
book 70.2	παραφαίνων δηλαδὴ χρυσένδετον
book 71.1	οἱ φιλόσοφοι ζητοῦσιν, ὡς ἀκήκοα, περὶ τοῦτό τ’ αὐτοῖς
book 71.2	πολὺς ἀναλοῦται
book 71.3	χρόνος, τί ἐστιν ἀγαθόν, κοὐδὲ εἷς εὕρηκέ πω τί ἐστιν. ἀρετὴν καὶ φρόνησίν
book 71.4	φασι, καὶ[ln_5]λέγουσι πάντα μᾶλλον ἢ τί τἀγαθόν. ἐν ἀγρῷ διατρίβων τήν
book 71.5	τε γῆν
book 71.6	σκάπτων ἐγὼ νῦν εὗρον· εἰρήνη ’στίν· ὦ Ζεῦ φίλτατε, τῆς ἐπαφροδίτου καὶ φιλανθρώπου θεοῦ. γάμους, ἑορτάς, συγγενεῖς, παῖδας, φίλους,[ln_10]πλοῦτον, ὑγίειαν, σῖτον, οἶνον, ἡδονὴν αὕτη δίδωσι· ταῦτα πάντ’ ἂν ἐκλίπῃ, τέθνηκε κοινῇ πᾶς ὁ τῶν ζώντων βίος.
book 72.1	οὐκ ἔστιν οὔτε ζωγράφος, μὰ τοὺς θεούς, οὔτ’ ἀνδριαντοποιός, ὅστις ἂν
book 72.2	πλάσαι κάλλος
book 72.3	τοιοῦτον, οἷον ἁλήθει’ ἔχει. οὔτ’ ἀνδριάντος γὰρ καλῶς
book 72.4	πεπλασμένου,[ln_5]ἂν μὴ τὸν αἰσθησόμενον ἡ τέχνη λάβῃ.
book 73.1	εἰ τὰ δάκρυ’ ἡμῖν τῶν κακῶν ἦν φάρμακον, ἀεί θ’ ὁ κλαύσας
book 73.2	τοῦ πονεῖν ἐπαύετο, ἠλλαττόμεσθ’ ἂν δάκρυα δόντες
book 73.3	χρυσίον· νῦν δ’ οὐ προσέχει τὰ πράγματ’ οὐδ’ ἀποβλέπει
book 73.1	[ln_5][spk_α]εἰς
book 73.2	ταῦτα, δέσποτ’, ἀλλὰ τὴν αὐτὴν ὁδόν, ἐάν
book 73.3	τε κλάῃς ἄν
book 73.4	τε μή, πορεύεται. τί οὖν
book 73.5	ποιεῖς
book 73.6	πλέον; Α. οὐδέν· ἡ λύπη δ’ ἔχει ὥσπερ τὰ δένδρα
book 73.7	τοῦτο καρπὸν τὸ δάκρυον.
book 74.1	[spk_β]χαλκοῦς ὀφείλεις πέντε μοι. μέμνης’; Β. ἐγὼ σοὶ πέντε
book 74.2	χαλκοῦς, σὺ δέ γ’ ἐμοὶ τριτήμορον. τοὺς ἓξ ἀποδοὺς
book 74.3	τοὺς πέντε
book 74.4	χαλκοῦς ἀπόλαβε.
book 75.1	ἄλλῳ πονοῦντι ῥᾴδιον
book 75.2	παραινέσαι ἔστιν, ποιῆσαι δ’ αὐτὸν οὐχὶ ῥᾴδιον. τεκμήριον δὲ τοὺς ἰατροὺς οἶδ’ ἐγὼ ὑπὲρ ἐγκρατείας
book 75.3	τοῖς νοσοῦσιν εὖ σφόδρα[ln_5]πάντας λαλοῦντας, εἶτ’ ἐὰν
book 75.4	πταίσωσί τι, αὐτοὺς
book 75.5	ποιοῦντας πάνθ’ ὅς’ οὐκ εἴων τότε. ἕτερον τό τ’ ἀλγεῖν καὶ θεωρεῖν ἐστ’ ἴσως.
book 76.1	ἐγὼ πρότερον μὲν ᾠόμην τῇ Σικελίᾳ ἓν
book 76.2	τοῦτ’ ἀπότακτον αὐτὸ τοὺς
book 76.3	τυροὺς
book 76.4	ποιεῖν καλούς· ἔτι
book 76.5	ταῦτα
book 76.6	προσετίθην ἀκηκοώς, ἱμάτια
book 76.7	ποικίλ’ εἰ λέγοι
book 76.8	τις
book 76.9	Σικελικά.
book 76	[ln_5][spk_β]Β. σκεύη μὲν οὖν καὶ κτήματ’ ᾠόμην φέρειν.
book 77.1	τὸ δὴ λεγόμενον
book 77.2	τοῦτο Μυσῶν ἔσχατον ἐνόμιζ’ ὁρᾶν τὸν υἱὸν ἐκπλέονθ’ ὁρῶν.
book 79.1	ὡς ἵμερός μ’ ὑπῆλθε γῇ τε κοὐρανῷ λέξαι μολόντι
book 79.2	τοὔψον ὡς ἐσκεύασα. νὴ τὴν Ἀθηνᾶν ἡδύ γ’ ἔστ’ εὐημερεῖν ἐν ἅπασιν· ἰχθὺς ἁπαλὸς οἷος γέγονέ μοι,[ln_5]οἷον
book 79.3	παρατέθεικ’, οὐ πεφαρμακευμένον
book 79.4	τυροῖσιν, οὐδ’ ἄνωθεν ἐξανθισμένον, ἀλλ’ οἷος ἦν ζῶν, κὠπτὸς ὢν
book 79.5	τοιοῦτος ἦν· οὕτως ἁπαλὸν ἔδωκα καὶ πρᾷον τὸ πῦρ ὀπτῶν τὸν ἰχθύν, οὐδὲ πιστευθήσομαι.[ln_10]ὅμοιον ἐγένετ’, ὄρνις ὁπόταν ἁρπάσῃ τοῦ καταπιεῖν μεῖζόν
book 79.6	τι· περιτρέχει κύκλῳ τηροῦσα
book 79.7	τοῦτο, καταπιεῖν δ’ ἐσπούδακεν, ἕτεραι διώκουσιν δὲ ταύτην. ταὐτὸν ἦν. τὴν ἡδονὴν ὁ πρῶτος αὐτῶν καταμαθὼν[ln_15]τῆς λοπάδος, ἀνεπήδησε κἄφευγεν κύκλῳ τὴν λοπάδ’ ἔχων, ἄλλοι δ’ ἐδίωκον κατὰ πόδας. ἐξῆν ὀλολύζειν· οἱ μὲν ἥρπασάν
book 79.8	τι γάρ, οἱ δ’ οὐδέν, οἱ δὲ πάντα. καίτοι
book 79.9	παρέλαβον ἰχθῦς
book 79.10	ποταμίους ἐσθίοντας βόρβορον·
book 79.1	[ln_20]εἰ δ’ ἔλαβον ἄρτι
book 79.2	σκάρον, ἢ ’κ τῆς Ἀττικῆς γλαυκίσκον, ὦ Ζεῦ σῶτερ, ἢ ’ξ Ἄργους κάπρον, ἢ ’κ τῆς
book 79.3	Σικυῶνος τῆς φίλης ὃν
book 79.4	τοῖς θεοῖς φέρει
book 79.5	Ποσειδῶν γόγγρον εἰς τὸν οὐρανόν, ἅπαντες οἱ φαγόντες ἐγένοντ’ ἂν θεοί.[ln_25]ἀθανασίαν εὕρηκα· τοὺς ἤδη νεκρούς, ὅταν ὀσφρανθῶσι, ποιῶ ζῆν πάλιν.
book 80	ἠγόρασα νῆστιν κεστρέ’ ὀπτὸν οὐ μέγαν.
book 81.1	ἱμάτια διαφαίνοντα καὶ πέδην
book 81.2	τινὰ χρυσῆν
book 82.1	ἀεὶ γεωργὸς εἰς νέωτα
book 82.2	πλούσιος.
book 83	στοιχεῖον
book 84	ἔπιεν ἡ Ῥόδη κυμβίον ἀκράτου· κατασέσειχ’ ὑμᾶς ἄνω.
book 85.1	φιλοσοφίαν καινὴν γὰρ οὗτος
book 85.2	φιλοσοφεῖ· πεινῆν διδάσκει καὶ μαθητὰς λαμβάνει. εἷς ἄρτος, ὄψον ἰσχάς, ἐπιπιεῖν ὕδωρ.
book 86	βοῦς ἕβδομος
book 88.1	πολύ γ’ ἐστὶ πάντων ζῷον ἀθλιώτατον ἄνθρωπος, εἴ τις ἐξετάζοι κατὰ τρόπον· τὸν γὰρ βίον
book 88.2	περίεργον εἰς τὰ πάντ’ ἔχων ἀπορεῖ τὰ πλεῖστα διὰ τέλους
book 88.3	πονεῖ τ’ ἀεί.[ln_5]καὶ τοῖς μὲν ἄλλοις πᾶσιν ἡ γῆ θηρίοις ἑκοῦσα
book 88.4	παρέχει τὴν καθ’ ἡμέραν
book 88.5	τροφήν, αὐτὴ πορίζους’, οὐ λαβοῦσα . . . . . . . . . . . . πάνυ μόλις ὥσπερ τὸ κατὰ χρέος κεφάλαιον ἐκτίνει[ln_10]τὸ σπέρμα, τοὺς τόκους δ’ ἀνευρίσκους’ ἀεὶ πρόφασίν
book 88.6	τιν’ αὐχμὸν ἢ πάχνην ἀποστερεῖ. καὶ δὴ τυχὸν μὲν διὰ τὸ παρέχειν
book 88.7	πράγματα μόνους ἑαυτῇ καὶ ποιεῖν τἄνω κάτω
book 88.8	ταύτην
book 88.9	παρ’ ἡμῶν λαμβάνει
book 88.10	τιμωρίαν.
book 89.1	τί ποτε
book 89.2	Προμηθεύς, ὃν λέγους’ ἡμᾶς
book 89.3	πλάσαι καὶ τἄλλα πάντα ζῷα, τοῖς μὲν θηρίοις ἔδωχ’ ἑκάστῳ κατὰ γένος μίαν φύσιν; ἅπαντες οἱ λέοντές εἰσιν ἄλκιμοι,[ln_5]δειλοὶ πάλιν ἑξῆς πάντες εἰσὶν οἱ λαγῴ. οὐκ ἔστ’ ἀλώπηξ ἡ μὲν εἴρων τῇ φύσει ἡ δ’ αὐθέκαστος, ἀλλ’ ἐὰν
book 89.4	τρισμυρίας ἀλώπεκάς
book 89.5	τις
book 89.6	συναγάγῃ, μίαν φύσιν ἁπαξαπασῶν ὄψεται
book 89.7	τρόπον θ’ ἕνα.[ln_10]ἡμῶν δ’ ὅσα καὶ τὰ σώματ’ ἐστὶ τὸν ἀριθμὸν καθ’ ἑνός, τοσούτους ἔστι καὶ τρόπους ἰδεῖν.
book 90.1	μείζω τὰ κακὰ ποιοῦσι
book 90.2	πολλοί, δέσποτα, αὐτοὶ δι’ αὑτοὺς ἢ πέφυκε τῇ φύσει. οἷον τέθνηκεν υἱὸς ἢ μήτηρ
book 90.3	τινί, ἢ νὴ Δί’ ἄλλων τῶν ἀναγκαίων γέ τις·[ln_5]ἂν μὲν λάβῃ τοῦτ’ ‘ἀπέθαν’, ἄνθρωπος γὰρ ἦν,‘ τοσοῦτο γέγονε τὸ κακὸν ἡλίκον
book 90.4	περ ἦν. ἐὰν δ’ ‘ἀβίωτος ὁ βίος, οὐκ ἔτ’ ὄψομαι, ἀπόλωλ’,‘ ἐν ἑαυτῷ τοῦτ’ ἐὰν
book 90.5	σκοπῇ, κακὰ πρὸς
book 90.6	τοῖς κακοῖς οὗτος ἕτερα
book 90.7	συλλέγει.
book 90.1	[ln_10]ὁ δὲ τῷ λογισμῷ πάντα
book 90.2	παρ’ ἑαυτῷ σκοπῶν τὸ κακὸν ἀφαιρεῖ, τἀγαθὸν δὲ λαμβάνει.
book 91.1	ὃν οὐδὲ εἷς λέληθεν οὐδὲ ἓν
book 91.2	ποιῶν, οὐδ’ αὖ ποιήσων, οὐδὲ πεποιηκὼς πάλαι, οὔτε θεὸς οὔτ’ ἄνθρωπος, οὗτός εἰμ’ ἐγώ, Ἀήρ, ὃν ἄν
book 91.3	τις ὀνομάσειε καὶ Δία.[ln_5]ἐγὼ δ’, ὃ θεοῦ ’στιν ἔργον, εἰμὶ πανταχοῦ, ἐνταῦθ’ ἐν Ἀθήναις, ἐν Πάτραις, ἐν
book 91.4	Σικελίᾳ, ἐν
book 91.5	ταῖς πόλεσι πάσαισιν, ἐν
book 91.6	ταῖς οἰκίαις πάσαις, ἐν ὑμῖν πᾶσιν· οὐκ ἔστιν τόπος, οὗ μή ’στιν Ἀήρ· ὁ δὲ παρὼν ἁπανταχοῦ[ln_10]πάντ’ ἐξ ἀνάγκης οἶδε
book 91.7	πανταχοῦ παρών.
book 92.1	ἀεὶ τὸ πλουτεῖν
book 92.2	συμφορὰς
book 92.3	πολλὰς ἔχει, φθόνον τ’ ἐπήρειάν
book 92.4	τε καὶ μῖσος
book 92.5	πολύ, πράγματά τε
book 92.6	πολλὰ κἀνοχλήσεις μυρίας, πράξεις
book 92.7	τε πολλὰς
book 92.8	συλλογάς
book 92.9	τε τοῦ βίου.[ln_5]ἔπειτα μετὰ ταῦτ’ εὐθὺς εὑρέθη θανών, ἄλλοις καταλείψας εἰς
book 92.10	τρυφὴν τὴν οὐσίαν. ὅθεν πένεσθαι μᾶλλον ἡδέως ἔχω, ἔχειν
book 92.11	τε μέτρια κἀμέριμνον ζῆν βίον, καὶ μήτ’ ἔχειν
book 92.12	πλοῦτόν με μήτε
book 92.13	πράγματα·[ln_10]πᾶς γὰρ πένης ὢν μεγάλα κερδαίνει κακά.
book 93.1	ὦ τρισμακάρια πάντα καὶ τρισόλβια τὰ θηρί’, οἷς οὐκ ἔστι
book 93.2	περὶ τούτων λόγος· οὔτ’ εἰς ἔλεγχον οὐδὲν αὐτῶν ἔρχεται, οὔτ’ ἄλλο
book 93.3	τοιοῦτ’ οὐδέν ἐστ’ αὐτοῖς κακὸν[ln_5]ἐπακτόν, ἣν δ’ ἂν εἰσενέγκηται φύσιν ἕκαστον, εὐθὺς καὶ νόμον
book 93.4	ταύτην ἔχει. ἡμεῖς δ’ ἀβίωτον ζῶμεν ἅνθρωποι βίον· δουλεύομεν δόξαισιν, εὑρόντες νόμους, προγόνοισιν, ἐγγόνοισιν. οὐκ ἔστ’ ἀποτυχεῖν[ln_10]κακοῦ, πρόφασιν δ’ ἀεί τιν’ ἐξευρίσκομεν.
