Hymn 7 To Dionysus
Ὕμνος εἰς Διόνυσον
by Hymnic Collection  Anonymous
23	αὐτίκα, μηδ’ ἐπὶ χεῖρας ἰάλλετε μή τι χολωθεὶς
24	ὄρσῃ ἀργαλέους τ’ ἀνέμους καὶ λαίλαπα πολλήν.
25	Ὣς φάτο· τὸν δ’ ἀρχὸς στυγερῷ ἠνίπαπε μύθῳ·
26	δαιμόνι’ οὖρον ὅρα, ἅμα δ’ ἱστίον ἕλκεο νηὸς
27	σύμπανθ’ ὅπλα λαβών· ὅδε δ’ αὖτ’ ἄνδρεσσι μελήσει.
28	ἔλπομαι ἢ Αἴγυπτον ἀφίξεται ἢ ὅ γε Κύπρον
29	ἢ ἐς Ὑπερβορέους ἢ ἑκαστέρω· ἐς δὲ τελευτὴν
30	ἔκ ποτ’ ἐρεῖ αὐτοῦ τε φίλους καὶ κτήματα πάντα
31	οὕς τε κασιγνήτους, ἐπεὶ ἡμῖν ἔμβαλε δαίμων.
32	Ὣς εἰπὼν ἱστόν τε καὶ ἱστίον ἕλκετο νηός.
33	ἔμπνευσεν δ’ ἄνεμος μέσον ἱστίον, ἀμφὶ δ’ ἄρ’ ὅπλα
34	καττάνυσαν· τάχα δέ σφιν ἐφαίνετο θαυματὰ ἔργα.
35	οἶνος μὲν πρώτιστα θοὴν ἀνὰ νῆα μέλαιναν
36	ἡδύποτος κελάρυζ’ εὐώδης, ὤρνυτο δ’ ὀδμὴ
37	ἀμβροσίη· ναύτας δὲ τάφος λάβε πάντας ἰδόντας.
38	αὐτίκα δ’ ἀκρότατον παρὰ ἱστίον ἐξετανύσθη
39	ἄμπελος ἔνθα καὶ ἔνθα, κατεκρημνῶντο δὲ πολλοὶ
40	βότρυες· ἀμφ’ ἱστὸν δὲ μέλας εἱλίσσετο κισσὸς
41	ἄνθεσι τηλεθάων, χαρίεις δ’ ἐπὶ καρπὸς ὀρώρει·
42	πάντες δὲ σκαλμοὶ στεφάνους ἔχον· οἱ δὲ ἰδόντες
43	νῆ’ ἤδη τότ’ ἔπειτα κυβερνήτην ἐκέλευον
44	γῇ πελάαν· ὁ δ’ ἄρα σφι λέων γένετ’ ἔνδοθι νηὸς
45	δεινὸς ἐπ’ ἀκροτάτης, μέγα δ’ ἔβραχεν, ἐν δ’ ἄρα μέσσῃ
46	ἄρκτον ἐποίησεν λασιαύχενα σήματα φαίνων·
47	ἂν δ’ ἔστη μεμαυῖα, λέων δ’ ἐπὶ σέλματος ἄκρου
48	δεινὸν ὑπόδρα ἰδών· οἱ δ’ εἰς πρύμνην ἐφόβηθεν,
49	ἀμφὶ κυβερνήτην δὲ σαόφρονα θυμὸν ἔχοντα
50	ἔσταν ἄρ’ ἐκπληγέντες· ὁ δ’ ἐξαπίνης ἐπορούσας
51	ἀρχὸν ἕλ’, οἱ δὲ θύραζε κακὸν μόρον ἐξαλύοντες
52	πάντες ὁμῶς πήδησαν ἐπεὶ ἴδον εἰς ἅλα δῖαν,
53	δελφῖνες δ’ ἐγένοντο· κυβερνήτην δ’ ἐλεήσας
54	ἔσχεθε καί μιν ἔθηκε πανόλβιον εἶπέ τε μῦθον·
55	Θάρσει δῖ’ ἑκάτωρ τῷ ἐμῷ κεχαρισμένε θυμῷ·
56	εἰμὶ δ’ ἐγὼ Διόνυσος ἐρίβρομος ὃν τέκε μήτηρ
57	Καδμηῒς Σεμέλη Διὸς ἐν φιλότητι μιγεῖσα.
58	Χαῖρε τέκος Σεμέλης εὐώπιδος· οὐδέ πῃ ἔστι
59	σεῖό γε ληθόμενον γλυκερὴν κοσμῆσαι ἀοιδήν.

—
Canonical:  https://eulogikon.org/works/hymnic-anon-dionysus-upu-ao
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: upu-ao

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
