Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 5b	ῥέγκουσιν] βαθέως ... ῥοχαλίζουσιν, ὃ καὶ ῥέγχειν λέγεται Reg (cf. Th2Tr1/2 5), ῥέγχουσιν (M), ῥεγχαλοῦσι Lb, ῥοχαλίζουσι VaHo, κοιμῶνται Chalc.
book 5c	ἤτοι [ἤγουν h] βαθέως ὑπνώττουσιν. “ῥέγχουσι” δέ ἐστι καὶ τροπῇ τοῦ χ εἰς κ γίνεται l “ῥέγκουσιν”. ἔστι δὲ ἰωνικόν, καὶ ἐκ τούτου φασὶ καὶ [φασὶν Chalc] οἱ Ἀττικοὶ τὸ “ῥέγ‐ κουσιν”· οἱ γὰρ Ἴωνες ἀεὶ τὰ ψιλὰ εἰς δασέα l [δασέα εἰς ψιλὰ] τρέπουσιν, οἷον “πανδοκεῖον”, “ῥέγκουσι”, “δέκομαι”, “ὅκως” LbChalc καὶ τὰ τοιαῦτα.
book 5c,c2	ἔστι δὲ ἀττικόν, ἐπεὶ καὶ “ῥέγ‐ χουσι” γράφεται. τὸ δὲ “ῥέγκουσιν” ἀπὸ τῶν Ἰώνων λέγουσι λαβόντες, οἵτινες h
book 5d alpha	πρὸ τοῦ] ἔρεγχον Reg [ἔρεγκον] δηλονότι RegParHo(M) (hic –ρρ– et δῆλον) (cf. Tz1 5c), πρὸ τοῦ γενέσθαι τὸν πόλεμον Cr, πρότερον Cant.2.
book 5d beta	οὐκ ... τοῦ] οὐδαμῶς lChalc ἐποίουν τοῦτο Lb ἤρρεγκον Chalc πρότερον LbChalc, πρότερον Vab ἔρρεγκον Vah (ἔρε– VaHo, alt. ρ superscr. Ba) δη‐ λονότι πρὸ τοῦ τὸν πόλεμον μετὰ τῶν Λακεδαιμονίων συμβῆναι b.
book 6a	ὅρα, πῶς δαιμονίως καθάπτεται τῶν Ἀθηναίων Ἀριστοφάνης, ὡς τὴν ἔχθραν καὶ τὸν πόλεμον τὸν μετὰ τῶν Harl.5 Λακεδαιμονίων μᾶλλον φιλοῦντας, προτρέπει δὲ αὐτοὺς εἰρηνεύειν μᾶλλον, ἐν σχήματι περιλήψεως b ἐπάγων, ὅσα εἰσὶν ἐκ τοῦ πολέμου δυσχερῆ καὶ ὅτι οὐδὲ τοὺς οἰκέτας ἔξεστι κολάζειν· ἤν τις γὰρ [πταίοντας τιμωρεῖν, ὅτι ἄν τις b] αὐτοὺς τιμωρήσῃ, ῥᾷστα ἂν πρὸς τοὺς b Λακεδαιμονίους ἐχθροὺς ὄντας b αὐτομολήσειαν.
book 6b	ἀποστροφὴ πρὸς τὸν πόλεμον τὸν αἴτιον τοῦ ῥέγκειν τοὺς δούλους Cr(m2).
book 6c	δῆτ’] ἀληθῶς CrChalcb, οὖν (M).
book 6d	πολλῶν] κακῶν Chis A, τρόπων Par, πραγμάτων Cant.2, αἰτίων Chalc.
book 6e	οὕνεκα] χάριν Lb.
book 7a	φασὶν ... (2) ναυμαχήσαντες ... (3) τοῖς ναυμαχοῦσι ... (5) οὕτω λέγουσι ... (6) κολάζειν ἐν τοῖς πταίσμασιν ... (7) αὐτομολήσωσιν.
book 7b	ὅτ’] ὅτι, ἐπεί b(alt. = Th2Tr1/2), εἴπερ (M).
book 7c	κολάς’] ἀγανακτῆσαι Cr (–ίσαι cod.), τύψαι Cant.2Chalc, τιμωρή‐ σασθαι lb(M), τιμωρῆσαι (Ca2).
book 7d	ἔξεστί] δυνατὸν ὑπάρχει Cr, ἄδειά ἐστι Cant.2PaChalcb, ἄδεια ὑπάρ‐ χει l.
book 7e	κολάσαι γ’ ἔστι] γρ. ἔξεστι Ven.
book 7f	οἰκέτας] δούλους ChisCrCant.2lChalcb (M).
book 8a	χρηστὸς] εἰρωνικόν Reg (M), κατ’ εἰρωνείαν (Cang) (cf. sch.vet. 8a med. et Tz 8a; Tz1 8c), ἀγαθός ParCrCant.2lChalcb ἢ ὁ μωρός Cr.
book 8b	νεανίας] ὁ ἐμὸς υἱὸς δηλονότι Chalcb.
book 9a	ἁρμοδιώτατα εἰρήκει ἐνταῦθα ὁ ποιητὴς τὸ “ἐξεγείρεται”· κυρίως γὰρ ὅταν ἐκ τοῦ ὕπνου ἀναστῶμεν, τότε προσφορώτερόν ἐστιν εἰπεῖν “ἐγείρο‐ μαι”. καὶ τὸ μὲν ἐγείρομαι παθητικῶς ἐκφερόμενον σημαίνει τὸ “ἀνίσταμαι αὐτὸς ἐγώ”, τὸ δὲ ἐγείρω τὸ ἐνεργητικὸν τὸ “ἀνίστημι ἕτερον”, ὡς καὶ τὸ “τῆς κλίνης καὶ τοῦ ὕπνου ἐξήγειράς με, Κύριε”.
book 9b	ἐγείρεται] ἀνίσταται Crlb(M), ἀφυπνίζει Chalc.
book 9c	τῆς νυκτὸς] κατὰ τὸν καιρὸν Cant.2VaChalcb τῆς νυκτός LbBa, διά (M).
book 9d	πέρδεται] πέρδει CrVdVab, ἀποφυσᾷ Cr, κλάνει Cant.2b, βδέει Chalc, βδέεται Ho, ἀεὶ παθητικῶς γράφεται (M).
book 10a	ἐν πέντε] ἐν πολλαῖς b.
book 10b	σισύρη (sic) τὸ παχὺ ... δερμάτων Vict (cf. Hesch. s.v. σισύρα, Σ 744).
book 10c alpha	〈ἐγκεκορδυλημένοσ]〉 ἔτι γὰρ Κύπριοι ... κεφαλῆς, καὶ ἀπὸ τούτου ῥῆμα κορδυλέω, κορδυλῶ.
book 10c beta	ἐγκεκορδυλημένος] περικεκαλυμμένος b, συνεσφιγμένος τοῖς ἐπιβλήμασιν (M).
book 10d	κεκορδυλημένος, οἱονεὶ κεκονδυλημένος· τοῦτο δὲ παράγεται ἀπὸ τοῦ κονδύλου, ὃς ὁ κοινῶς “γρόνθος” λέγεται. τὰ δὲ ἐπιβλήματα σισύραι εἰσί· σισύραι δὲ δέρματα κατειργασμένα.
book 11a	δοκεῖ] φαίνεται Cr(m2) Cant.2Lbb καλόν Cant.2 ἀνεκτόν· ἢ ἐπιτή‐ δειον b.
book 11b	ῥέγκωμεν] νοητέον, ὅτι ἔπεσεν ὑπνώττειν Cr(m2), ἂς ῥοχαλίζομεν Cr, ὅρα ἵνα ῥωγχαλίζομεν Cant.2, δεῦρο καὶ ἡμεῖς Pa (cf. Tz1 11b), ἄγε ἵνα lb, ὑπνώσωμεν (Ca2).
book 11c	ἐγκεκαλυμμένοι] κατεσκεπασμένοι b, ἐγκεκορδυλημένοι (M).
book 12a	ἀλλ’ οὐ] παρεπιγραφή Cr(cf. sch.vet. 11 in.).
book 12b	δύναμαι] ἰσχύω Cr, δυνατῶς ἔχω Cant.2.
book 12c	δείλαιος] ὁ ἄθλιος CrCant.2VaChalcb ἐγὼ ἄθλιος Lb (cf. sch.vet. 12b).
book 12d	εὕδειν] κοιμᾶσθαι ParCant.2 PalChalch, ὑπνοῦν (Cang).
book 12e	δακνόμενος] πιεζόμενος Par, λυπούμενος CrlChalcb, φθειρόμενος (Cang).
book 12f	δακνόμενος ὑπὸ τῆς φροντίδος τοῦ χρέους. ἐπεὶ δὲ τὰ χρέα κατεδα‐ πανῶντο ἐν ταῖς τῶν ἵππων φάτναις, ἔφη “ὑπὸ τῆς φάτνης δάκνομαι” M(mrg.).
book 13a	12] ἐκ ... περιεχόμενον· περιέχεται γὰρ ἡ φάτνη, περιέχονται δὲ οἱ ἵπποι Chis (cf. Tz 13a, 1.12sq).
book 13b	δαπάνης] ἀναλωμάτων CrLb, ἀναλώματος (M), ἐξόδου Cant.2Vab.
book 13c	φάτνης] ἵππων Chalc.
book 13d	τῶν χρεῶν] ἃ ὀφείλω lb.
book 14a	κόμην ἔχων] ἦσαν γὰρ οἱ ἵπποι κόμην τρέφοντες Chis(cf. Tz 14a, l. 3), {ὡς ἀπὸ μέρους τὸ πᾶν} Cr, καλλοπιζόμενος Cr(m2), κομῶν Cant.2 (M), τῆς ἑαυτοῦ Vab κεφαλῆς [κόμης Va] ἐπιμελούμενος lb.
book 14b	κόμη μὲν λέγεται ἡ θρὶξ τῆς κεφαλῆσ, ἀφ’ οὗ καὶ τὸ κομᾶν καὶ τὸ “καρηκομόωντες Ἀχαιοί” παρ’ Ὁμήρῳ Lb· κόμην δὲ ἐνταῦθά φησιν [ἐνταῦθα δὲ κόμην b] οὐ μόνον τὴν τῆς κεφαλῆς τρίχα Va λέγει b, ἀλλὰ καὶ ἃς ἐτίθουν ἐν τοῖς κράνεσιν · ὅθεν καὶ “καρηκομώωντας” φησὶν Ὅμηρος Chalc. [“καρη‐ κομόοντες Ἀχαιοί” b.] “ἱππάζεται” δὲ ἀντὶ τοῦ ἐπὶ ἑνὸς ἵππου ὀχεῖται· “ξυνωρικεύεται” δὲ ἤγουν ἐφ’ ἅρματος ὀχεῖται, ὃ εἷλκον δύο ἵπποι lChalc. ξυνωρὶς δὲ λέγεται συζυγία δύο τινῶν ἀνθρώπων δηλονότι ἢ ἵππων ἢ ἄλλων ζῴων ἢ πραγμάτων τινῶν l.
book 14c	κόμην] πλῆθος τριχῶν Ho.
book 14d	ἔχων] κεκτημένος Chalc.
book 15a	ἱππάζεται] ἔφιππος γίνεται ἑνὶ ἵππῳ Reg, κελητίζει Cr(m2), καβα‐ λικεύει Cant.2Chalc, ἐν ἵππῳ ὀχεῖται PaHo, ἱππεύει lb, κέλλητι (sic) ἵππῳ χρῆται (M; cf. Th2Tr1/215).
book 15b	ξυνωρικεύεται] ἐπὶ ξυνωρίδος ἅρματος ὀχεῖται Reg (cf. Th2Tr1/2 15), ξυνωρίδι χρῆται (M), διφρεύεται ἐν ξυνωρίδι ἵππων Cr, ἁρματηλατεῖ Cant.2 (cf. Tz1 15b), ἐπὶ δίφρου φέρεται Pa, ἐφ’ ἅρματος ὀχεῖται lb, ἐπὶ δίφρου ὀχεῖται ἤτοι ἅρματος ἔχοντος δύο (δέ cod.) ἵππους Ho, συντροφίας ποιεῖ (Ca2).
book 15c	τὸ μὲν “ἱππάζεται” ἀντὶ τοῦ ἐπὶ ἑνὸς ἵππου ὀχεῖται, τὸ δὲ “ξυνω‐ ρικεύεται” ἀντὶ τοῦ ἐφ’ ἅρματος ὀχεῖται, ὃ εἷλκον ἵπποι δύο.
book 16a alpha	ὀνειροπολεῖν μέν ἐστι τὸ ἐν ὀνείροις φαντάζεσθαι περί τινος ἁπλῶς, ὀνειρώττειν δὲ τὸ κοιμώμενόν τινα αὐτομάτως προϊέναι τὴν γονὴν δοκοῦντα συνουσιάζειν γυναικὶ ἢ πολλάκις καὶ δίχα φαντασίας συνουσιασμοῦ.
book 16a beta	ὀνειροπολεῖν τὸ φαντάζεσθαι, ὀνειρώττειν δὲ τὸ καθ’ ὕπνους συνουσιάζειν.
book 16a gamma	ὀνειροπολεῖ] ἐν τοῖς ὀνείροις φαντάζεται (M; cf. Th2Tr1/2 16b).
book 16b	ἴσθι, ὅτι τὸ ὄλλω πέντε θέματα ἔχει· καὶ πρῶτον μέν ἐστι τὸ ὄλλω, ἐκ τούτου δὲ καὶ μέλλων ὀλλῶ, ἐκ δὲ τοῦ μέλλοντος τούτου γίνεται ἕτερον θέμα ὀλέω, ὀλῶ· καὶ ὄλλω ποιεῖται θέμα ὀλλύω, καὶ ὄλλυμι ἀπὸ τοῦ πρώτου θέματος τοῦ ὄλλω Cr(mrg.).
book 17a	ἤγουν εἰς ... ἡμέραις κθʹ (1) καὶ μικρόν τι πλείοσιν· ἀπὸ γοῦν τῆς κʹ φθίνειν φασὶ τὸν σεληνιακὸν μῆνα. ἐπεὶ οὖν οἱ τόκοι τῶν χρεῶν πληρουμένου τοῦ μηνὸς ἐδίδοντο, ὡς ἤδη ἀπὸ τῆς κʹ φθίνοντος τὴν τῶν τόκων ἀπόδοσιν ἀναλογιζόμενος δυσχεραίνει. εἴρηκε δὲ εἰκάδας πληθυντικῶς τὰς μετὰ τὴν κʹ ἐφεξῆς ἡμέρας ὡς μάλιστα φθίνειν ποιούσας τὸν μῆνα, ἢ αὐτὴν τὴν κʹ.
book 17b	ἄγουσαν] φέρουσαν lChalch.
book 17c	εἰκάδας] πολλὰς διαφοράς Cr, εἴκοσιν ἡμέρας Cr, εἰκοστάς lb, ἤγουν εἰκάδα (M).
book 17d	εἰκάδας p.i.m.] ἔθος ἦν κατὰ εἴκοσιν ἡμέρας *** τόκ[ους *** Cr(margine resecto).
book 18a	γὰρ] καί Chalc.
book 18b	τόκοι] κάματοι Cant.2Chalc, ὀζούραι b (ζούραι Harl.5).
book 18c	χωροῦσιν] ἔρχονται CrVd(m2), προβαίνουσιν Cant.2, αὐξάνουσιν Cant.2 PalChalch, αὐξάνονται (M).
book 19a	κἄκφερε] ἔξω φέρε Cr(m2)lb, ἐξάγαγε Pa.
book 19b alpha	τὸ γραμματεῖον] τὸ κατάστιχον τῶν χρεῶν Reg (cf. Tz1 19b), τὸν χάρτην Crb(M) (cf. Tz 19a) εἰς ὃν τὰ χρέα γράφουσιν Cr τὸν τὸ (om. Zach.) χρέος ἔχοντα γεγραμμένον (M).
book 19b beta	γραμματεῖον ὁ χάρτης, ἐν ᾧ σημειούμεθα τόδε τι.
book 19c	ἀναγνῶ] μάθω Cr(m2), νοήσω Cant.2lChalc, ἀναγνωρίσω (M).
book 20a	ὁπόσοις] ἀνθρώποις Cr(m2) VaChalcb(M), δανεισταῖς Lb.
book 20b	ὀφείλω] χρεωστῶ Cr(m2) Cant.2lChalch(M).
book 20c	λογίσωμαι] λογαριάσωμαι Pa.
book 20d	τόκους] καμάτους Cant.2Chalc, οὓς χρεωστῶ Va.
book 21a	ὅτι ... (2) ἐστι δραχμαὶ βʹ, ὃ καλεῖται κοδράντης ... (3) ιηʹ· τὸ δὲ ... ϛʹ.
book 21b	φέρ’] παρεπιγραφή Cr(cf. Tz 21a, l. 5).
book 21c	ὀφείλω] χρεωστῶ Cr(m2) Cant.2lChalcb.
book 22a	τοῦ] ὑπὲρ τίνος Cant.2, ἕνεκεν τίνος πράγματος Pa, τίνος ἕνεκεν Lbb, τίνος χάριν Va, ἕνεκα τίνος (M; = Tz1 22c).
book 22b	μνᾶς] λίτρας Cant.2 PalChalc(fere evan.)b.
book 22c	τί] εἰς τί Reg, κατά PalChalch(M).
book 22d	ἐχρησάμην] ἐδανεισάμην Cant.2, ἐδανείσθην Ho.
book 23a	συνῆχ’] ἐνόησα Cant.2 Vd(v. Th2 23a)lChalc (συνῆχ’ in fine v. 22)b (M) (συνῆχ’ in initio v. 23), ἀνενόησα Ho (συνῆκα in initio v. 23), ἐγνώρισα (Cang) (συνῆχ’ in initio v. 23).
book 23b	ἐπριάμην] ὠνησάμην Reg, ἠγόρασα ParlChalcb.
book 23c	τὸ κ στοιχεῖον Reg κόππα ἐλέγετο κατὰ [κατά τινα] διάλεκτον, ὅθεν καὶ κοππατίας ὁ Chis ἔχων ἐντετυπωμένον τῷ μηρ[ῷ] [ἐν τῷ μηρῷ ἐντετυπωμένον] κ, ὥσπερ καὶ σαπφόρας ὁ τὸ ς ἔχων. ἔνιοι δὲ κοππατίας ἵππους νοοῦσι τοὺς γαύρους καὶ ταῖς ὁπλαῖς τὸ ἔδαφος κόπτοντας.
book 23d	κοππατίαν] φρυαγματίαν (φρυγματίου cod.) Cr, τὸν ἵππον l τὸν κ χάραγμα καὶ σημεῖον ἔχοντα Lb, τὸν ἔχοντα κ εἰς τὸν μηρόν Chalc, τὸν ἵππον τὸν καλούμενον κοππατίαν b.
book 23e	τάλας] ἄθλιος ὑπάρχω Cr(m2), ὁ ἄθλιος Cant.2, εἰμί LbChalc.
book 24a	εἴθ’] ἄμποτε CrChalc, ἄνποτε b.
book 24b alpha	ἐναλλάττουσιν οἱ Ἀττικοὶ τὴν συνήθειαν. ἐπὶ μὲν ὀφθαλμῶν ἀττικισταὶ τιθέασιν “ἐξεκόπην” ἐπὶ χειρῶν μᾶλλον ὀφείλοντος λέγεσθαι, ἐπὶ δὲ τῶν χειρῶν τὸ “ἐπηρούμην”, ὅπερ ἐπὶ ὀφθαλμῶν ὤφειλε λέγεσθαι.
book 24b alpha,c2	τὸ “ἐξεκόπην” κυρίως ἐπὶ χειρὸς ἢ καὶ ἐπὶ ποδὸς εἴη ἂν ἁρμόδιον λε‐ χθῆναι, ἐπὶ δὲ τῶν ὀφθαλμῶν “πή‐ ρωσιν”. ταῦτα δὲ οἱ Ἀττικοὶ ἐναντία φασί· τὴν μὲν γὰρ πήρωσιν ἐπὶ στερή‐ σεως χειρῶν τε καὶ ποδῶν λέγουσι, τὴν δὲ ἐκκοπὴν ἐπὶ τῶν ὀφθαλμῶν.
book 24b beta	“ἀνεκόπην τὸν ὀφθαλμόν”, ὅταν ἀμβλυωπῇ· “ἐξεκόπην” δέ, ὅταν παν‐ τελῶς ἐξέλθῃ ὁ ὀφθαλμὸς τῆς καθέδρας M(mrg.).
book 24c	ἐξεκόπην] ἐξεβλήθην Cant.2Chalc, ἐξέβαλον (Np Ca 2), εἶχον ἐκκε‐ κομμένον PaHo, ἐφθάρην Chalc, ἐστερήθην b.
book 24d	πρότερον] πρὸ τοῦ l δανεισθῆναι Lb δανείσασθαι Va.
book 24e	τὸν ὀφθαλμὸν] τοὺς ὀφθαλμούς Lb, τὸν ἐμόν Vab, τὸν ἕνα Chalc.
book 24f	λίθῳ] ἐν Cr, διὰ τοῦ Chalc λίθου Cant.2lChalcb· ὀργανικῶς b.
book 25a	Φίλων] ὄνομα κύριον Chis, ὦ CrCant.2(M) (= Tz1 25b), ὦ σὺ [οὗτος Va] ἀπὸ τῶν (sc. φίλων) lChalc, ὦ οὗτος ὁ ὢν ἐκ τῶν φίλων b ἢ Φίλων ὄνομα κύριον Harl.5 (ἢ κτλ. mrg.m2).
book 25b	ἀδικεῖς] ἐμέ CrCant.2lb.
book 25c alpha	ἔλαυνε] διέρχου ἢ τρέχε Cr, τὸν ἵππον Cant.2, δίωκε lb, πάγενε (Cang) (cf. Ducang.).
book 25c beta	ἔλαυνε ... δρόμον] ἐπ’ εὐθείας ποίει τὸν δρόμον σου (M).
book 25d	ἐλάω, ἐλῶ κοινόν, ἐλαύω ἰωνικόν, ἐλαύνω ἀττικόν. ἴσθι δέ, ὅτι τὸ ἐλαύνω ἐπὶ τεσσάρων τινῶν λαμβάνεται, ἤγουν ἐλαύνω ἐπὶ τῆς μίξεως τῶν ἀλόγων ζῴων, ὡσαύτως καὶ ἐπὶ δρόμου ἵππων καὶ ἐπὶ τοίχων καὶ ἐπὶ σιδή‐ ρου Cr(mrg.).
book 25e	τὸν] πρός Cant.2.
book 26a	τοῦτ’ κτλ.] τὸ λαλεῖν σε ἐν ὕπνῳ τὸ “Φίλων ἀδικεῖς” Cr, τοῦτο ἐστὶ τὸ κακόν, ὅτι ἀεὶ φαντάζεται τὴν ἱππικήν b, τὸ τοὺς ἵππους φαντάζεσθαι (M).
book 26b	ἀπολώλεκεν: τὸ θέμα ὀλέω, ὀλῶ, ὁ παρατατικὸς ὤλεκα καὶ ἀττι‐ κῶς ὀλώλεκα, καὶ μετὰ τῆς ἀπό προθέσεως ἀπολώλεκα Cant.2(mrg.).
book 26c	ἀπολώλεκεν] ἔφθειρεν CrlChalcb(M), διέφθειρεν Cant.2.
book 27a	ὀνειροπολεῖ] διὰ ὀνείρων ἔρχεται Cr, ἐν ὀνείροις lChalc(M) [ὕπνοις b] φαντάζεται Cant.2lChalcb(M).
book 27b	τοῦτο δηλοῖ τὸ “καθεύδων”, ὅτι οὐ μόνον, ὅτ’ ἐστὶν ἔξυπνος, ἔχεται τῆς ἱππικῆς, ἀλλὰ καὶ καθεύδων φανταζόμενος ἐν τῷ ὕπνῳ φησὶ τοῦτο. εἶτα ἐπιστρέφεται καὶ ὁρᾷ πρὸς τὸ γραμματεῖον Cr(mrg.).
book 27c	ἱππικήν] τὴν ὁδὸν τῶν ἵππων Cr, τὴν καβάλλαν Chalc.
book 27d	ἱππικὸς ὁ δύναμιν ἔχων χρῆσθαι τοῖς ἵπποις καὶ τεχνικὸς ὁ δύναμιν ἔχων χρῆσθαι τέχνῃ τινί· ἱππικὴ δὲ ἡ ἐπιστήμη καὶ ἕξις ἡ ἐνοῦσα τῇ ψυχῇ. ἐνταῦθα δὲ “ἱππικὴν ὀνειροπολεῖ” ἀντὶ τοῦ ἱππάζειν M(mrg.).
book 28a	ἐλᾷ] ἐλαύνει Cr(m2) Cant.2lChalc, περιέρχεται εἰς τὸν ἀγῶνα ἐλαυνό‐ μενος (M).
book 28b alpha	τὰ ἁμιλλητήρια ἅρματα ὤφειλεν εἰπεῖν· ὁ δὲ ὑπὸ τοῦ ὕπνου ὥσπερ τοῦ ὀρθοῦ ἐκπίπτων τὰ πολεμιστήριά φησι. πολεμιστήρια μὲν γὰρ ἅρματα λέγονται τὰ τοῖς πολέμοις ἁρμόδια, ἁμιλλητήρια δὲ τὰ ἐν ταῖς ἁμίλλαις συνερ‐ γοῦντα, ἀγωνιστήρια δὲ τὰ ἐν τοῖς ἀγῶσι ChisPar.
book 28b beta	πολεμιστήρια p.i.m.] τὰ ἁμιλλητήρια ὤφειλεν εἰπεῖν, καὶ εἶπε τὰ πολεμι‐ στήρια, παραφορούσης τῆς γλώττης τοῦ ὑπνώττοντος Cr (cf. Th2Tr1 28a).
