Fragments on Cooking
Ἀποσπάσματα περὶ Ὀψοποιίας
by Anaxippus the Comic Poet
eul_wid: hvw-aa    eul_aid: hvw
book 1.13	τραπέζης καὶ σίαλον ἀπήγαγον, τῶν τ’ ἐσθιόντων ἀνεκάθηραν
book 1.14	τοὺς πόρους. ὁ μὲν οὖν Ῥόδιος
book 1.15	πιών
book 1.16	τιν’ ἅλμην ἀπέθανεν· παρὰ τὴν φύσιν γὰρ τὸ ποτὸν ἦν· μάλ’ εἰκότως. ὁ Σόφων δὲ πᾶσαν τὴν Ἰωνίαν ἔχει,
book 1.1	[ln_20][spk_β]ἐμὸς γενόμενος, ὦ πάτερ, διδάσκαλος. καὐτὸς
book 1.2	φιλοσοφῶ καταλιπεῖν
book 1.3	συγγράμματα
book 1.4	σπεύδων ἐμαυτοῦ καινὰ τῆς τέχνης. Β. παπαῖ, ἐμὲ κατακόψεις, οὐχ ὃ θύειν μέλλομεν. Α. τὸν ὄρθρον ἐν
book 1.5	ταῖς
book 1.6	χερσί μ’ ὄψει βυβλία[ln_25]ἔχοντα καὶ ζητοῦντα τὰ κατὰ τὴν τέχνην. οὐδὲν Διοδώρου διαφέρω τἀσπενδίου. γεύσω δ’, ἐὰν βούλῃ, σὲ τῶν εὑρημένων. οὐ ταὐτὰ προσάγω πᾶσιν ἀεί· βρώματα
book 1.7	τεταγμέν’ εὐθύς ἐστί μοι
book 1.8	πρὸς τὸν βίον·
book 1.1	[ln_30]ἕτερ’ ἐστὶ τοῖς ἐρῶσι καὶ τοῖς
book 1.2	φιλοσόφοις καὶ τοῖς
book 1.3	τελώναις. μειράκιον ἐρωμένην ἔχον
book 1.4	πατρῴαν οὐσίαν κατεσθίει· τούτῳ παρέθηκα
book 1.5	σηπίας καὶ τευθίδας καὶ τῶν
book 1.6	πετραίων ἰχθύων τῶν
book 1.7	ποικίλων,[ln_35]ἐμβαμματίοις γλαφυροῖσι κεχορηγημένα· ὁ γὰρ
book 1.8	τοιοῦτός ἐστιν οὐ δειπνητικός, πρὸς τῷ φιλεῖν δὲ τὴν διάνοιάν ἐστ’ ἔχων. τῷ φιλοσόφῳ παρέθηκα κωλῆν ἢ πόδας· ἀδηφάγον τὸ ζῷον εἰς ὑπερβολὴν[ln_40]ἔστιν. τελώνῃ γλαῦκον, ἔγχελυν, σπάρον· ὅταν ἐγγὺς ᾖ τῳ δ’ ἡ σορός, ἀρτύω
book 1.9	φακῆν καὶ τὸ περίδειπνον
book 1.10	τοῦ βίου λαμπρὸν
book 1.11	ποιῶ. τὰ τῶν γερόντων
book 1.12	στόματα διαφορὰν ἔχει, νωθρότερα
book 1.13	πολλῷ δ’ ἐστὶν ἢ τὰ τῶν νέων.
book 1.1	[ln_45]σίναπι
book 1.2	παρατίθημι
book 1.3	τούτοις, καὶ ποιῶ χυλοὺς ἐχομένους δριμύτητος, τὴν φύσιν ἵνα διεγείρας
book 1.4	πνευματῶ τὸν ἀέρα. ἰδὼν τὸ πρόσωπον γνώσομ’ οὗ ζητεῖ φαγεῖν ἕκαστος ὑμῶν.
book 2.1	ἐάν με κινῇς καὶ ποιήσῃς τὴν
book 2.2	χολὴν ἅπασαν ὥσπερ καλλιωνύμου ζέσαι, ὄψει διαφέροντ’ οὐδὲ ἓν ξιφίου κυνός.
book 3.1	[spk_β]ὁρῶ γὰρ ἐκ
book 3.2	παλαίστρας τῶν φίλων
book 3.3	προσιόντα μοι Δάμιππον. Β. ἦ τοῦτον λέγεις, τὸν πέτρινον; τοῦτον οἱ φίλοι καλοῦσί σοι νυνὶ δι’ ἀνδρείαν Κεραυνόν. Α. εἰκότως.[ln_5]ἀβάτους
book 3.4	ποιεῖν γὰρ τὰς
book 3.5	τραπέζας οἴομαι αὐτόν, κατασκήπτοντά γ’ αὐταῖς τῇ γνάθῳ.
book 4.1	οἴμοι, φιλοσοφεῖς. ἀλλὰ τούς γε
book 4.2	φιλοσόφους ἐν
book 4.3	τοῖς λόγοις
book 4.4	φρονοῦντας εὑρίσκω μόνον, ἐν
book 4.5	τοῖσι δ’ ἔργοις ὄντας ἀνοήτους ὁρῶ.
book 5	ἀποτετύχηται
book 6.1	ζωμήρυσιν φέροις· ὀβελίσκους δώδεκα· κρεάγραν· θυΐαν· τυρόκνηστιν
book 6.2	παιδικήν· στελεόν· σκαφίδας
book 6.3	τρεῖς· δορίδα· κοπίδας τέτταρας· οὐ μὴ πρότερον οἴσεις, θεοῖσιν ἐχθρὲ σύ,[ln_5]τὸ λεβήτιον· τἀκ
book 6.4	τοῦ νίτρου· πάλιν ὑστερεῖς; καὶ τὴν κύβηλιν τὴν ἀγωνιστηρίαν.
book 7.1	μυιοσόβην λαβὼν
book 7.2	παράστηθ’ ἐνθάδε.
book 8	σὺ δὲ τὴν μέλην, Συρίσκε, ταυτηνὶ λαβὼν ἔνεγκον ἐπὶ τὸ μνῆμ’ ἐκείνῃ, μανθάνεις; καὶ κατάχεον.

—
Canonical:  https://eulogikon.org/works/anaxippus-cooking-fragments-hvw-aa
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: hvw-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
