Fragments on the Palici and Thebes
Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν
by Aeschylus the Tragedian
eul_wid: emo-ah    eul_aid: emo

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The Fragments on the Palici and Thebes is a modern scholarly designation for a collection of 1240 fragmentary passages attributed to the lost plays of Aeschylus. These fragments, drawn from approximately eighty lost tragedies in addition to his seven surviving works, are compiled in modern critical editions such as Stefan Radt’s Tragicorum Graecorum Fragmenta. The title references two distinct mythological cycles treated by Aeschylus: the Sicilian chthonic deities known as the Palici, and the stories of the Theban cycle. The fragments are preserved indirectly through quotations by later Greek authors such as Strabo and Athenaeus, through papyrus discoveries, and via ancient plot summaries.

Collectively, these fragments illustrate the vast thematic and geographical scope of Aeschylean drama. Inferred subjects from play titles and the fragmentary content include divine justice and retribution, the nature of chthonic powers and associated cult practices, foundational city myths and civic strife as seen in Theban narratives, and profound familial conflicts. The material is particularly significant for demonstrating the interplay between Athenian tragedy and the wider Greek world, especially in its engagement with Sicilian religious cult. These remnants are crucial for understanding the breadth of classical Athenian tragedy, the development and treatment of major mythological cycles, and the extensive influence of Aeschylus on subsequent literature.

Text
----

book 1*.1	τὸν μὲν
book 25e.1	[]αυτα μωρο̣[ [ ]τιν η θυέλ[λα [ ]υ̣ παύρ̣ουσ[ []ν μὲν ἴσθι σ[[ln_5][].νδετ’ ἐστι.[.]ς̣.ς ὀμμ[α ἀ]μβλυώσ〈σ〉ων οὐδὲ μαψαυ̣[ []σα δεῖμα καὶ περισπερ̣.[ [ ].ς ἄγραυλός τ’ εἰμὶ κἀπιχ[ωρι [ θ]αμίζων̣ τῇδε
book 25e.2	Χαλκίδ.[[ln_10]Μεσσ]απίου τ’ ἄφυλ̣λον ὑψηλο[ [ ]ν̣απι̣...β̣ο.σιφορ[ [ ]εν κατεῖ̣δ̣ον θαῦμ̣α.[ Εὐβο⸥ΐδα κ̣αμπὴν ἀ̣μ̣φὶ Κηνα̣⸤ίου Διὸς ἀκτὴ⸥ν κα̣τ’ αὐτ̣ὸν τύ̣μβον ἀθ⸤λίου Λίχα[ln_15][ ]ντ’ απερ τέθριππον̣ [[ln_15]...
book 26*.1	ἀνθρωποειδὲς θηρίον ὕδατι
book 26*.2	συζῶν (?) (de Glauco e mari emergente)
book 27*.1	δαῦλος δ’ ὑπήνη καὶ γενειάδος
book 27*.2	πυθμήν (i.e. barba Glauci Anthedonii)
book 28.1	ὁ τὴν ἀείζων ἄφθιτον πόαν
book 28.2	φαγών
book 29*	καὶ γεύομαί πως τῆς ἀειζώου πόας
book 31.1	κἄπειτ’ Ἀθήνας Διάδας
book 31.2	παρεκπερῶν
book 34	κόγχοι, μύες κὤστρεια
book 36.1	× ]ης ελων ἵπποισ̣[ι]ν..[ × ]ω̣ γένοιτο καισεπευ..[.].[ × –]ξιας ἕκατι
book 36.2	πρωτο...[.].[ × ]εν κελεύθῳ ξυμβολ̣ο̣[[ln_5]εὐο̣δίαν̣ μὲν .... πρ̣⸤ῶτο⸥ν ἀ̣π̣ὸ στόματ̣⸤ος χέομεν ]ρονω[[ln_7]...
book 36a**.1	] δνόφος
book 36a**.2	πο̣[ ]γ̣εινουσιναια̣[ ]ς̣ ἄτερθενω[ ]νευμασειπ.[[ln_5]]...η̣σ̣α̣ς̣..[[ln_5]...
book 36b**,1	ἔδοξε γαρ [ ἔχων σ̣τεφ̣[ ἱπ̣π̣.υς κυν̣[ κ[...]..τ̣.[[ln_5]....]γγικα[ το̣[.]α̣νδιπ[ [ ]οι[[ln_7]...
book 36b**,2,col1	...[ln_1][]ν [] []ν [][ln_5][] [] [] [] []ν μελάθρων[ln_10][ ]φάσματα [ ] κατὰ νοῦν [ ]. []ξ̣όμενοι []μ̣εθ’ ἡμεῖ[ς[ln_14]...
book 36b**,2,col2.1	...[ln_1][ ].[ οδ[.]ξ[ τελο̣[ ἑλκε.[[ln_5]..οιθ[ κἀγω π̣[ και
book 36b**,2,col2.2	τις μαγ.[ παίειν κατ̣[ γύναι
book 36b**,2,col2.3	τιτη[[ln_10]Γλαῦκον σ̣[ καμπαισ[ καὶ λοισθι̣[ νίκης ἀρεσ[ .[.]δ’ ἀνδρος [[ln_15][ ]ν̣.[.]αγων[ [ ]..[[ln_16]...
book 36b**,3.1	...[ln_1]× – ]νον ὄντα ..[ × – ].τι γὰρ τὸ λοι.[ [ ].ν ὀδὰξ δ̣α̣.[ [ ].ς
book 36b**,3.2	χαλινο.[[ln_5]× ]ει· φέρει δ̣ε[ [ ].αρ̣.ο̣ πλ̣ήξας .[ × ]μησε
book 36b**,3.3	προ[σ]δ̣εδορκ.[ × – ] ἀγῶνος δ.λον[.]ς̣.[ × – ]ακεῖσθα[ι] κ([.]).ρ̣ος ε̣ι̣πο̣[[ln_10]× – ].φρόνως ἐκρινε̣τ̣[ [ ].ε̣.ω θ̣υτ̣[ῆ]ρι
book 36b**,3.4	συνπ[.]ο[ × πρ]οστ̣ατη̣ρ[ίο]ισιν ω[.]νο̣[ [ ]φ[..].νη[ [ ]ο̣υ.υ[[ln_15][ ]ν.[ [ ].[[ln_16]...
book 36b**,4	...[ln_1][ ].ισέβη []α̣θοις λ̣α̣[ [].ηλάτ̣η̣ν [ ]ειν[[ln_4]...
book 36b**,5	[ε]ὐκλειαστ[ [].ει βίῳ [ ]ξένοις [ ]σε̣ι̣εται[ln_5][ ].[[ln_5]...
book 36b**,6	...[ln_1]οπ̣[ θε[ οι[ .[[ln_4]...
book 36b**,7.1	ἀλλ’ οὔτις ἐν̣ [χέ]ρσοισι κω.[ ἀλλ’ ἐν θαλά[σ]σῃ δεινὸς α.[ οἷον τὸ χρῆμα
book 36b**,7.2	τοῦτ’ ἐ[..]..[ ὅπως ορειο.των.θα[[ln_5]πόθεν γὰρ [ φυσαι γὰρ εικ[ κἀμοιγεν̣αν[ ..]δ̣ρους γ̣’ ἰχν[ ...]ουρε[.]..[[ln_9]...
book 36b**,8	...[ln_1][ ].ιν[ [ ].ει̣.[ ε̣ἰ̣ δ’ ἐσθλὸν ω[ τ]έλειον α[[ln_5]..μητανα[ ξυνμαρτυ[ ἔστιν γὰρ ημ[ ἀ̣λ̣λ̣[..]..καιλ̣[ [ ].δε.[[ln_10][ ] [ .[.].[ ν.[ πλε̣[ ουρα[[ln_15]ναίεις εν̣[.]..[ πιθανὰς δ.[ Ζηνὸς ἄγγελε̣[
book 36b**,9.1	...[ln_1][ ]ων[ [ ]ξετ̣[ [ ].υ.[ [ ].ρ[ ]...[[ln_5][ ].δε[......]ωχ[ []α
book 36b**,9.2	ποντίας ἁλὸς [
book 37	ἀγὼν γὰρ ἄνδρας οὐ μένει λελειμμένους
book 38	ἐφ’ ἅρματος γὰρ ἅρμα καὶ νεκρῷ νεκρός, ἵπποι δ’ ἐφ’ ἵπποις ἦσαν ἐμπεφυρμένοι
book 39*	εἷλκον 〈δ’〉 ἄνω λυκηδόν, ὥστε διπλόοι λύκοι νεβρὸν φέρουσιν ἀμφὶ μασχάλαις
book 40	εὐφήμοις γόοις
book 40a	†ξιφίρου† λιμήν
book 41	ἀμφίσωπον
book 41a	δαυνὸς δὲ [
book 42	ἴτηλον
book 42a	χαμαιπετῶς
book 43.1	κἄπειτα δ’ εὖτε λαμπρὸν ἡλίου φάος ἕως ἐγείρῃ, πρευμενεῖς
book 43.2	τοὺς νυμφίους νόμοισι θέντων σὺν κόροις
book 43.3	τε καὶ κόραις
book 44.1	[spk_αφροδιτη]ΑΦΡΟΔΙΤΗ· ἐρᾷ μὲν ἁγνὸς οὐρανὸς
book 44.2	τρῶσαι
book 44.3	χθόνα, ἔρως δὲ γαῖαν λαμβάνει γάμου
book 44.4	τυχεῖν· ὄμβρος δ’ ἀπ’ εὐνάεντος οὐρανοῦ πεσὼν ἔκυσε γαῖαν· ἡ δὲ τίκτεται βροτοῖς[ln_5]μήλων
book 44.5	τε βοσκὰς καὶ βίον Δημήτριον δένδρων τ’ ὀπώραν· ἐκ νοτίζοντος γάμου
book 44.6	τελεῖθ’ ὅς’ ἔστι· τῶν δ’ ἐγὼ παραίτιος
book 45	καθαίρομαι γῆρας
book 46a**	...
book 46a**.1	[ln_1][spk_α]Α. ⸏ξυνῆκ̣[ας ; Β. ⸏ξυνῆκα...[ Α. ⸏τί σοι
book 46a**.2	φυλάσσω [ ; Β. ⸏εἴ που θαλ̣άσσης [[ln_5]Α. ⸏ἄσημα· λεῖος πόν[τος Β. ⸏δέρκου νυν ἐς κευ[θμῶνα Α. καὶ δὴ δέδορκα τῳδε.[ ἔ̣α·[ln_8]τί φῶ τόδ’ εἶναι̣; πότερα .[ φ̣ά̣λαιναν ἢ ζύγαιναν ἢ κ.[[ln_10]ἄ̣ν̣α̣ξ̣ Πόσειδον Ζεῦ τ’ ἐνά[λιε [δ]ῶ̣ρον θαλάσσης
book 46a**.3	πεμπετ[ ..σοι θαλάσσης δίκτυον δ[ [π]εφυκ̣ί̣[ω]τ̣αι δ’ ὥ̣σ̣τε μ̣’ ἀ̣γ̣νο.[ [ ]εναι̣μονη......ε̣ν̣[[ln_15][ ].ε̣.ων νησαιος...[ [ ] ἐστι
book 46a**.4	τοὖργον οὐ χωρ|εῖ πρόσω [ β]οὴν ἵστημι
book 46a**.5	τοῖσδ’ ἰύγ|μασιν [ ]π̣άντες γεωργοὶ δεῦτε | κ̣ἀμπελοσκάφοι [ ]ε
book 46a**.6	ποιμήν τ’ εἴ τίς ἐστ|[’ ἐ]γχώριος[ln_20][ ]ο̣ι
book 46a**.7	τε κα̣ὶ̣ μ̣α̣|[ρ]{ε̣}[ιλ]ε̣υτῶν ἔθνο̣ς̣ [|] ἐνα̣ντιωτάτης
book 46b**.1	...[ln_1]]δ’ ἄλγος ε[ ]ν Δίκτυνο̣[ ]α̣ντεσωλ[ []πολεμιο̣[[ln_5][]ν̣ομμα.[ []και
book 46b**.2	ποταιν̣[ [ ]υ καλωσ[ [ ].ανυπ̣.[ πρ]έσβυς.[[ln_10][ ]σιν εμπ[ [ ]ς δαπα.[ [ ].[[ln_12]...
book 46c**	...[ln_1][ ]α[ [ ]ξ[ [ ]ησ[....]μι̣[..].ο.[ [ ].σδ[.] χώρας π̣οντ̣[ίας[ln_5]π]άντες τ’ ἀγρῶσται κα[ὶ ⏑ – × – ⏑ – βοηδρομεῖτε κ[.]ν[ σ]ε[ι]ρ̣ᾶς δὲ μὴ με̣θ̣ῆ[σθε [ ]....γα[[ln_8]...
book 47	δικτύου δ’ εὐήτρια
book 47a.1	[spk_〈σι.〉]〈ΣΙ.〉 ]..[.].αν καὶ θεοὺς μαρτύρομαι [ ].π̣α̣ντὶ κηρύσσω
book 47a.2	στρατῷ [ ]π̣αντά̣πασ̣ι̣ ...φθαρης [ ].ο̣υ̣σα
book 47a.3	πρόξενόν θ’ ἅμ̣α [ ]..ου με καὶ προπράκτορα[ln_770][ ].ε μαῖαν ὡς γερασμίαν [ ]..ηπίοις
book 47a.4	προσφθέγμασιν
book 47a.1	[spk_〈δα.〉][ ]...[.].[..]ς̣ ἐ̣ν̣ χρόνῳ μενει 〈ΔΑ.〉 ]... κ̣α̣ὶ̣ γενέθλιοι θεοί̣ [ ]..α̣ς τά̣σδε μοι πόνων
book 47a.2	τιθεις[ln_775][ ]ο̣ι̣σ̣δε̣ κνωδ̣άλοις με δώσετε [ ]...γ̣οισι λυμανθήσομαι αἰχ]μά̣λ̣ωτος ο̣.σ̣α̣.ω κακά [ ].αιγο̣υ̣ν̣ ἀ̣γχόνην ἄρ’ ἅψομαι [ ]ας
book 47a.3	τεμ̣ο̣ῦ̣σα κωλυτήριον[ln_780][ ]ω̣ς μὴ ποντίσῃ τις αὖ πάλιν̣ []τ̣ης ἢ πα̣τήρ̣· δέδοικα γὰρ []π̣εμπ’ ἀρωγόν, εἰ δοκεῖ, τιν̣α̣ []εῖχες αἰτίας τῆς μείζονος [ ]ν δὲ πᾶσαν ἐξέτεις’ ἐγὼ[ln_785][] εὖ ς’ ἔλεξα. πά̣ντ̣’ ἔχει[ς] λόγον.
book 47a.1	[spk_〈σι.〉]〈ΣΙ.〉 ]. γελ̣ᾷ μου̣ π̣ρ̣οσορῶν [ ].. ὁ μικκὸς λιπαρὸν μ]ι̣λτ̣[ό]πρεπ̣τ̣ο̣ν
book 47a.2	φαλακ̣ρὸν []ειε[.]παπας
book 47a.3	τις ἀρεσ‐[ln_790][]ω̣σ̣[.].ποικιλονω– [ ]. [ ]...λ̣αισμοι[ln_794][ ]..ιδερκη[ln_795][ ]π̣οσθοφιλὴς ὁ νεοσσὸς [ ]ε̣.κόμενος []σιον []υται εἰ μή σε
book 47a.4	χαίρω .[
book 47a.1	[spk_στρ]ὄλοιτο Δ̣ίκτυς κρ̣[ τῆσδέ μ’ ἄγρας μ̣[ ὦ φίντων, ἴθι δε[ῦρο
book 47a.2	στρ.[ln_804]θάρσει δή· τί κινύρη̣[〈ι〉;[ln_805]δε̣ῦρ’ ἐς
book 47a.3	παῖδας ἴωμεν
book 47a.4	ως.[ ἵ̣ξῃ παιδοτρόφους ἐμά[ς, ὦ φίλος, χέρας εὐμενής, τέρψῃ δ’ ἴκτ̣ισι κα[ὶ] ν̣ε̣βρο̣[ῖς ὑστρίχων τ’ ὀβρί̣χοι̣σ̣[ι]
book 47a.1	[ln_810][spk_ἀντ]κοιμήσῃ δ̣ὲ τρίτ̣ος ξὺν ⸏μητρὶ [καὶ π]ατρὶ τῷδε. ὁ πάπα[ς δ]ὲ παρέξει ἀντ. τῷ μικκῶ[ι] τ̣ὰ γελ[οῖ]α̣ καὶ τροφὰς ἀνόσ̣ους, ὅπως̣ π[[ln_815]ἀλδων αὐτὸς ε....[.]...[ χαλᾷ νεβˈροφον.[.]π̣οδ[ μάρπ̣των θῆρας ἄν̣ευ δ[ θῶσθαι μητρὶ παρέξεις̣ κ]η̣δεστ̣ῶν
book 47a.2	τρόπον οἷσιν[ln_820][.]ν̣τροπος
book 47a.3	πελατεύσεις. ἀλλ’] εἷα, φίλοι, σ̣τ̣είχωμεν ὅπ̣ω̣ς γ]ά̣μον ὁρμαίνωμεν, ἐπεὶ τέ̣λεος κ̣α̣ιρὸς ἄναυδος τάδ’ ἐπαινεῖ. καὶ τήνδ̣’ [ἐ]σορῶ νύμφην ἤ̣[δ]η̣[ln_825]πάνυ βουλομένην τῆς̣ ἡμετέρας̣ ⸏φιλότητος ἅδ̣η̣ν κορέσασθαι. καὶ θαῦμ’ οὐδ̣έν· πολὺς ἦν α̣ὐτῇ χρόνος ὃν χήρα κατὰ ναῦν ὕφαλος τ̣είρετο· νῦν δ’ οὖν
book 47a	[ln_830]ἐ]σ̣ο̣ρ̣ῶς’ ἥβην τὴν ἡμετέραν ...]ει γάνυται νυμφ[ί]ο̣ν [ο]ἷον ...]σ̣ιν λαμπρ̣αῖς τῆς Ἀ[φ]ροδίτης
book 47b**	...[ln_1][] Σ̣έρ̣ιφον̣ [ [ ]β[.]ητ..[ [ ]ο̣ς δε̣δορ̣κ..[ [ ]παιδα κα̣ὶ γέρ̣[οντ[ln_5][ ]φου.[.].[.].[ [ ]ευς.[ [ ]τη.[ [ ].[.]ο̣[ [ ]τ̣ο[[ln_9]...
book 47c**	...[ln_1][ ]οσπαρ[ [ ]..δεχρωμ[ []α̣των οὐ ξ̣υ̣ν̣[ []ν̣ε̣σ̣τηδη[[ln_5][]..[...]ν[ []..[[ln_6]...
book 53a*.1	(ἐπὶ τῶν
book 53a*.2	πρὸ τῆς Καδμείας νεκρῶν τῶν
book 53a*.3	πρὸς τὴν
book 53a*.4	ταφὴν ἑτοίμως ἐχόντων) [para]ὤργα τὸ πρᾶγμα· διεμύδαιν’ ἤδη νέκυς
book 54	ἀοζήσω
book 55.1	λοιβὰς Διὸς μὲν
book 55.2	πρῶτον ὡραίου γάμου Ἥρας
book 55.3	τε[ln_2]*** τὴν δευτέραν γε κρᾶσιν ἥρωσιν νέμω[ln_3]*** τρίτον Διὸς
book 55.4	σωτῆρος εὐκταίαν λίβα
book 56	τιμαλφής (ἐπὶ τοῦ ἐντίμου)
book 57.1	σεμνᾶς Κοτυτοῦς ὄργι’ ἔχοντες[ln_1]*** ὁ μὲν ἐν
book 57.2	χερσὶν βόμβυκας ἔχων, τόρνου κάματον, δακτυλόδικτον πίμπλησι μέλος,[ln_5]μανίας ἐπαγωγὸν ὁμοκλάν, ὁ δὲ χαλκοδέτοις κοτύλαις ὀτοβεῖ[ln_6]*** ψαλμὸς δ’ ἀλαλάζει· ταυρόφθογγοι δ’ ὑπομυκῶνταί ποθεν ἐξ ἀφανοῦς
book 57.3	φοβεροὶ μῖμοι,[ln_10]τυπάνου δ’ εἰκών, ὥσθ’ ὑπογαίου βροντῆς, φέρεται βαρυταρβής
book 58*.1	ἐνθουσιᾷ δὴ δῶμα, βακχεύει
book 58*.2	στέγη
book 59.1	ὅστις
book 59.2	χιτῶνας βασσάρας
book 59.3	τε Λυδίας ἔχει
book 59.4	ποδήρεις
book 60.1	τίς
book 60.2	ποτ’ ἔσθ’ ὁ μουσόμαντις †ἄλλος ἀβρατοῦς ὃν
book 60.3	σθένει†
book 61.1	[spk_λυκ]ΛΥΚ. (ad Bacchum captivum)· ποδαπὸς ὁ γύννις; τίς πάτρα; τίς ἡ στολή; τίς ἡ τάραξις
book 61.2	τοῦ βίου; τί βάρβιτος λαλεῖ κροκωτῷ; τί δὲ δορὰ κεκρυφάλῳ; τί λήκυθος καὶ στρόφιον; ὡς οὐ ξύμφορον.[ln_140]τίς δαὶ κατόπτρου καὶ ξίφους κοινωνία; σύ τ’ αὐτός, ὦ παῖ, πότερον ὡς ἀνὴρ
book 61.3	τρέφῃ; καὶ ποῦ πέος; ποῦ χλαῖνα; ποῦ Λακωνικαί; ἀλλ’ ὡς γυνὴ δῆτ’; εἶτα
book 61.4	ποῦ τὰ τιτθία; τί φῄς; τί σιγᾷς; ἀλλὰ δῆτ’ ἐκ
book 61.5	τοῦ μέλους[ln_145]ζητῶ ς’, ἐπειδή γ’ αὐτὸς οὐ βούλει
book 61.6	φράσαι;
book 61a**	τί δ’ ἀσπίδι ξύνθημα καὶ καρχησίῳ;
book 62.1	μακροσκελὴς μέν· ἆρα μὴ χλούνης
book 62.2	τις ἦν;
book 63	ἄδασμος
book 64	αἰγίδες (i.e. νεβρίδες)
book 65	ἀμφίδρομος
book 66	ἄσσιστα
book 67	ἴκταρ
book 68	Ῥῖπαι μὲν δὴ πατρὸς Ἠελίου
book 69.1	ἔνθ’ ἐπὶ δυσμαῖς †ισου† πατρὸς Ἡφαιστοτευχὲς δέπας, ἐν τῷ διαβάλλει
book 69.2	πολὺν οἰδματόεντα[ln_5]†φέρει δρόμου πόρον οὐθεις† μελανίππου
book 69.3	προφυγὼν ἱερᾶς νυκτὸς ἀμολγόν
book 70.1	Ζεύς ἐστιν αἰθήρ, Ζεὺς δὲ γῆ, Ζεὺς δ’ οὐρανός, Ζεύς
book 70.2	τοι τὰ πάντα χὤ τι τῶνδ’ ὑπέρτερον
book 71.1	Ἀδριαναί τε γυναῖκες
book 71.2	τρόπον ἕξουσι γόων
book 72.1	†ὅρα
book 72.2	σε† κρήνης ἀφθονεστέρα λιβάς
book 73b**.1	...[ln_1][ ]..[ ]ν και̣[ [ ]ν γὰρ αὐ̣τ̣ό̣τευκ[τ..]ηνεν[ [ ]σεν ὑψηλοῖσι θα[..]ο̣υχοι[ × – ].δε
book 73b**.2	παῖδες οἵδε .⸤ἀ⸥μφιμή⸤τορεσ⸥[ln_5][ ]ν ἄρδην καυσίμοις ἐνδ[ [ ]τ̣α καὶ λοπῶντα̣ φαρμάκου [
book 74.1	ἐκεῖθεν ὄρμενος ὀρθόκερως βοῦς ἤλασεν ἀπ’ ἐσχάτων γαίας Ὠκεανὸν
book 74.2	περάσας ἐν δέπαϊ χρυσηλάτῳ[ln_5]βοτῆράς τ’ ἀδίκους κτείνας δεσπόταν
book 74.3	τε †τριύτατον† τρία δόρη πάλλοντα
book 74.4	χεροῖν· τρία δ’ ἴτης σάκη
book 74.5	προτείνων, τρεῖς δ’ ἐπισσείων λόφους[ln_10]ἔστειχ’ ἶξος Ἄρει βίαν
book 75.1	οὐ γάρ
book 75.2	τι μεῖζον ἄλλο
book 75.3	τοῦδε
book 75.4	πείσομαι
book 75a.1	κἀξῃονήθην κοὐδὲν ἦν
book 75a.2	προσωτέρω
book 77	ἐπιγλωσσῶ
book 78.1	[ln_1]ἀλλ’ ὁ μέν
book 78.2	τις Λέσβιον
book 78.3	φατνώματι κῦμ’ ἐν
book 78.4	τριγώνοις ἐκπεραινέτω ῥυθμοῖς
book 78a**,col1.1	ὁρῶντες εἰκοὺ[ς] οὐ κατ’ ἀνθρώπουσ[ ⸏ὅπῃ δ’ ἂν ἔ̣[ρ]δῃς, πάντα
book 78a**,col1.2	σοι τάδ’ εὐσεβ̣ῆ. ἦ κάρτ’ ὀφείλω τῶνδέ σοι· πρόφρων γ̣ὰρ εἶ. ἄκουε δὴ πᾶς σῖγα δ̣ειθ̣ε̣λ̣ειδ̣.[.].[ln_5]ἄθ̣ρ̣η̣σ̣ον εἰ̣.[..]..[ ] εἴδωλον ε̣ἶναι̣ τ̣ο̣ῦτ’ ἐμῇ μορφῇ πλέον τὸ Δαι̣δ̣ά̣λου μ[ί]μ̣ημα· φω̣ν̣ῆς δεῖ μόνον. ταδ[..].ει̣.. ορα.[.].(.)ρ.[ ][ln_10]⸏χωρει μάλα εὐκταῖα κόσμον
book 78a**,col1.3	ταῦ̣τ̣[α] τῷ θεῷ φέρω 〈⸏〉καλλίγραπ̣τ̣ον εὐχ̣ά̣ν. {⸏}τῇ μητρὶ τἠμῇ πρά̣γμα̣τ’ ἂν
book 78a**,col1.4	παρασχέθοι·
book 78a**,col1.1	ἰδοῦσα γάρ νι̣ν̣ ἂν
book 78a**,col1.2	σαφῶς[ln_15]τρέποι̣τ’ ἂν †ἀξ̣ιάζοιτό† θ’ ὡς δ̣οκοῦς’ ἔμ’ εἶναι, τὸν ἐξ‐ έθρ̣εψε̣ν̣· οὕτως ἐμφερὴς ὅδ’ ἐστίν. εἷα δὴ σκοπεῖτε δ̣ῶμα
book 78a**,col1.3	ποντίου
book 78a**,col1.4	σεισίχθο[νος κἀπιπασσάλευ’ ἕ̣κ̣αστος τῆς κ[α]λῆς μορφῆς .[[ln_20]ἄγγελον, κήρυκ’ [ἄ]ν̣αυδον, ἐμπόρων κω̣λύτορ[α, .[.]. ἐπισχήσει κε̣λεύθου
book 78a**,col1.5	τοὺς ξένο[υς] φ.[ ⸏χαῖρ’ ἄναξ, χαῖρ’ ὦ Π̣όσειδον ἐπιτροπ.[..]..[ ἔμελλον εὑρήσειν ἄρ’ ὑμᾶς, ὠγαθο[ί. οὐ τοῦτ’ ἐρῶ ς’· ‘οὐ δῆλος ἦσθ’ ὁδοιπο[ρῶν‘·[ln_25]αὐ[τὴ] κ̣έλευθος τ̣αῦτά μοι
book 78a**,col1.6	προσ̣εν[ ].ρῶντα
book 78a**,col1.7	τούσδε
book 78a**,col1.8	πλησ[ι]οσφ[ ].αυτα καὶ σαφῶς ἡγεῖτό μο̣[ι ].τα.δω[.]μ̣η̣.[.]δωι
