Anonymous Iambic Fragments
Ἀνώνυμα Ἰαμβικὰ Ἀποσπάσματα
by Iambic Work Anonymous
eul_wid: lmm-aa    eul_aid: lmm
book 13	ἵππος ὄνωι· ‘πρὸς κέντρα μὴ λακτιζέτω‘.
book 14	ἀλλ’ ἦ λύκος τὰς αἶγας 〈ἐκ〉καλεῖ μολών.
book 15	ἕλκων ἐφ’ αὑτὸν ὥστε καικίας νέφος
book 16	παχεῖα γαστὴρ λεπτὸν οὐ τίκτει νόον.
book 16a.1	†ἀγνοεῖ† δ’ ἀράχνη
book 16a.2	παῖδας ὡς
book 16a.3	παιδεύεται· θρέψασα γὰρ τέθνηκε
book 16a.4	πρὸς τῶν
book 16a.5	φιλτάτων.
book 16b.1	Μιλησία
book 16b.2	σμάραγδος ἐμπόλημα
book 16b.3	τιμηέστατον
book 18.1	ἐμοῦ θανόντος γαῖα μειχθήτω
book 18.2	πυρί· οὐδὲν μέλει μοι· τἀμὰ γὰρ καλῶς ἔχει.
book 19	μὴ πρὸς λέοντα δορκὰς ἅψωμαι μάχης.
book 20	δίφρου τέτυκται βλῶσις, εὔζυγον τέρας.
book 21	σκληρὰν ἄκαρπον καὶ φυτεύεσθαι κακήν
book 22	πολλὰ δ’ ἐν μεταιχμίωι νότος κυλίνδει κύματ’ εὐρείης ἁλός.
book 23.1	οὐκ ἀξιῶ μικῶν
book 23.2	σε, μεγάλα δ’ οὐκ ἔχω.
book 24	τηλοῦ φίλοι ναίοντες οὔκ εἰσιν φίλοι.
book 25	γηρεὶς ἐν οἰκίοισιν
book 25a	ὑμῖν ἀπόνιμμα 〈τ〉οῖς 〈τε〉 χρὴ καὶ 〈τ〉οῖς θέμις
book 26.1	βαῖνε λάξ, ἐπὶ τραχήλου βαῖνε καὶ πέλα
book 26.2	χθονί.
book 27	〈τὴν〉 ἐπ’ Αἰνύρων ὁδόν
book 28.1	καὶ παχυσκελὴς ἀλετρὶς
book 28.2	πρὸς μύλην κινουμένη
book 29.1	δῆμος ἄστατον κακόν καὶ θαλάσσηι πάνθ’ ὁμοῖον ὑπ’ ἀνέμου ῥιπίζεται, καὶ γαληνὸς ἢν τύχηι
book 29.2	πως, πνεῦμα βραχὺ κορύσσεται, κἤν
book 29.3	τις αἰτία γένηται, τὸν
book 29.4	πολίτην κατέπιεν.
book 29Aa.1	[Σῖμον, ὀρκhε̄στὰν ἄριστον], ναὶ 〈μὰ〉 τὸν Δελπhίνιον, ἐ͂̄ Κρίμο̄ν
book 29Aa.2	τε͂̄δε ὀ͂̄πhε, παῖδα Βαθυκλέος, ἀδελπhεόν.
book 29Ab.1	Κρίμο̄ν
book 29Ab.2	πράτιστος ϙονιάλοισι 〈Σι〉μίαν ἰάνετο.
book 30	ἐρρέτω φίλος σὺν ἐχθρῶι
book 31	δεσπότην κεκαρμένοι
book 32.1	ἀλλ’ ἕπου χώρας
book 32.2	τρόποις
book 33.1	πατρόθεν
book 33.2	πορδηκίδαι

—
Canonical:  https://eulogikon.org/grc/anonymous-iambic-works/fragments
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: lmm-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
