Hymn to Demeter and Persephone
Ἀποσπάσματα
by Philicus of Corcyra
eul_wid: ick-aa    eul_aid: ick
book 680.4	προλαβοῦσα .[ –– [ν]ικηφόρον οἰωνὸν ἔκρινον [ –– [].θι λιτὰς μητρόθεν αὐταδέλφους[ln_25][]ις ὁμόσπλαγχνον ἔθρεψα κύπριν [].ινη γάλα
book 680.5	σοι, μητρὶ δ’ ἐγὼ σύναιμος [μ]εγάλας κοινοπάτωρ λοχεύει [μεγ]άλαυχόν
book 680.6	τε Βίαν ἔτικτεν [] μοιριδία πᾶσις, ἐμοὶ δὲ πείθειν[ln_30][]ου μετέχειν, μηδὲ μόνημ με
book 680.7	τοὐμόν [ ]..εις..ι.ησασα λόγοις, αἱ δὲ θεαὶ σεκ[c. 5] [ [ ]αρεσ[..]..μεθα
book 680.8	τιμὴν μί’ ἐγὼ σὺγ
book 680.9	Χαρ[..]..τ...[ [ ].αισιον, [ἄ]λλας δὲ σὺ τιμὰς ἀνελοῦ πα[ρ’ ἡ]μῶν [ ]α καὶ μ[εί]ζονας ἀντ’ οὐ μεγάλης, ἃς διελοῦσα λέξω
book 680.1	[ln_35][ ]ησοι.[.].ε..τις φίλος, ἀεὶ δὲ πλέον
book 680.2	φιλήσω [ ]νωρα... Ἐλευσῖνάδε μυστηλασίαις ἰάκχων [ ]τε πολλ[ὴ] πολὺν ἐγδεξαμένη τὸμ
book 680.3	παρὰ κῦμα νήστην [ ]μητ. υ..ρους
book 680.4	τροφίμη
book 680.5	σοι λιπανοῦσι κλῶνας [ ].[.]ς δ..[.] κρηναῖον ἑκάστης ἓν ὕδωρ ὁρισθέν[ln_40][ ].πουδ[....]νου
book 680.6	σοῖς
book 680.7	προσανήσεις δακρύοισι
book 680.8	πηγήν []λειται βασ[ί]λεια κρήνη []νδε λόγων
book 680.9	τείσομεν ἔργα κρείσσω [].ελέγξαι
book 680.10	προλαβεῖν ἀπ[ί]στους []ν ἱκτῆρα φέρουσι μὲν νῦν[ln_45][].ιδε πάλιν χέονται [].ομένην σῆι
book 680.11	τελετὴν ἑορτῆι []...λοτύπωι κρατῆσαι []..τρον ἄγου
book 680.12	Φερσεφόνην ὑπ’ ἄστρα [ ].λ.σιν ἡγησαμένης οὐθὲν ἐμοῦ σφαλήσει .[ ]υ πεύκας ἀνελοῦ, λῦε βαρεῖαν ὀφρύν. ἡ μὲν [ἔ]ληγεν...[.]..[ ]δε Νύμφαι
book 680.13	τε δικαίας Χάριτές
book 680.14	τε πειθοῦς πᾶς δὲ γυναικῶν α[.]..[ π]έριξ θ’ ἑσμὸς ἐθώπευσε πέδον μετώποις
book 680.15	φυλλοβολῆσαι δ[ὲ] θεὰν [–] ἀνέσχον τὰ μόνα ζώφυτα γῆς ἀκάρπου, τὴν δὲ γεραιὰν
book 680.16	πα.[–].τον μὲν ὀρείοις Ἁλιμοῦς ἤθεσι, καιρίαν δέ,
book 680.1	[ln_55]ἔκ
book 680.2	τινος ἔστειλε τύχ[ης –]. σεμνοῖς ὁ γελοῖος λόγος ἆρ’ ἀκερδή〈σ〉; στᾶσα γὰρ ἐφθεγξατ[––]ρ.αλεον καὶ μέγα· μὴ βάλλετε χόρτον αἰγῶν, οὐ τόδε
book 680.3	πεινῶντι θεῶι [ ]..κον, ἀλλ’ ἀμβροσία γαστρὸς ἔρεισμα λεπτῆς. καὶ σὺ δὲ τῆς Ἀτθίδος, ὦ δ.[ ]ον, Ἰάμβης ἐπάκουσον βραχύ μού τι κέρδος· ειμι δ’ ἀπαίδευτα
book 680.4	χεα[–]ν ἀποικοῦσα λάλος δημότις· αἱ θεαὶ μέν[ln_60]αιδεθε..σοι κύλικας..[ ]ε καὶ στέμματα κα..απτον ὕδω[ρ] ἐν ὑγρῶι ἐγ δὲ γυναικῶν π[–].ν βοτάνη δῶρον ὀκνηρᾶς ἐλάφου δίαιτα,
book 680	οὐθὲν ἐμοὶ τῶνδε[ ––]ερα. ἀλλ’ εἰ χαλάσεις π[έ]νθος ἐγὼ δὲ λύσω

—
Canonical:  https://eulogikon.org/grc/philicus-of-corcyra/hymn-demeter-persephone
License:    https://creativecommons.org/publicdomain/mark/1.0/
Cite as:    eul_wid: ick-aa

Eulogikon publishes public-domain Greek texts in cleaned, structured, readable form and makes no copyright claim over that preparation (Public Domain Mark 1.0, https://creativecommons.org/publicdomain/mark/1.0/).
